village,Nitrogen High,Nitrogen Medium,Nitrogen Low,Phosphorus High,Phosphorus Medium,Phosphorus Low,Potassium High,Potassium Medium,Potassium Low,Sulphur Sufficient,Sulphur Deficient,None High,None Medium,None Low,pH Alkaline,pH Acidic,pH Neutral,Iron Sufficient,Iron Deficient,Zinc Sufficient,Zinc Deficient,Copper Sufficient,Copper Deficient,Boron Sufficient,Boron Deficient,Manganese Sufficient,Manganese Deficient
Sainthra Ahir,0,22,65,49,36,2,23,63,1,11,76,5,42,39,0,14,73,38,49,31,56,81,6,39,48,79,8
Gidouli,0,2,73,27,48,0,6,63,6,44,31,2,20,43,0,36,39,36,39,21,54,67,8,36,39,74,1
Dharamgarh,0,8,133,80,55,6,14,121,6,59,82,6,73,52,1,69,71,76,65,37,104,136,5,73,68,133,8
Ranhera,0,5,36,24,17,0,5,35,1,6,35,3,14,24,1,17,23,20,21,7,34,32,9,20,21,38,3
Karsanda,0,3,16,6,13,0,3,16,0,1,18,3,11,4,0,10,9,14,5,3,16,17,2,9,10,18,1
Pardu Ka Pura,0,0,52,15,33,4,1,50,1,15,37,0,21,24,0,28,24,29,23,12,40,49,3,17,35,50,2
Sainthra Badhai,0,15,209,113,108,3,35,189,0,9,215,8,117,98,0,0,224,139,85,93,131,212,12,114,110,174,50
Ajhenda,0,2,16,7,10,1,2,16,0,1,17,0,5,13,0,0,18,8,10,5,13,18,0,3,15,15,3
Kasmada,0,2,55,9,48,0,6,51,0,6,51,1,27,29,3,0,54,36,21,16,41,54,3,13,44,51,6
Dondari,0,34,129,88,73,2,31,132,0,11,152,4,34,125,20,0,143,134,29,47,116,152,11,62,101,115,48
Tehara,0,2,17,6,13,0,1,18,0,1,18,1,1,17,3,0,16,15,4,4,15,17,2,6,13,16,3
Useth,0,6,32,20,17,1,1,37,0,5,33,0,8,30,2,0,36,25,13,14,24,35,3,14,24,34,4
Arraun,0,16,98,56,56,2,20,94,0,21,93,2,23,89,19,0,95,64,50,38,76,107,7,41,73,82,32
Budhara,0,3,97,54,45,1,37,63,0,3,97,0,13,87,0,0,100,73,27,24,76,95,5,34,66,80,20
Konthar Kalan,0,1,35,14,22,0,1,35,0,1,35,0,9,27,0,0,36,27,9,14,22,36,0,25,11,32,4
Tarsama,0,4,52,21,33,2,18,38,0,0,56,0,9,47,0,1,55,32,24,15,41,56,0,35,21,51,5
Mehdora,0,3,56,27,28,4,4,55,0,2,57,0,20,39,0,3,56,50,9,16,43,59,0,40,19,44,15
Mateyapura,0,7,52,24,34,1,8,51,0,1,58,0,10,49,1,0,58,47,12,18,41,58,1,43,16,49,10
