village,Nitrogen High,Nitrogen Medium,Nitrogen Low,Phosphorus High,Phosphorus Medium,Phosphorus Low,Potassium High,Potassium Medium,Potassium Low,Sulphur Sufficient,Sulphur Deficient,None High,None Medium,None Low,pH Alkaline,pH Acidic,pH Neutral,Iron Sufficient,Iron Deficient,Zinc Sufficient,Zinc Deficient,Copper Sufficient,Copper Deficient,Boron Sufficient,Boron Deficient,Manganese Sufficient,Manganese Deficient
Chouka Pathari,0,7,5,2,6,4,0,7,5,9,3,6,2,4,0,0,12,12,0,11,1,12,0,8,3,12,0
Binaitha,3,25,19,0,27,20,0,32,15,29,18,23,15,8,0,0,47,45,2,32,15,47,0,32,12,47,0
Chandpur,3,22,8,0,23,10,2,22,9,24,9,16,10,7,0,0,33,31,2,26,7,33,0,20,12,33,0
Dhanora,2,24,10,0,16,20,4,25,7,30,6,19,10,7,0,0,36,36,0,26,10,36,0,19,16,35,1
Budhon,0,5,3,0,6,2,0,7,1,7,1,2,3,3,0,0,8,8,0,5,3,8,0,4,3,8,0
Basiya Gaon,0,5,5,1,5,4,0,8,2,9,1,6,1,3,0,0,10,8,2,9,1,10,0,6,1,10,0
Bankhiria,2,11,5,0,7,11,2,11,5,14,4,11,5,2,0,0,18,17,1,12,6,18,0,9,7,18,0
Kanera Gond,4,18,10,2,11,19,2,22,8,20,12,20,7,5,0,0,32,31,1,23,9,32,0,18,10,30,2
Muhli Khurd,1,10,9,1,14,5,0,16,4,15,5,14,4,2,0,0,20,20,0,15,5,20,0,11,8,20,0
Muhansa,2,18,15,0,23,12,2,13,20,26,9,16,9,10,0,0,35,34,1,20,15,34,0,18,12,35,0
Karai,0,6,3,0,6,3,0,4,5,9,0,4,4,1,0,0,9,8,1,5,4,9,0,4,2,9,0
Gadhola Jagir,18,110,108,6,135,95,9,160,67,174,62,113,68,55,0,0,236,227,9,172,64,235,0,143,91,231,5
Reguwan,1,6,8,0,8,7,2,9,4,11,4,8,5,2,0,0,15,15,0,10,5,15,0,7,7,15,0
Dhangar,21,49,52,1,73,48,3,92,26,93,29,68,31,23,0,0,122,121,1,80,42,122,0,75,39,122,0
Golni,4,11,10,0,14,11,0,23,2,21,4,11,8,6,0,0,25,25,0,15,10,25,0,10,12,25,0
Simariya Ghat,0,3,3,0,4,2,1,4,1,6,0,3,1,2,0,0,6,6,0,6,0,6,0,2,2,6,0
Katheli,8,27,11,0,24,22,4,31,11,32,14,29,11,6,0,0,46,44,2,27,19,46,0,28,18,46,0
Mudri,4,24,23,2,29,20,1,37,13,37,14,19,19,13,0,0,51,50,1,42,9,51,0,30,21,51,0
Gajar,1,10,6,0,9,8,1,11,5,13,4,8,4,5,0,0,17,17,0,15,2,17,0,13,4,17,0
Satnai,2,13,3,0,10,8,1,14,3,12,6,11,4,3,0,0,18,16,2,13,5,18,0,12,6,18,0
Mukarampur,3,34,17,0,32,22,3,38,13,38,16,29,12,13,0,0,54,52,2,40,14,54,0,37,17,53,1
Beri,7,53,22,3,55,24,7,57,18,58,24,45,24,13,0,0,82,78,4,59,23,82,0,50,32,81,1
Kanau,2,10,2,0,10,4,1,9,4,12,2,11,1,2,0,0,14,14,0,13,1,14,0,11,3,14,0
Giltora,2,19,5,0,14,12,1,19,6,19,7,14,7,5,0,0,26,24,2,16,10,26,0,15,11,26,0
Kaurasa,2,4,2,0,3,5,2,4,2,6,2,5,0,3,0,0,8,8,0,6,2,8,0,3,5,8,0
