village,Nitrogen High,Nitrogen Medium,Nitrogen Low,Phosphorus High,Phosphorus Medium,Phosphorus Low,Potassium High,Potassium Medium,Potassium Low,Sulphur Sufficient,Sulphur Deficient,None High,None Medium,None Low,pH Alkaline,pH Acidic,pH Neutral,Iron Sufficient,Iron Deficient,Zinc Sufficient,Zinc Deficient,Copper Sufficient,Copper Deficient,Boron Sufficient,Boron Deficient,Manganese Sufficient,Manganese Deficient
Khamha,0,84,46,56,60,14,123,7,0,107,23,86,28,16,0,0,129,129,1,56,74,130,0,121,9,130,0
Dharpatha Mal,0,88,49,46,72,19,127,10,0,122,15,91,23,23,0,1,136,137,0,47,90,137,0,130,7,137,0
Mohgaon,0,0,3,1,2,0,2,1,0,2,1,0,3,0,0,0,3,3,0,1,2,3,0,3,0,3,0
Gangai,0,130,117,106,136,5,228,18,1,221,26,160,49,38,2,1,244,244,3,177,70,247,0,232,15,247,0
Jwara,0,18,30,18,26,4,45,3,0,44,4,25,14,9,0,0,48,47,1,33,15,48,0,47,1,48,0
Pathariya,0,29,17,18,25,3,44,2,0,42,4,30,8,8,3,0,43,45,1,41,5,46,0,38,8,46,0
Gandhila,0,19,4,18,4,1,19,4,0,23,0,19,2,2,0,0,23,23,0,20,3,23,0,23,0,23,0
Sihora,0,14,11,6,17,2,22,3,0,20,5,16,3,6,0,0,25,25,0,16,9,25,0,24,1,25,0
Pathariya,0,4,2,4,2,0,6,0,0,5,1,4,1,1,0,0,6,6,0,3,3,6,0,6,0,6,0
Palka,0,17,12,12,16,1,28,1,0,27,2,23,3,3,0,0,29,29,0,25,4,29,0,23,6,29,0
Chulgaon,0,57,56,54,56,3,98,14,1,111,2,82,21,10,0,2,111,109,4,92,21,112,1,92,21,112,1
Nagadahar,0,74,59,19,99,15,116,17,0,121,12,74,25,34,0,0,133,129,4,98,35,133,0,116,17,133,0
Surhai,0,134,128,94,159,10,235,28,0,243,20,183,49,30,1,0,260,259,4,231,32,263,0,222,41,263,0
Budhwani,0,67,34,58,40,3,92,9,0,93,8,71,16,14,0,1,100,100,1,68,33,101,0,90,11,101,0
Bharga,0,23,28,27,22,2,46,5,1,43,9,40,8,3,0,0,51,52,0,43,9,52,0,49,3,52,0
Navalgaon,0,19,14,13,17,3,28,5,0,31,2,22,3,8,0,0,33,32,1,24,9,33,0,29,4,33,0
Dala,0,21,34,32,23,1,45,11,0,52,4,33,10,12,1,0,53,56,0,44,12,56,0,38,18,56,0
Dungariya,0,25,19,12,30,3,41,4,0,42,3,34,6,4,0,1,43,45,0,37,8,45,0,37,8,45,0
Ghurwada,0,20,15,15,18,2,34,1,0,32,3,26,8,1,0,0,35,35,0,25,10,35,0,29,6,35,0
Jhamar Ryt.,0,6,6,4,8,0,11,1,0,12,0,9,1,2,0,0,12,12,0,10,2,12,0,12,0,12,0
Dhan Kakadi Mal,0,76,120,73,120,3,193,2,1,189,7,120,59,17,0,3,190,196,0,99,97,196,0,195,1,196,0
Dhan Kakadi Ryt.,0,9,7,6,10,0,15,1,0,16,0,15,0,1,0,0,16,16,0,13,3,16,0,16,0,16,0
Patha Deori Mal,0,20,32,15,35,2,49,3,0,51,1,34,16,2,0,1,50,52,0,46,6,52,0,52,0,52,0
Kerpani Ryt.,0,19,27,25,20,1,46,0,0,45,1,32,12,2,0,1,45,46,0,37,9,46,0,45,1,46,0
Lingpani,0,13,20,12,19,2,30,3,0,30,3,16,13,4,0,0,33,33,0,17,16,33,0,32,1,33,0
Khamariya,0,7,5,5,7,0,12,0,0,12,0,10,1,1,0,0,12,12,0,9,3,12,0,12,0,12,0
Dhadhar Khairi Mal,0,0,3,2,1,0,3,0,0,3,0,2,1,0,0,0,3,3,0,2,1,3,0,3,0,3,0
Khamariya,0,3,1,0,4,0,4,0,0,3,1,3,1,0,0,0,4,4,0,2,2,4,0,4,0,4,0
Simariya,0,11,24,14,20,1,30,5,0,32,3,18,12,4,0,0,34,35,0,17,18,35,0,32,3,35,0
