village,Nitrogen High,Nitrogen Medium,Nitrogen Low,Phosphorus High,Phosphorus Medium,Phosphorus Low,Potassium High,Potassium Medium,Potassium Low,Sulphur Sufficient,Sulphur Deficient,None High,None Medium,None Low,pH Alkaline,pH Acidic,pH Neutral,Iron Sufficient,Iron Deficient,Zinc Sufficient,Zinc Deficient,Copper Sufficient,Copper Deficient,Boron Sufficient,Boron Deficient,Manganese Sufficient,Manganese Deficient
Pagrawad Khurd,0,8,21,17,11,1,0,16,13,11,18,10,9,10,0,1,28,26,3,16,13,23,6,16,13,28,1
Mandalkha,0,11,63,40,31,2,0,55,19,24,50,16,17,41,0,0,74,58,16,20,53,59,15,42,32,73,1
Dubadiya,0,3,25,17,10,1,0,15,13,12,16,6,10,12,0,0,28,21,7,7,21,25,3,16,12,25,3
Pagrawad Kalan,0,9,35,18,22,4,0,23,21,28,16,13,17,14,0,0,44,33,11,13,31,36,8,20,24,42,2
Lahar Kheda,0,0,16,5,10,1,0,12,4,6,10,2,6,8,0,0,16,14,2,4,11,14,2,2,14,15,1
Kohliya,0,40,154,109,84,1,0,126,68,83,111,62,71,61,0,0,193,147,47,50,144,156,38,92,102,185,9
Chouki Shahpur,0,11,34,21,25,0,0,40,6,16,29,16,11,19,0,0,45,43,3,13,33,33,13,20,26,45,1
Banjari,0,1,1,1,1,0,0,2,0,0,2,0,1,1,0,0,2,1,1,2,0,2,0,2,0,2,0
Rupahedi,0,3,16,7,12,0,0,11,8,8,11,3,3,13,0,0,19,14,5,6,13,16,3,10,9,19,0
Binaya,0,10,55,34,31,0,1,52,12,30,35,15,24,26,0,0,65,49,16,18,47,53,12,36,29,64,1
Mortakewadi,0,4,43,28,19,0,0,37,10,21,26,7,11,29,0,0,47,31,16,17,30,40,7,17,30,45,2
Khadi,0,9,89,63,33,2,3,78,17,29,69,8,35,54,0,0,98,75,23,44,54,76,22,53,45,95,3
Kadwala,0,26,104,60,70,0,0,95,34,42,88,33,44,52,0,0,130,104,26,32,97,107,22,61,69,126,4
Akodi,0,7,21,18,10,0,0,19,9,10,18,4,9,15,0,0,28,22,6,8,20,24,4,17,11,25,3
Tapka Basantpur,0,1,23,17,7,0,0,20,4,10,14,2,6,16,0,0,24,22,2,11,12,19,5,9,15,23,1
Ugli,0,15,56,32,39,0,0,61,10,17,53,10,10,51,0,0,69,55,16,22,49,59,12,32,39,71,0
Tajpur Gauri,0,0,17,11,6,0,0,15,2,3,14,1,2,14,0,0,17,14,3,7,10,16,1,8,9,16,1
Nipanya Hisamuddin,0,9,25,20,14,0,0,28,6,20,14,3,11,20,0,0,34,22,12,9,25,26,8,22,12,30,4
Richhoda,0,1,9,4,6,0,0,8,2,2,8,0,2,8,0,0,10,8,2,4,6,9,1,5,5,9,1
Kishoni,0,44,92,131,6,0,3,108,26,71,66,4,28,104,11,14,111,122,15,86,51,137,0,112,25,132,5
Kamalya,0,11,38,42,7,0,3,36,10,16,33,2,9,38,2,1,45,38,11,32,17,49,0,35,14,48,1
Khatsur,0,18,56,2,59,13,0,62,12,47,27,0,19,55,0,0,74,58,16,14,60,66,8,53,21,61,13
Bhugor,0,4,40,42,2,0,0,42,2,13,31,0,7,37,1,0,41,26,18,19,25,44,0,32,12,43,1
Unchod,0,17,34,1,40,10,0,40,11,34,17,2,16,33,0,0,51,32,19,10,41,44,7,32,19,46,5
Ajnai,0,27,73,46,51,3,0,66,34,53,47,39,28,33,0,0,100,73,27,29,71,84,16,42,58,96,4
Bhilkheda,0,14,46,27,33,1,1,54,6,38,23,2,22,36,1,1,58,56,5,31,30,51,10,38,22,59,2
Niwalya,0,5,13,2,14,2,0,13,5,10,8,1,6,11,0,0,18,15,3,2,16,18,0,11,7,14,4
Barodrani,0,25,63,1,75,12,0,65,23,60,28,1,24,63,0,0,88,68,20,17,71,79,9,64,24,81,7
Sujatpur (Chontiya Khedi),0,4,14,1,16,1,0,16,2,13,5,0,4,14,0,0,18,18,0,4,14,18,0,13,5,17,1
Bheempura Polay,0,12,17,0,24,5,0,21,8,16,13,0,12,17,0,0,29,25,4,5,24,24,5,17,12,25,4
Salampur,0,1,1,2,0,0,0,2,0,2,0,0,1,1,0,0,2,2,0,1,1,2,0,2,0,2,0
Piplod,0,0,2,1,1,0,0,2,0,2,0,0,1,1,0,0,2,1,1,0,2,2,0,2,0,2,0
Tajpur Ukala,0,2,1,1,2,0,0,3,0,3,0,0,1,2,0,0,3,3,0,2,1,3,0,0,3,3,0
Chitouni,0,2,0,2,0,0,0,2,0,2,0,0,1,1,0,0,2,2,0,1,1,2,0,2,0,2,0
Badodrana,0,4,11,0,13,2,0,9,6,8,7,0,4,11,0,0,15,9,6,5,10,11,4,8,7,11,4
Khaspura,0,1,5,2,3,1,0,6,0,4,2,0,1,5,0,0,6,4,2,1,5,5,1,3,3,2,4
Jhirniya,0,12,86,52,46,0,0,98,0,49,49,0,27,71,0,0,98,75,23,36,62,97,1,54,44,98,0
Mayapur,0,1,5,3,3,0,0,6,0,5,1,0,2,4,0,0,6,5,1,4,2,5,1,4,2,6,0
