village,Nitrogen High,Nitrogen Medium,Nitrogen Low,Phosphorus High,Phosphorus Medium,Phosphorus Low,Potassium High,Potassium Medium,Potassium Low,Sulphur Sufficient,Sulphur Deficient,None High,None Medium,None Low,pH Alkaline,pH Acidic,pH Neutral,Iron Sufficient,Iron Deficient,Zinc Sufficient,Zinc Deficient,Copper Sufficient,Copper Deficient,Boron Sufficient,Boron Deficient,Manganese Sufficient,Manganese Deficient
Kherai,0,24,105,5,122,2,19,110,0,124,5,4,69,56,1,0,128,127,2,121,8,128,0,129,0,129,0
Dhadhon,0,17,21,0,38,0,5,33,0,38,0,0,24,14,0,0,38,38,0,38,0,38,0,38,0,38,0
Nateran,0,124,253,9,359,9,62,313,2,368,9,17,234,126,0,1,376,372,5,363,14,377,0,376,1,373,4
Jotpur,1,0,15,0,16,0,3,13,0,16,0,0,8,8,0,0,16,16,0,16,0,16,0,16,0,16,0
Satpada Hat,0,8,56,1,60,3,18,46,0,62,2,0,30,34,0,0,63,64,0,61,3,64,0,64,0,64,0
Rawan,0,9,58,2,60,5,6,61,0,62,5,1,31,35,0,0,67,67,0,64,3,67,0,66,1,66,1
Nagaur,0,11,82,6,84,3,21,71,1,89,4,5,41,47,0,0,93,92,1,90,3,93,0,90,3,93,0
Mahua Kheda,0,0,5,0,5,0,2,3,0,5,0,0,3,2,0,0,5,5,0,5,0,5,0,5,0,5,0
Padaria Jagir,0,0,21,0,19,2,2,19,0,20,1,1,4,16,0,0,21,21,0,20,1,21,0,21,0,21,0
Mudrakhirni,0,4,26,1,28,1,5,25,0,30,0,0,11,19,0,0,30,30,0,30,0,30,0,30,0,30,0
Bhiyakhedi,0,1,26,3,22,2,4,23,0,24,3,2,13,12,0,0,27,27,0,24,3,27,0,26,1,27,0
Khejada Shamsabad,0,7,3,0,10,0,0,10,0,10,0,0,8,2,0,0,10,10,0,9,1,10,0,10,0,10,0
Khai Kheda,0,4,65,1,65,3,10,58,1,65,4,7,30,31,0,0,69,66,3,64,5,69,0,66,2,68,1
Hasanpur Alias Jothoda,0,0,14,3,11,0,3,11,0,14,0,1,3,10,0,0,14,14,0,13,1,14,0,14,0,14,0
Jogikiroda,0,10,161,6,158,7,40,129,2,159,12,6,82,83,0,0,171,169,2,167,4,170,0,170,1,171,0
Newali,0,1,5,2,4,0,2,4,0,6,0,2,2,2,0,0,6,6,0,6,0,6,0,6,0,6,0
Mahutha,1,1,32,1,31,2,2,31,1,31,3,2,10,21,0,0,34,34,0,31,3,34,0,33,1,34,0
Narkheda Ghat,0,7,13,1,19,0,0,19,1,20,0,1,8,11,0,0,20,19,1,20,0,20,0,19,0,20,0
Minya Khedi,0,21,57,3,74,1,5,73,0,78,0,0,44,34,0,0,78,78,0,78,0,78,0,78,0,78,0
Pattan,0,1,70,1,68,2,27,44,0,67,4,5,37,29,0,0,71,71,0,69,2,71,0,70,1,71,0
Imalia Jagir,0,0,54,0,52,2,10,44,0,44,10,0,17,37,0,0,54,54,0,49,5,54,0,54,0,54,0
Pipaldhar,1,0,36,0,37,0,9,28,0,34,3,1,14,22,0,0,37,37,0,37,0,37,0,37,0,37,0
Beel Khedi,0,0,139,0,137,2,37,102,0,134,5,2,61,76,1,0,138,139,0,138,1,139,0,138,1,139,0
Barkheda Jagir,0,2,61,0,62,1,19,44,0,59,4,2,23,38,0,0,63,64,0,63,1,64,0,63,1,64,0
Tajkhajuri,0,10,57,0,67,0,19,48,0,65,2,0,35,32,1,0,66,67,0,67,0,67,0,67,0,67,0
Panwariya,0,27,59,0,86,0,7,78,1,85,1,4,52,30,0,0,86,85,1,86,0,86,0,86,0,86,0
Binjh Jagir,0,9,53,4,58,0,10,52,0,60,2,0,25,37,0,0,62,62,0,62,0,61,0,62,0,62,0
Sau,0,50,82,1,128,3,15,116,1,128,4,4,83,45,0,1,131,132,0,126,6,132,0,132,0,131,1
