village,Nitrogen High,Nitrogen Medium,Nitrogen Low,Phosphorus High,Phosphorus Medium,Phosphorus Low,Potassium High,Potassium Medium,Potassium Low,Sulphur Sufficient,Sulphur Deficient,None High,None Medium,None Low,pH Alkaline,pH Acidic,pH Neutral,Iron Sufficient,Iron Deficient,Zinc Sufficient,Zinc Deficient,Copper Sufficient,Copper Deficient,Boron Sufficient,Boron Deficient,Manganese Sufficient,Manganese Deficient
Kothali Bk.,0,0,17,1,16,0,9,8,0,0,17,0,2,15,0,0,17,13,4,2,15,17,0,12,5,17,0
Yeranda,0,0,51,35,16,0,51,0,0,0,51,0,0,51,0,0,51,0,51,8,43,51,0,1,50,8,43
Ajani Khurd,0,0,50,35,15,0,50,0,0,0,50,0,1,49,0,0,50,0,50,10,40,50,0,0,50,20,30
Shelu Khurd,0,0,49,32,13,4,48,0,1,0,49,0,0,49,0,0,49,0,49,4,45,49,0,0,49,7,42
Bormali,0,2,49,36,12,3,51,0,0,0,51,0,0,51,0,0,51,0,51,13,38,51,0,1,50,0,51
Jamkeshwar,0,0,62,43,18,1,58,4,0,0,62,1,0,61,0,0,62,0,62,5,57,62,0,0,62,9,53
Ujaleshwar,0,0,75,28,44,3,56,19,0,0,75,0,0,75,0,0,75,12,63,13,62,75,0,23,52,28,47
Sarkinhi,0,0,61,33,27,1,51,10,0,0,61,1,0,60,0,0,61,10,51,6,55,61,0,5,56,14,47
Redwa,0,0,152,39,107,6,79,73,0,0,152,0,19,133,0,0,152,77,75,51,101,152,0,85,67,103,49
Jambharun,0,0,51,24,21,6,51,0,0,0,51,0,0,51,0,0,51,0,51,3,48,51,0,0,51,0,51
Barshitakali 1,0,0,52,29,22,1,51,0,1,0,52,0,1,51,0,0,52,0,52,6,46,52,0,0,52,0,52
Vastapur,0,1,56,31,24,2,48,9,0,0,57,0,0,57,0,0,57,6,51,6,51,57,0,8,49,11,46
Bhedikaji,0,0,47,30,13,4,44,2,1,2,45,0,0,47,0,0,47,0,47,0,47,47,0,1,46,9,38
Jam Vasu,0,0,49,28,18,3,48,1,0,1,48,0,5,44,0,0,49,0,49,12,37,49,0,0,49,6,43
Chohogaav,0,0,59,45,13,1,59,0,0,0,59,0,2,57,0,0,59,0,59,6,53,59,0,52,7,0,59
Titawa,0,2,48,48,2,0,31,14,5,0,50,3,9,38,0,0,50,0,50,49,1,49,1,50,0,50,0
Pimpalkhuta,0,0,52,49,3,0,47,5,0,1,51,0,5,47,0,0,52,0,52,49,3,52,0,50,2,50,2
Alanda,0,0,157,68,72,17,106,29,22,15,142,0,17,140,1,0,156,23,134,114,43,157,0,140,17,157,0
Nihida,0,0,61,47,13,1,61,0,0,0,61,10,35,16,0,0,61,0,61,47,14,61,0,60,1,50,11
Tiwasa Khurd,0,0,57,56,1,0,54,3,0,0,57,0,3,54,0,0,57,0,57,52,5,57,0,57,0,56,1
Kherda Budruk,0,0,51,43,7,1,37,0,14,1,50,0,22,29,0,0,51,1,50,48,3,51,0,51,0,51,0
Hatola,0,0,50,50,0,0,50,0,0,0,50,0,11,39,8,0,42,0,50,30,20,50,0,50,0,48,2
Kasmar,0,0,51,48,3,0,47,3,1,0,51,0,0,51,0,0,51,0,51,22,29,51,0,51,0,49,2
Kasarkhed,0,0,51,37,14,0,50,0,1,0,51,0,1,50,0,0,51,0,51,44,7,50,1,51,0,51,0
Mahan,0,0,49,38,11,0,47,1,1,0,49,0,10,39,0,0,49,0,49,43,6,49,0,49,0,49,0
Mozari Budruk,0,0,50,47,3,0,50,0,0,0,50,0,8,42,0,0,50,21,29,50,0,50,0,50,0,49,1
Mangrul,0,0,51,43,8,0,51,0,0,0,51,0,5,46,0,0,51,0,51,51,0,51,0,51,0,51,0
Dhaba,0,0,20,19,1,0,20,0,0,0,20,0,1,19,0,0,20,0,20,13,7,20,0,18,2,20,0
Mahagaon mahan mandal,0,0,25,18,5,2,25,0,0,0,25,0,0,25,0,0,25,0,25,19,6,25,0,25,0,25,0
Sawarkhed,0,0,25,21,4,0,25,0,0,0,25,0,0,25,0,0,25,0,25,24,1,25,0,25,0,25,0
Bhendgaon,0,0,25,21,4,0,24,1,0,0,25,0,1,24,0,0,25,0,25,24,1,25,0,25,0,25,0
Vadgaon,0,0,25,23,2,0,25,0,0,0,25,0,0,25,0,0,25,1,24,14,11,25,0,25,0,25,0
Nimbi Khurd,0,0,23,20,3,0,23,0,0,0,23,0,0,23,0,0,23,0,23,22,1,23,0,23,0,23,0
Donad Budruk,0,0,25,25,0,0,25,0,0,0,25,0,0,25,0,0,25,0,25,23,2,25,0,25,0,25,0
Barshitakali 2,0,0,48,40,6,2,46,2,0,0,48,0,2,46,2,0,46,0,48,42,6,48,0,48,0,46,2
Warkhed (Wagh),0,0,50,33,16,1,27,23,0,0,50,0,3,47,0,0,50,18,32,33,17,50,0,49,1,50,0
Kherda Kh.,0,0,100,16,73,11,34,65,1,0,100,0,18,82,0,0,100,88,12,19,81,100,0,98,2,100,0
Mahagaon dhaba mandal,0,0,38,11,25,2,12,26,0,0,38,0,7,31,0,0,38,38,0,2,36,38,0,34,4,38,0
Pinjar 1,0,0,73,17,56,0,32,41,0,0,73,0,11,62,0,0,73,39,34,30,43,73,0,65,8,73,0
Punoti Kh.,0,0,8,5,2,1,8,0,0,1,7,0,0,8,0,0,8,0,8,1,7,8,0,7,1,1,7
Kinkhed,0,0,18,1,15,2,8,10,0,0,18,0,0,18,0,0,18,12,6,2,16,18,0,13,5,15,3
Pardi,0,0,48,5,42,1,7,41,0,0,48,0,1,47,0,0,48,27,21,16,32,48,0,39,9,46,2
Sakharvira,0,0,6,4,2,0,3,3,0,0,6,0,0,6,0,0,6,3,3,2,4,6,0,3,3,3,3
Dhotarkhed,0,0,20,0,20,0,4,16,0,0,20,0,2,18,0,0,20,20,0,8,12,20,0,19,1,20,0
Umardari,0,0,25,0,25,0,6,19,0,0,25,0,1,24,0,0,25,18,7,9,16,25,0,25,0,25,0
Ghota,0,0,23,9,14,0,8,15,0,0,23,0,1,22,0,0,23,19,4,9,14,23,0,22,1,23,0
Zodga,0,0,17,1,16,0,3,14,0,0,17,0,0,17,0,0,17,17,0,4,13,17,0,17,0,17,0
Pinjar 2,0,0,26,6,18,2,6,20,0,0,26,0,0,26,0,0,26,9,17,8,18,26,0,15,11,26,0
Chelaka,0,0,3,2,1,0,1,2,0,0,3,0,0,3,0,0,3,2,1,0,3,3,0,2,1,2,1
Khopadi,0,0,26,2,24,0,4,22,0,0,26,0,2,24,0,0,26,25,1,6,20,26,0,24,2,26,0
Tiwasa Budruk,0,0,98,17,76,5,33,64,1,0,98,0,18,80,0,0,98,74,24,11,87,98,0,69,29,98,0
Wagha Khurd,0,0,20,2,16,2,4,16,0,0,20,0,1,19,0,0,20,16,4,2,18,20,0,18,2,20,0
Vizora,0,0,25,6,19,0,5,20,0,0,25,0,0,25,0,0,25,21,4,6,19,25,0,22,3,25,0
Dhakali,0,0,100,18,76,6,22,78,0,0,100,0,4,96,0,0,100,84,16,31,69,100,0,81,19,100,0
Lohgad tanda,0,0,15,0,15,0,4,11,0,0,15,0,1,14,0,0,15,11,4,4,11,15,0,14,1,15,0
Haldoli,0,0,3,2,1,0,3,0,0,0,3,0,0,3,0,0,3,0,3,0,3,3,0,1,2,0,3
Mirzapur,0,0,6,3,3,0,6,0,0,0,6,0,1,5,0,0,6,0,6,1,5,6,0,6,0,0,6
Jalalabad,0,0,7,2,5,0,7,0,0,0,7,0,0,7,0,0,7,0,7,0,7,7,0,7,0,0,7
Nimbi,0,0,1,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,1,0,1,1,0,1,0,0,1
Mandoli,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,1,1,0,1,0,0,1
