village,Nitrogen High,Nitrogen Medium,Nitrogen Low,Phosphorus High,Phosphorus Medium,Phosphorus Low,Potassium High,Potassium Medium,Potassium Low,Sulphur Sufficient,Sulphur Deficient,None High,None Medium,None Low,pH Alkaline,pH Acidic,pH Neutral,Iron Sufficient,Iron Deficient,Zinc Sufficient,Zinc Deficient,Copper Sufficient,Copper Deficient,Boron Sufficient,Boron Deficient,Manganese Sufficient,Manganese Deficient
Ambulga (v),0,1,170,1,159,11,170,1,0,0,171,0,79,92,0,0,171,107,64,30,141,171,0,4,167,171,0
Nitur,0,0,92,0,56,36,91,1,0,0,92,0,20,72,0,0,92,70,22,40,52,92,0,25,67,92,0
Sabitwadi,0,0,3,0,2,1,3,0,0,0,3,1,1,1,0,0,3,1,2,0,3,3,0,1,2,3,0
Hadga,0,0,92,1,80,11,92,0,0,0,92,0,18,74,0,0,92,0,92,92,0,92,0,0,92,92,0
Sirasi Hangarga,0,0,50,0,47,3,49,1,0,0,50,0,8,42,0,0,50,7,43,8,42,50,0,3,47,50,0
Lambota,0,0,92,0,38,54,92,0,0,0,92,0,54,38,1,0,91,3,89,89,3,92,0,2,90,92,0
Bhutmugli,0,0,92,0,45,47,92,0,0,0,92,0,25,67,0,0,92,3,89,67,25,92,0,7,85,92,0
Nilanga Rural,0,0,92,0,21,71,92,0,0,1,91,0,27,65,1,0,91,2,90,89,3,92,0,4,88,92,0
Bendga,0,0,92,0,13,79,92,0,0,0,92,0,16,76,0,0,92,0,92,92,0,92,0,14,78,92,0
Tambala,0,0,113,1,29,83,113,0,0,0,113,12,55,46,0,3,110,14,99,97,16,113,0,28,85,113,0
Bamni,0,0,92,0,16,76,92,0,0,0,92,0,54,38,0,0,92,0,92,83,9,92,0,6,86,92,0
Chilwantwadi,0,0,92,0,19,73,92,0,0,0,92,0,13,79,0,0,92,11,81,91,1,92,0,10,82,92,0
Borsuri,0,1,47,0,39,9,48,0,0,0,48,0,16,32,0,0,48,9,39,11,37,48,0,1,47,48,0
Shedol,0,1,49,0,45,5,49,1,0,0,50,0,19,31,0,0,50,12,38,9,41,50,0,2,48,50,0
Shend,0,1,30,1,25,5,30,1,0,0,31,0,11,20,1,0,30,6,25,5,26,31,0,2,29,31,0
Gurhal,0,0,11,0,9,2,11,0,0,0,11,0,4,7,0,0,11,3,8,2,9,11,0,1,10,11,0
Badur,0,0,10,0,8,2,10,0,0,0,10,0,4,6,0,0,10,2,8,2,8,10,0,0,10,10,0
Takli,0,0,10,0,8,2,10,0,0,0,10,0,4,6,0,0,10,1,9,2,8,10,0,1,9,10,0
Jajnur,0,0,20,0,18,2,20,0,0,0,20,0,8,12,0,0,20,3,17,5,15,20,0,1,19,20,0
Mirganhali,0,0,31,1,24,6,31,0,0,0,31,0,9,22,0,0,31,6,25,7,24,31,0,0,31,31,0
Chincholi (s),0,0,31,2,24,5,31,0,0,0,31,0,7,24,0,0,31,5,26,6,25,31,0,3,28,31,0
Anandwadi Ambulga Bk.,0,0,12,0,9,3,12,0,0,0,12,0,4,8,0,0,12,2,10,2,10,12,0,0,12,12,0
Zari,0,1,18,0,17,2,19,0,0,0,19,0,7,12,0,0,19,4,15,4,15,19,0,0,19,19,0
Anandwadi (ha.),0,0,22,0,17,5,22,0,0,0,22,0,8,14,0,0,22,4,18,4,18,22,0,0,22,22,0
Haidarwadi,0,0,5,0,5,0,5,0,0,0,5,0,2,3,0,0,5,0,5,1,4,5,0,1,4,5,0
Dhanora,0,0,14,1,12,1,14,0,0,0,14,0,2,12,0,0,14,2,12,3,11,14,0,1,13,14,0
Fattewadi,0,0,31,2,24,5,31,0,0,0,31,0,12,19,0,0,31,6,25,7,24,31,0,2,29,30,1
Bujrugwadi,0,0,26,0,22,4,26,0,0,0,26,0,10,16,0,0,26,5,21,5,21,26,0,1,25,26,0
