village,Nitrogen High,Nitrogen Medium,Nitrogen Low,Phosphorus High,Phosphorus Medium,Phosphorus Low,Potassium High,Potassium Medium,Potassium Low,Sulphur Sufficient,Sulphur Deficient,None High,None Medium,None Low,pH Alkaline,pH Acidic,pH Neutral,Iron Sufficient,Iron Deficient,Zinc Sufficient,Zinc Deficient,Copper Sufficient,Copper Deficient,Boron Sufficient,Boron Deficient,Manganese Sufficient,Manganese Deficient
Dhekalwadi,0,0,90,31,53,6,77,13,0,8,82,2,2,86,0,0,90,0,90,0,90,41,49,37,53,11,79
Pansarewadi,0,3,97,27,62,11,80,18,2,9,91,4,24,72,5,0,95,0,100,3,97,100,0,17,83,0,100
Sawantwadi,0,12,78,32,55,3,66,24,0,0,90,3,3,84,1,0,89,0,90,2,88,21,69,18,72,53,37
Kambleshwar,0,0,1,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,1,1,0,1,0,0,1,0,1
Sangavi,0,0,9,0,4,5,5,4,0,0,9,1,4,4,2,0,7,0,9,4,5,9,0,1,8,0,9
Gojubavi,0,0,10,0,4,6,6,3,1,0,10,1,2,7,0,0,10,0,10,2,8,10,0,0,10,0,10
Kharade Wadi,0,0,10,0,6,4,8,0,2,0,10,3,3,4,0,0,10,0,10,1,9,10,0,0,10,0,10
Karkhel,0,0,19,0,13,6,12,3,4,0,19,3,6,10,1,0,18,0,19,8,11,18,1,0,19,0,19
Sabalewadi,0,0,110,25,62,23,96,14,0,1,109,6,10,94,1,1,108,0,110,13,97,110,0,32,78,59,51
Yelewasti,0,0,10,0,6,4,3,6,1,0,10,4,3,3,0,0,10,0,10,3,7,9,1,0,10,0,10
Jalgaon Supe,0,0,19,0,11,8,5,10,4,0,19,6,7,6,0,0,19,0,20,7,12,16,4,0,19,0,20
Shirsuphal,0,0,20,0,13,7,11,8,1,0,20,4,5,11,3,0,17,0,20,3,17,20,0,1,19,0,20
GADIKHEL,0,1,39,8,17,15,24,16,0,0,40,14,11,15,2,0,38,9,31,12,28,40,0,10,30,10,30
Malad,0,1,9,0,4,6,3,5,2,0,10,4,3,3,3,0,7,0,10,1,9,10,0,0,10,0,10
Jalochi,0,0,10,0,0,10,10,0,0,0,10,0,7,3,0,0,10,0,10,1,9,10,0,0,10,0,10
Mekhali,0,0,10,0,8,2,5,5,0,0,10,1,4,5,1,0,9,0,10,4,6,10,0,0,10,0,10
Bhilarwadi,0,0,14,0,6,8,6,6,2,1,13,7,5,2,0,0,14,0,14,1,13,13,1,3,11,0,14
Malwadi,0,0,30,0,7,23,20,10,0,0,30,12,13,5,9,0,21,1,29,5,25,29,1,0,30,0,30
Palshiwadi,0,0,30,0,11,19,6,24,0,0,30,1,11,18,2,0,28,0,30,10,20,28,2,0,30,0,30
Katewadi,0,0,10,2,7,1,4,6,0,0,10,0,0,10,0,0,10,0,10,5,5,10,0,0,10,0,10
Deulgaon Rasal,0,0,10,0,8,2,2,7,1,0,10,0,1,9,1,0,9,0,10,3,7,10,0,0,10,0,10
Masalwadi,0,0,10,0,9,1,2,7,1,0,10,0,1,9,0,0,10,0,10,1,9,10,0,0,10,0,10
Nimbodi,0,0,10,2,6,2,5,5,0,0,10,0,0,10,5,0,5,0,10,4,6,10,0,0,10,0,10
Jainakwadi,0,0,30,0,19,11,9,18,3,0,30,3,12,15,17,0,13,0,30,6,24,29,1,0,30,0,30
Khandaj,0,0,10,0,9,1,2,6,2,0,10,0,1,9,0,0,10,0,10,3,7,10,0,0,10,0,10
