village,Nitrogen High,Nitrogen Medium,Nitrogen Low,Phosphorus High,Phosphorus Medium,Phosphorus Low,Potassium High,Potassium Medium,Potassium Low,Sulphur Sufficient,Sulphur Deficient,None High,None Medium,None Low,pH Alkaline,pH Acidic,pH Neutral,EC Saline,EC Deficient,Iron Sufficient,Iron Deficient,Zinc Sufficient,Zinc Deficient,Copper Sufficient,Copper Deficient,Boron Sufficient,Boron Deficient,Manganese Sufficient,Manganese Deficient
Sakhar,0,0,5,0,5,0,5,0,0,1,4,4,0,1,0,0,5,0,,5,0,5,0,5,0,1,4,5,0
Kelad,0,0,4,0,4,0,4,0,0,0,4,4,0,0,0,0,4,0,,4,0,4,0,4,0,2,2,4,0
Majgaon,0,0,4,0,4,0,4,0,0,0,4,2,0,2,0,3,1,0,,4,0,4,0,4,0,4,0,4,0
Jadhavwadi,0,0,2,0,2,0,2,0,0,0,2,0,0,2,0,1,1,0,,2,0,2,0,2,0,1,1,2,0
Saiv Bk.,0,0,6,6,0,0,5,1,0,1,5,2,2,2,1,0,5,0,,3,3,4,2,6,0,5,1,6,0
Khambavadi,0,0,20,18,2,0,19,1,0,4,16,13,4,3,0,0,20,0,,12,8,13,7,20,0,20,0,20,0
Dapsare,0,0,4,4,0,0,4,0,0,1,3,3,0,1,0,0,4,0,,4,0,4,0,4,0,2,2,3,1
Kanand,0,0,10,10,0,0,8,2,0,0,10,5,1,4,0,0,10,0,,10,0,10,0,10,0,10,0,10,0
Koshimghar,0,0,3,3,0,0,3,0,0,1,2,1,1,1,0,0,3,0,,1,2,3,0,3,0,3,0,3,0
Pabe,0,15,69,59,25,0,59,25,0,0,84,16,44,24,0,0,84,0,,2,82,4,80,76,8,35,49,31,53
Mangaon,0,0,7,1,4,2,7,0,0,6,1,1,5,1,1,0,6,3,,0,7,7,0,7,0,4,3,7,0
Kurtavadi,0,0,1,1,0,0,1,0,0,0,1,1,0,0,0,0,1,0,,0,1,1,0,1,0,1,0,1,0
Ranjane,0,12,71,33,50,0,35,48,0,0,83,14,36,33,1,0,82,0,,2,81,5,78,83,0,77,6,71,12
Osade,0,7,77,30,54,0,61,23,0,0,84,3,27,54,0,0,84,2,,21,63,3,81,74,10,14,70,31,53
Vadghar,0,0,1,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,,0,1,1,0,1,0,1,0,1,0
Kasedi,0,0,2,2,0,0,2,0,0,0,2,2,0,0,1,0,1,0,,1,1,2,0,2,0,2,0,2,0
Tekpole,0,0,4,3,0,1,3,1,0,1,3,1,2,1,0,1,3,0,,0,4,4,0,4,0,2,2,4,0
Ambed,0,0,1,1,0,0,1,0,0,0,1,1,0,0,0,0,1,0,,1,0,1,0,1,0,1,0,1,0
Ambegaon Kh.,0,0,2,2,0,0,2,0,0,2,0,2,0,0,0,0,2,0,,2,0,2,0,2,0,2,0,2,0
Pole,0,25,57,30,53,0,38,45,0,0,83,14,28,41,1,0,82,0,,0,83,3,80,75,8,3,80,30,53
Rule,0,0,9,9,0,0,9,0,0,6,3,3,4,2,1,0,8,3,,6,3,9,0,9,0,8,1,9,0
Gondekhal,0,0,2,2,0,0,2,0,0,1,1,2,0,0,0,0,2,0,,0,2,2,0,2,0,2,0,2,0
Vadgaon (Zanje),0,31,49,34,46,0,35,43,2,0,80,1,10,66,0,0,80,0,,64,16,20,60,72,8,1,79,80,0
Vanjale,0,31,49,39,41,0,29,51,0,0,80,0,15,65,0,0,80,0,,0,80,0,80,72,8,9,71,45,35
Kondgaon,0,0,2,2,0,0,2,0,0,0,2,2,0,0,0,0,2,0,,1,1,1,1,2,0,2,0,2,0
Kodavadi,0,0,5,5,0,0,5,0,0,0,5,4,0,1,0,0,5,1,,0,5,4,1,5,0,5,0,5,0
Nigade Mose,0,0,1,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,,0,1,1,0,1,0,1,0,1,0
Nigde Bk.,0,0,5,4,1,0,5,0,0,0,5,5,0,0,0,0,5,1,,1,4,5,0,5,0,5,0,5,0
Kuran Bk,0,0,3,3,0,0,3,0,0,1,2,2,1,0,0,0,3,2,,0,3,3,0,3,0,2,1,3,0
Lavhi Bk,0,14,66,36,44,0,63,17,0,2,78,14,27,39,0,0,80,0,,0,80,0,80,72,8,20,60,45,35
