village,Nitrogen High,Nitrogen Medium,Nitrogen Low,Phosphorus High,Phosphorus Medium,Phosphorus Low,Potassium High,Potassium Medium,Potassium Low,Sulphur Sufficient,Sulphur Deficient,None High,None Medium,None Low,pH Alkaline,pH Acidic,pH Neutral,Iron Sufficient,Iron Deficient,Zinc Sufficient,Zinc Deficient,Copper Sufficient,Copper Deficient,Boron Sufficient,Boron Deficient,Manganese Sufficient,Manganese Deficient
Navkhar Tarf Shrigaon,0,0,66,16,50,0,50,8,8,66,0,4,23,39,0,22,44,8,58,8,58,65,1,1,65,62,4
Tadwagale,0,0,1,0,1,0,0,0,1,1,0,1,0,0,0,0,1,1,0,1,0,1,0,0,1,1,0
Sambari,0,0,25,5,20,0,7,0,18,25,0,14,9,2,0,0,25,25,0,20,5,25,0,0,25,25,0
Poynad,0,0,6,0,6,0,0,0,6,6,0,2,1,3,0,0,6,6,0,5,1,6,0,0,6,6,0
Pezari,0,0,1,0,0,1,0,0,1,1,0,1,0,0,0,0,1,1,0,1,0,1,0,0,1,1,0
Kolghar,0,0,8,0,7,1,0,0,8,8,0,6,2,0,0,0,8,8,0,8,0,8,0,0,8,8,0
Dhawar,0,0,49,19,27,3,0,0,49,49,0,36,12,1,0,0,49,49,0,49,0,49,0,0,49,49,0
Choul,0,0,85,24,60,1,42,17,26,85,0,18,30,37,0,22,63,27,58,28,57,84,1,0,84,63,22
Bherase,0,20,44,29,29,6,15,47,2,64,0,50,10,4,0,0,64,64,0,59,5,64,0,0,64,64,0
Aweti,0,0,1,0,1,0,0,0,1,1,0,1,0,0,0,0,1,1,0,1,0,1,0,0,1,1,0
Akshi,0,0,27,22,5,0,5,11,11,27,0,24,3,0,0,0,27,27,0,22,5,27,0,0,27,27,0
Nagazari,0,0,2,0,2,0,0,0,2,2,0,1,1,0,0,0,2,2,0,2,0,2,0,0,2,2,0
Ambepur,0,0,1,0,1,0,0,0,1,1,0,0,0,1,0,0,1,1,0,1,0,1,0,0,1,1,0
Satirje,24,23,1,1,15,32,7,33,8,48,0,27,12,9,0,0,48,48,0,39,9,48,0,0,48,48,0
Mhatroli,25,15,0,0,20,20,26,14,0,40,0,24,4,12,0,0,40,40,0,39,1,40,0,0,40,40,0
Lonare,4,3,0,0,2,5,4,3,0,7,0,5,0,2,0,0,7,7,0,6,1,7,0,0,7,7,0
Bhal,36,23,11,5,41,24,24,37,9,70,0,36,33,1,0,0,70,59,11,41,29,70,0,0,70,70,0
Walawali,0,0,1,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,1,1,0,1,0,1,0,1,0
Shrigaon,0,0,10,5,5,0,7,3,0,10,0,10,0,0,0,0,10,10,0,4,6,10,0,0,10,10,0
Bamangaon,0,0,21,11,10,0,12,9,0,21,0,18,3,0,0,0,21,21,0,11,10,21,0,0,21,21,0
Zirad,0,0,17,10,7,0,11,6,0,17,0,12,5,0,0,0,17,17,0,10,7,17,0,0,17,17,0
Veshvi,0,0,61,12,32,17,39,21,1,61,0,23,25,13,0,0,61,61,0,15,46,61,0,0,61,61,0
Varande,0,0,4,2,2,0,2,2,0,4,0,3,1,0,0,0,4,4,0,2,2,4,0,0,4,4,0
Vadhav Bk.,0,0,67,11,51,5,46,21,0,67,0,63,4,0,0,0,67,0,67,30,37,67,0,0,67,67,0
Kurkundi Koltembhi,0,0,10,6,4,0,6,4,0,10,0,8,2,0,0,0,10,9,1,5,5,10,0,0,10,10,0
Kopar,0,0,8,5,3,0,6,2,0,8,0,8,0,0,0,0,8,8,0,6,2,8,0,0,8,8,0
Deoghar,0,0,2,1,1,0,2,0,0,2,0,0,2,0,0,0,2,2,0,2,0,2,0,0,2,2,0
Agarsure,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,1,1,0,0,1,1,0,0,1,1,0
Alibag,0,0,3,1,2,0,1,2,0,3,0,2,1,0,0,0,3,3,0,1,2,3,0,0,3,3,0
