village,Nitrogen High,Nitrogen Medium,Nitrogen Low,Phosphorus High,Phosphorus Medium,Phosphorus Low,Potassium High,Potassium Medium,Potassium Low,Sulphur Sufficient,Sulphur Deficient,None High,None Medium,None Low,pH Alkaline,pH Acidic,pH Neutral,EC Saline,EC Deficient,Iron Sufficient,Iron Deficient,Zinc Sufficient,Zinc Deficient,Copper Sufficient,Copper Deficient,Boron Sufficient,Boron Deficient,Manganese Sufficient,Manganese Deficient
Tungi,28,19,3,3,16,31,31,19,0,44,6,29,17,4,0,0,50,0,,50,0,48,2,50,0,0,50,50,0
Wadawali,4,3,2,5,3,1,4,4,1,9,0,5,3,1,0,0,9,0,,9,0,7,2,7,2,0,9,9,0
Ashane,3,17,0,0,2,18,5,13,2,7,13,0,2,18,0,0,20,0,,20,0,20,0,16,4,0,20,20,0
Wave,0,9,5,4,1,9,5,9,0,3,11,2,3,9,0,0,14,0,,14,0,9,5,14,0,0,14,14,0
Chai,12,7,0,1,16,2,16,3,0,15,4,18,0,1,0,0,19,0,,19,0,18,1,19,0,0,19,10,9
Baliware,11,15,74,35,54,11,80,18,2,87,13,16,33,51,0,16,84,0,,26,74,39,61,100,0,0,99,98,2
Pali Tarfe Waredi,8,11,3,23,0,0,20,2,1,22,1,23,0,0,0,0,23,2,,23,0,7,16,22,1,0,23,23,0
Antrat Tarfe Waredi,0,0,20,7,13,0,0,0,20,20,0,14,5,1,0,0,20,0,,20,0,16,4,20,0,0,20,20,0
Malegaon Tarfe Waredi,0,0,10,5,5,0,0,0,10,10,0,7,3,0,0,0,10,0,,10,0,9,1,10,0,0,10,10,0
Bangarwadi,0,0,55,14,41,0,37,18,0,55,0,0,17,38,0,19,36,0,,0,55,0,55,48,7,1,54,35,20
Gaulwadi,0,0,86,35,51,0,81,5,0,84,2,2,10,74,0,23,63,0,,0,86,28,58,86,0,0,84,86,0
Humgaon,0,0,90,21,67,2,83,7,0,90,0,13,32,44,0,29,61,0,,1,89,24,66,80,10,0,88,89,1
Kadav,0,0,92,30,60,2,83,9,0,91,1,2,15,75,0,38,54,0,,2,90,18,74,85,7,1,91,83,9
Gaurkamat,0,0,92,53,35,4,83,9,0,90,2,2,9,81,0,39,53,0,,2,90,17,75,85,7,0,62,87,5
Bhansoli,0,0,20,16,4,0,12,8,0,7,13,8,11,1,0,0,20,0,,14,6,8,12,20,0,0,20,20,0
Dahigaon,0,0,1,0,1,0,1,0,0,0,1,1,0,0,0,0,1,0,,1,0,0,1,1,0,0,1,1,0
Dhotre,0,0,1,0,1,0,1,0,0,0,1,1,0,0,0,0,1,0,,1,0,1,0,1,0,0,1,1,0
Tembhare,0,0,1,0,1,0,1,0,0,0,1,1,0,0,0,0,1,0,,1,0,1,0,1,0,0,1,1,0
Chinchwadi,0,0,11,7,4,0,9,2,0,8,3,8,2,1,0,0,11,0,,11,0,2,9,11,0,0,11,11,0
Rajape,0,0,2,1,1,0,2,0,0,1,1,1,1,0,0,0,2,0,,2,0,0,2,2,0,0,2,2,0
Jambrung,0,0,20,7,8,5,13,7,0,6,14,16,4,0,0,0,20,0,,20,0,12,8,20,0,1,19,20,0
Devpada,0,0,10,8,2,0,8,2,0,7,3,6,4,0,0,0,10,0,,10,0,8,2,10,0,0,10,10,0
Pokharkarwadi,0,0,22,8,11,3,19,3,0,13,9,17,5,0,0,0,22,0,,22,0,10,12,22,0,0,22,22,0
Kothimbe,0,1,27,17,10,1,25,3,0,18,10,18,9,1,0,0,28,0,,28,0,11,17,28,0,0,28,28,0
Ukrul,0,0,11,5,6,0,5,6,0,8,3,5,6,0,0,0,11,0,,9,2,4,7,11,0,0,11,11,0
