village,Nitrogen High,Nitrogen Medium,Nitrogen Low,Phosphorus High,Phosphorus Medium,Phosphorus Low,Potassium High,Potassium Medium,Potassium Low,Sulphur Sufficient,Sulphur Deficient,None High,None Medium,None Low,pH Alkaline,pH Acidic,pH Neutral,Iron Sufficient,Iron Deficient,Zinc Sufficient,Zinc Deficient,Copper Sufficient,Copper Deficient,Boron Sufficient,Boron Deficient,Manganese Sufficient,Manganese Deficient
Anji (Mothi),0,2,34,1,19,16,34,2,0,34,2,0,1,35,0,0,36,0,36,13,23,36,0,23,13,33,3
Peth,0,17,49,1,49,16,61,5,0,61,5,1,4,61,0,0,66,0,66,19,47,66,0,45,21,66,0
Kamthi,0,28,73,1,30,70,81,20,0,91,10,1,13,87,0,0,101,0,101,0,100,47,8,17,84,93,8
Bhiwapur(saza Mirapur),1,42,56,0,43,56,99,0,0,92,6,1,20,78,0,0,99,0,99,0,99,81,15,61,38,0,99
Bhiwapur,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,1,1,0,1,0,0,1
Chunhala,1,27,82,11,22,77,109,0,1,90,20,6,12,92,0,0,110,0,110,52,58,110,0,59,51,101,9
Tigaon (54),0,32,73,10,28,67,17,86,2,92,13,1,22,82,0,0,105,0,105,45,60,104,1,81,24,77,28
Yerangaon,0,58,53,10,51,50,89,22,0,95,16,2,31,78,0,0,111,0,111,30,81,111,0,19,92,100,11
Ekurli,1,74,41,20,16,80,114,2,0,88,28,7,42,67,0,0,116,0,116,22,94,116,0,48,68,105,11
Jamtha,0,0,12,11,1,0,12,0,0,0,12,0,2,10,0,0,12,0,12,0,12,12,0,11,1,12,0
Selukate,0,0,10,10,0,0,10,0,0,0,10,0,2,8,0,0,10,0,10,0,10,10,0,10,0,10,0
Satoda,0,4,21,9,10,6,25,0,0,16,9,0,4,21,0,0,25,3,22,4,21,25,0,18,7,23,2
Pavnar,0,0,32,35,0,0,34,1,0,0,35,0,5,25,0,0,24,6,29,8,27,34,1,29,6,31,4
Mirapur,0,0,4,4,0,0,4,0,0,0,4,0,0,4,0,0,4,1,3,1,3,4,0,2,2,4,0
Borgaon (Nandora),0,0,10,10,0,0,10,0,0,0,10,0,0,10,0,0,10,2,8,2,8,10,0,10,0,9,1
Waigaon(Nipani),0,0,9,9,0,0,9,0,0,0,9,0,2,7,0,0,9,0,9,1,8,9,0,9,0,9,0
Rotha,0,0,6,6,0,0,6,0,0,0,6,0,0,6,0,0,6,0,6,2,4,6,0,5,1,6,0
Sultanpur,0,0,10,10,0,0,8,1,1,0,10,0,0,10,0,0,10,0,10,2,8,10,0,10,0,10,0
Taroda,0,0,10,10,0,0,10,0,0,0,10,0,0,10,0,0,10,0,10,0,10,10,0,10,0,10,0
Kedarwadi,0,0,10,10,0,0,10,0,0,0,10,0,0,10,0,0,10,0,10,1,9,10,0,8,2,10,0
Amboda,0,0,11,10,1,0,11,0,0,0,11,0,0,11,0,0,11,0,11,0,11,11,0,11,0,11,0
Bhawanpur,0,0,10,10,0,0,10,0,0,0,10,0,0,10,0,0,10,0,10,0,10,10,0,10,0,10,0
Borgaon (Savali),0,0,10,10,0,0,9,1,0,0,10,0,1,9,1,0,9,0,10,2,8,10,0,9,1,10,0
Mudhapur (Rith),0,0,10,10,0,0,10,0,0,0,10,0,0,10,0,0,10,0,10,0,10,10,0,9,1,10,0
Sonegaon (Sta.),0,0,22,22,0,0,22,0,0,0,22,0,3,19,0,0,22,1,21,1,21,22,0,18,4,22,0
Pujai,0,0,10,10,0,0,10,0,0,0,10,0,0,10,0,0,10,0,10,0,10,9,1,10,0,10,0
Dhanora,0,0,10,9,1,0,9,1,0,0,10,0,0,10,0,0,10,0,10,0,10,10,0,8,2,8,2
Jaulgaon,0,28,85,12,37,64,106,7,0,99,14,1,12,100,0,0,113,0,113,87,26,112,1,79,34,113,0
Malegaon,0,0,10,10,0,0,10,0,0,0,10,0,1,9,0,0,10,0,10,3,7,10,0,8,2,10,0
Bodad,0,0,10,10,0,0,10,0,0,0,10,0,0,10,0,0,10,1,9,1,9,10,0,10,0,10,0
Kurzadi (Fort),0,0,10,10,0,0,10,0,0,0,10,0,0,10,0,0,10,0,10,0,10,9,1,10,0,10,0
Bhankheda,0,0,10,10,0,0,10,0,0,0,10,0,1,9,0,0,10,0,10,0,10,10,0,10,0,10,0
