village,Nitrogen High,Nitrogen Medium,Nitrogen Low,Phosphorus High,Phosphorus Medium,Phosphorus Low,Potassium High,Potassium Medium,Potassium Low,Sulphur Sufficient,Sulphur Deficient,None High,None Medium,None Low,pH Alkaline,pH Acidic,pH Neutral,Iron Sufficient,Iron Deficient,Zinc Sufficient,Zinc Deficient,Copper Sufficient,Copper Deficient,Boron Sufficient,Boron Deficient,Manganese Sufficient,Manganese Deficient
Lyngkhom,1,3,16,1,11,8,1,18,1,20,0,20,0,0,0,10,10,17,3,20,0,20,0,2,18,20,0
Kenbah Malai,1,3,16,7,6,7,0,6,14,20,0,20,0,0,0,12,8,20,0,18,2,20,0,5,15,20,0
Mawsawa,1,6,12,9,10,0,0,14,5,19,0,19,0,0,0,12,7,19,0,19,0,18,1,4,15,19,0
Dewsaw,1,6,13,1,12,7,7,12,1,20,0,20,0,0,0,13,7,20,0,20,0,19,1,1,19,20,0
Mawrapat,1,3,18,3,11,8,4,7,11,22,0,22,0,0,0,15,7,22,0,22,0,20,2,4,18,22,0
Pomblang,4,8,4,5,3,8,12,4,0,16,0,13,0,3,0,10,6,16,0,12,4,7,9,0,16,16,0
Mawteibah,0,0,25,24,1,0,21,4,0,25,0,23,1,1,1,10,14,25,0,10,15,17,8,2,23,25,0
Kmawan,2,7,16,21,4,0,9,11,5,25,0,25,0,0,0,5,20,25,0,12,13,12,13,6,19,24,1
Dewsawlia,0,3,25,3,16,9,28,0,0,28,0,27,1,0,0,13,15,28,0,10,18,18,10,3,25,26,2
Lumdiengngan,3,7,12,17,4,1,22,0,0,22,0,20,2,0,0,6,16,21,1,7,15,13,9,3,19,20,2
Mawlynnu,0,5,19,21,3,0,12,12,0,24,0,24,0,0,0,10,14,24,0,13,11,16,8,2,22,20,4
Asimpara A,0,0,2,0,0,2,1,0,1,2,0,2,0,0,0,1,1,2,0,2,0,2,0,0,2,1,1
Dangar Dombah (Garo),0,2,18,2,15,3,0,20,0,20,0,19,0,1,0,20,0,20,0,16,4,9,11,7,13,18,2
Laitumsaw,0,1,28,4,22,3,29,0,0,29,0,29,0,0,0,25,4,27,2,21,8,15,14,10,19,27,2
Terajamra,0,4,7,3,5,3,11,0,0,11,0,11,0,0,0,9,2,11,0,10,1,7,4,2,9,8,3
Pyndensohsaw,0,0,16,4,7,5,14,2,0,16,0,16,0,0,0,16,0,15,1,13,3,10,6,5,11,14,2
Phlangwanbroi,0,0,25,4,18,3,25,0,0,25,0,25,0,0,0,25,0,25,0,18,7,11,14,2,23,23,2
