village,Nitrogen High,Nitrogen Medium,Nitrogen Low,Phosphorus High,Phosphorus Medium,Phosphorus Low,Potassium High,Potassium Medium,Potassium Low,Sulphur Sufficient,Sulphur Deficient,None High,None Medium,None Low,pH Alkaline,pH Acidic,pH Neutral,EC Saline,EC Deficient,Iron Sufficient,Iron Deficient,Zinc Sufficient,Zinc Deficient,Copper Sufficient,Copper Deficient,Boron Sufficient,Boron Deficient,Manganese Sufficient,Manganese Deficient
Mustem,0,20,1,3,9,9,0,16,5,4,17,12,7,2,0,21,0,0,,21,0,21,0,21,0,8,13,21,0
Iongnoh,0,141,5,2,13,131,15,123,8,76,70,123,17,6,0,133,13,0,,25,122,147,0,146,0,4,142,62,85
Chyrmang Wah,0,20,0,1,8,11,0,19,1,4,16,14,1,5,0,19,1,0,,17,3,20,0,20,0,8,12,20,0
Ialong,0,45,31,2,12,62,0,76,0,57,19,57,7,12,0,72,4,0,,64,12,75,1,76,0,74,2,50,26
ATS,0,73,60,31,39,63,10,119,4,89,44,112,11,10,0,101,32,0,,54,79,128,5,133,0,113,20,82,51
Mihmyntdu,0,40,38,8,19,51,4,67,7,50,28,59,6,13,0,47,31,0,,41,37,76,2,78,0,78,0,72,6
Chyrmang Nein,0,4,1,2,3,0,0,5,0,0,5,4,0,1,0,5,0,0,,4,1,5,0,5,0,4,1,5,0
Sabahmuswang,0,24,25,0,15,34,1,37,11,20,29,47,2,0,0,49,0,0,,33,16,48,1,49,0,25,24,48,1
Mupliang,0,0,7,0,2,5,3,4,0,4,3,7,0,0,0,5,2,0,,4,3,7,0,7,0,7,0,2,5
Demthring,0,86,55,36,59,46,17,113,11,102,39,131,2,8,0,124,17,1,,45,96,139,2,141,0,31,110,104,37
Moodymmai,0,46,76,52,57,13,24,94,4,92,30,112,2,8,0,113,8,0,,78,44,122,0,122,0,122,0,99,23
Pynthorlangtein,1,93,14,13,39,56,5,99,4,43,65,105,2,1,0,101,7,1,,35,73,107,1,108,0,107,1,91,17
Sohmynting,0,44,4,2,10,36,1,42,5,31,17,44,1,3,0,47,1,0,,33,15,46,2,48,0,48,0,45,3
Umlangshor,0,57,64,60,30,31,22,93,6,73,48,112,5,3,0,112,9,0,,87,34,120,1,121,0,121,0,86,35
Khliehtyrshi,0,1,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,,0,1,1,0,1,0,1,0,1,0
Ummulong,0,1,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,,0,1,1,0,1,0,1,0,1,0
Mookaswan,0,1,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,,0,1,1,0,1,0,1,0,1,0
Mukhla Nongrim,0,1,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,,0,1,1,0,1,0,1,0,1,0
Nongbah,0,1,2,1,1,1,2,1,0,1,2,2,1,0,0,0,3,0,,3,0,3,0,3,0,3,0,3,0
Nartiang,0,0,1,0,0,1,0,1,0,0,1,1,0,0,0,1,0,0,,1,0,1,0,1,0,1,0,0,1
Lumtrep,0,1,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,,0,1,1,0,1,0,1,0,0,1
Wahiajer,0,82,5,14,25,48,2,67,18,87,0,79,8,0,0,84,3,0,,50,37,87,0,87,0,87,0,74,13
Madur,0,0,1,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,,0,1,1,0,1,0,1,0,0,1
Wahrymbai,0,2,0,0,0,2,0,1,1,2,0,2,0,0,0,2,0,0,,1,1,2,0,2,0,2,0,1,1
Moobyrni,0,1,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,,1,0,1,0,1,0,1,0,0,1
