village,Nitrogen High,Nitrogen Medium,Nitrogen Low,Phosphorus High,Phosphorus Medium,Phosphorus Low,Potassium High,Potassium Medium,Potassium Low,Sulphur Sufficient,Sulphur Deficient,None High,None Medium,None Low,pH Alkaline,pH Acidic,pH Neutral,Iron Sufficient,Iron Deficient,Zinc Sufficient,Zinc Deficient,Copper Sufficient,Copper Deficient,Boron Sufficient,Boron Deficient,Manganese Sufficient,Manganese Deficient
Thentlang,0,12,115,23,102,2,5,19,103,0,0,101,6,20,0,51,76,0,0,0,0,0,0,0,0,0,0
Chhiahtlang North,0,1,10,3,8,0,1,1,9,0,0,11,0,0,0,7,4,0,0,0,0,0,0,0,0,0,0
Hmawngkawn,0,10,57,9,51,7,0,5,62,0,0,67,0,0,0,25,42,0,0,0,0,0,0,0,0,0,0
Hualtu,0,8,158,50,116,0,0,7,159,0,0,135,6,25,0,67,99,0,0,0,0,0,0,0,0,0,0
New Serchhip North,0,7,111,7,73,38,6,26,86,0,0,86,10,22,0,52,66,0,0,0,0,0,0,0,0,0,0
Hmunzawl,0,2,0,1,1,0,0,0,2,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
Ngentiang,0,1,57,30,28,0,0,3,55,0,0,48,7,3,0,29,29,0,0,0,0,0,0,0,0,0,0
Lungpho,0,1,47,21,26,1,0,10,38,0,0,40,5,3,0,21,27,0,0,0,0,0,0,0,0,0,0
Hmuntha,0,6,115,43,78,0,0,14,107,0,0,92,6,23,0,54,67,0,0,0,0,0,0,0,0,0,0
Khawbel,0,3,75,41,37,0,0,9,69,0,0,62,11,5,0,31,47,0,0,0,0,0,0,0,0,0,0
Khumtung,0,7,179,34,146,6,7,27,152,0,0,151,20,15,0,70,116,0,0,0,0,0,0,0,0,0,0
Thenzawl Vengthar,0,0,57,23,34,0,0,11,46,0,0,53,1,3,0,32,25,0,0,0,0,0,0,0,0,0,0
Thenzawl West,0,0,86,36,49,1,3,22,61,0,0,82,3,1,0,54,32,0,0,0,0,0,0,0,0,0,0
Thenzawl Kanan,0,0,68,15,53,0,0,2,66,0,0,59,1,8,0,41,27,0,0,0,0,0,0,0,0,0,0
Serchhip VII,0,0,4,0,4,0,0,1,3,0,0,4,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0
Serchhip II,0,0,8,2,6,0,0,2,6,0,0,6,1,1,0,5,3,0,0,0,0,0,0,0,0,0,0
New Serchhip South,0,1,42,1,23,19,3,13,27,0,0,37,2,4,0,16,27,0,0,0,0,0,0,0,0,0,0
Chhingchhip,0,10,174,30,151,3,9,36,139,0,0,142,8,34,0,80,104,0,0,0,0,0,0,0,0,0,0
Chhiahtlang South,0,0,5,0,5,0,0,2,3,0,0,4,0,1,0,1,4,0,0,0,0,0,0,0,0,0,0
Serchhip VI,0,0,6,0,5,1,1,2,3,0,0,4,2,0,0,1,5,0,0,0,0,0,0,0,0,0,0
Serchhip IV,0,0,4,0,3,1,0,0,4,0,0,1,2,1,0,2,2,0,0,0,0,0,0,0,0,0,0
Serchhip III,0,4,18,2,17,3,0,1,21,0,0,20,2,0,0,10,12,0,0,0,0,0,0,0,0,0,0
Hriangtlang,0,2,209,38,166,7,5,62,144,0,0,181,11,19,0,90,121,0,0,0,0,0,0,0,0,0,0
Thenzawl East,0,4,92,8,80,8,0,63,33,0,0,96,0,0,0,51,45,0,0,0,0,0,0,0,0,0,0
Bungtlang,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
