village,Nitrogen High,Nitrogen Medium,Nitrogen Low,Phosphorus High,Phosphorus Medium,Phosphorus Low,Potassium High,Potassium Medium,Potassium Low,Sulphur Sufficient,Sulphur Deficient,None High,None Medium,None Low,pH Alkaline,pH Acidic,pH Neutral,Iron Sufficient,Iron Deficient,Zinc Sufficient,Zinc Deficient,Copper Sufficient,Copper Deficient,Boron Sufficient,Boron Deficient,Manganese Sufficient,Manganese Deficient
Gandamula(Gandamal),0,0,8,5,3,0,4,4,0,6,2,3,5,0,0,3,5,8,0,7,1,8,0,2,6,8,0
Jharabeda,0,2,5,3,4,0,4,3,0,6,1,3,3,1,0,5,2,7,0,6,1,7,0,1,6,7,0
Susuba,0,0,12,7,5,0,4,8,0,12,0,0,11,1,0,1,11,12,0,12,0,12,0,2,10,12,0
Suleipal,0,5,23,10,14,4,11,17,0,25,3,14,11,3,0,15,13,27,1,27,1,28,0,4,24,28,0
Duarabandha,0,0,3,1,2,0,0,3,0,3,0,0,2,1,0,0,3,3,0,3,0,3,0,0,3,3,0
Bhaliabeda,0,1,34,17,17,1,19,16,0,33,2,2,26,7,0,3,32,34,1,32,3,35,0,9,26,34,1
Gengutia,0,5,24,10,17,2,16,13,0,23,6,9,14,6,0,13,16,24,5,25,4,28,1,7,22,28,1
Barhampur,0,0,1,0,1,0,0,1,0,1,0,0,1,0,0,0,1,1,0,1,0,1,0,0,1,1,0
Arkili,0,0,2,0,2,0,1,1,0,0,2,0,2,0,0,0,2,2,0,2,0,2,0,0,2,2,0
Karadakhaman,0,0,1,0,1,0,0,1,0,1,0,0,1,0,0,0,1,1,0,1,0,1,0,0,1,1,0
Rengali (Part),0,0,13,7,5,1,1,12,0,9,4,1,10,2,0,4,9,13,0,11,2,12,1,6,7,13,0
Nalam,0,8,77,41,42,2,42,42,1,75,10,24,45,16,0,14,71,84,1,69,16,85,0,23,62,85,0
Biru,0,0,17,16,1,0,1,16,0,17,0,1,16,0,0,1,16,17,0,16,1,17,0,12,5,17,0
Bulajhar,0,0,31,13,18,0,0,31,0,29,2,1,22,8,0,7,24,31,0,28,3,31,0,5,26,31,0
Karnapal,0,15,81,47,43,6,62,33,1,78,18,37,42,17,0,4,92,89,7,82,14,94,2,18,78,96,0
Jhadagram,0,0,1,0,1,0,0,1,0,1,0,0,1,0,0,0,1,1,0,1,0,1,0,0,1,1,0
Seepur,0,4,34,18,16,4,20,14,4,27,11,11,23,4,0,5,33,37,1,25,13,38,0,7,31,38,0
Nilapasi,0,0,4,3,1,0,2,2,0,3,1,0,2,2,0,0,4,4,0,4,0,4,0,1,3,4,0
Khindo,0,0,43,26,17,0,16,27,0,29,14,0,36,7,0,0,43,41,2,39,4,43,0,3,40,43,0
Takua,0,2,31,25,5,3,24,9,0,21,12,14,15,4,0,3,30,31,2,32,1,33,0,5,28,33,0
Baradangua,0,8,15,5,15,3,17,6,0,21,2,11,9,3,0,6,17,23,0,16,7,23,0,3,20,23,0
Rangabeda,0,0,2,2,0,0,0,2,0,2,0,0,2,0,0,0,2,2,0,2,0,2,0,0,2,2,0
Gadasila,0,0,4,4,0,0,0,4,0,4,0,2,2,0,0,0,4,4,0,3,1,4,0,0,4,4,0
Balipasi,0,1,1,1,1,0,1,1,0,2,0,1,1,0,0,0,2,2,0,1,1,2,0,0,2,2,0
Kusumpal,0,1,5,0,5,1,4,2,0,5,1,2,4,0,0,1,5,6,0,4,2,6,0,2,4,6,0
Bilinda,0,4,41,32,11,2,21,24,0,35,10,23,19,3,0,3,42,44,1,27,18,45,0,8,37,45,0
Saradhapur,0,0,5,3,2,0,2,3,0,4,1,1,2,2,0,0,5,5,0,3,2,5,0,3,2,5,0
Paramapasi,0,0,1,1,0,0,0,1,0,0,1,0,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0
Podagarh,0,2,19,9,9,3,17,4,0,18,3,9,10,2,0,12,9,18,3,17,4,21,0,4,17,21,0
Patakhaman,0,0,2,0,1,1,2,0,0,2,0,0,2,0,0,1,1,2,0,1,1,2,0,1,1,2,0
Bijigol,0,5,12,2,11,4,10,6,1,15,2,9,7,1,0,9,8,17,0,16,1,17,0,6,11,17,0
Samal,0,0,3,1,2,0,1,2,0,2,1,1,2,0,0,0,3,3,0,3,0,3,0,0,3,3,0
Bajrakot,0,4,21,9,13,3,17,8,0,18,7,8,11,6,0,4,21,25,0,22,3,25,0,4,21,25,0
Sansamara,0,0,10,0,4,6,7,3,0,6,4,0,5,5,0,0,10,10,0,8,2,10,0,1,9,10,0
Balipasi,0,0,8,0,7,1,6,2,0,4,4,1,7,0,0,0,8,8,0,6,2,7,1,0,8,8,0
Kendubereni,0,1,3,1,3,0,3,1,0,3,1,1,1,2,0,1,3,4,0,4,0,4,0,0,4,4,0
Suajhari,0,2,22,1,22,1,20,4,0,19,5,7,9,8,0,2,22,22,2,21,3,24,0,0,24,24,0
Barapada,0,1,7,0,6,2,6,2,0,5,3,6,2,0,0,1,7,8,0,8,0,8,0,1,7,8,0
Durgapur,0,6,24,5,24,1,23,7,0,20,10,13,13,4,0,3,27,27,3,27,3,29,1,1,29,30,0
Titirima,0,0,16,15,0,1,5,11,0,13,3,1,14,1,0,0,16,16,0,14,2,16,0,8,8,16,0
Godigotha,0,0,4,1,3,0,2,2,0,2,2,0,0,4,0,3,1,4,0,4,0,4,0,0,4,4,0
Poipal,0,0,1,1,0,0,1,0,0,1,0,1,0,0,0,0,1,1,0,1,0,1,0,0,1,1,0
Biswalmunda,0,2,3,0,3,2,5,0,0,4,1,2,2,1,0,0,5,5,0,5,0,5,0,0,5,5,0
Mahidharpur,0,0,3,0,2,1,2,1,0,2,1,0,3,0,0,0,3,3,0,2,1,3,0,0,3,3,0
Gaham,0,0,26,22,4,0,8,18,0,17,9,1,14,11,0,0,26,24,2,15,11,25,1,8,18,26,0
Kulapal,0,3,6,3,6,0,7,2,0,9,0,4,4,1,0,0,9,8,1,8,1,9,0,1,8,9,0
Kuhnapal,0,0,1,1,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,1,0,1,0,0,1,1,0
Kaharmunda,0,0,1,0,1,0,1,0,0,0,1,0,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0
Sanatribida,0,3,7,1,9,0,4,6,0,10,0,6,4,0,0,0,10,10,0,9,1,10,0,3,7,10,0
Harichandanpur,0,2,17,7,11,1,17,2,0,17,2,9,9,1,0,1,18,19,0,11,8,19,0,5,14,19,0
Chandrabil,0,2,23,6,19,0,13,12,0,17,8,10,9,6,0,3,22,25,0,16,9,24,1,11,14,25,0
Dhobapal,0,1,27,4,22,2,26,1,1,23,5,6,16,6,0,0,28,28,0,24,4,27,1,7,21,28,0
Burukuna,0,0,1,0,1,0,0,1,0,1,0,0,1,0,0,0,1,1,0,1,0,1,0,0,1,1,0
Mahuliapasi,0,6,42,8,35,5,44,4,0,39,9,15,26,7,0,0,48,47,1,43,5,47,1,10,38,48,0
Siaria,0,0,1,0,1,0,0,1,0,1,0,0,1,0,0,0,1,1,0,1,0,1,0,0,1,1,0
Talabahal,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,1,1,0,1,0,1,0,0,1,1,0
Saradhapur,0,0,1,0,1,0,1,0,0,1,0,1,0,0,0,0,1,1,0,1,0,1,0,0,1,1,0
Changudia,0,0,4,3,1,0,0,4,0,3,1,1,2,1,0,1,3,4,0,3,1,3,1,0,4,4,0
Balipata,0,4,12,3,12,1,7,8,1,10,6,8,5,3,0,4,12,16,0,15,1,16,0,3,13,16,0
Jharabereni,0,1,4,0,5,0,2,3,0,5,0,2,3,0,0,0,5,5,0,4,1,5,0,1,4,5,0
Derang,0,0,2,0,2,0,2,0,0,1,1,0,1,1,0,1,1,2,0,2,0,2,0,1,1,2,0
Bol,0,0,3,0,3,0,2,1,0,2,1,0,3,0,0,0,3,3,0,2,1,3,0,1,2,3,0
Atabira,0,0,5,1,4,0,2,3,0,5,0,0,4,1,0,0,5,5,0,4,1,5,0,2,3,5,0
Hanumanpur,0,2,9,3,7,1,3,8,0,11,0,3,6,2,0,0,11,11,0,8,3,11,0,3,8,11,0
Badatribida,0,1,6,1,6,0,6,1,0,6,1,1,3,3,0,0,7,7,0,6,1,7,0,3,4,7,0
Kakudia,0,7,28,5,29,1,20,15,0,25,10,14,14,7,0,7,28,35,0,27,8,34,1,11,24,35,0
Khajuria,0,1,3,0,4,0,2,2,0,3,1,2,2,0,0,0,4,4,0,4,0,4,0,3,1,4,0
Ghantianali,0,1,14,2,13,0,10,5,0,14,1,7,6,2,0,1,14,15,0,13,2,15,0,4,11,15,0
Sapakata,0,1,19,13,7,0,7,13,0,16,4,3,8,9,0,0,20,19,1,20,0,18,2,2,18,19,1
Siling,0,0,5,5,0,0,1,4,0,4,1,0,3,2,0,0,5,5,0,4,1,5,0,4,1,5,0
parabil,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0
Khalapal,0,0,6,0,6,0,1,5,0,4,2,0,4,2,0,2,4,6,0,5,1,6,0,0,6,6,0
Kulabir,0,0,1,1,0,0,0,1,0,1,0,0,1,0,0,0,1,1,0,1,0,1,0,0,1,1,0
Denali,0,0,2,2,0,0,1,1,0,2,0,0,2,0,0,0,2,2,0,2,0,2,0,1,1,2,0
Kaliadama,0,0,2,0,2,0,0,2,0,2,0,2,0,0,0,0,2,2,0,2,0,2,0,0,2,2,0
Katarapali,0,0,1,0,1,0,0,1,0,1,0,0,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0
Birabhuin,0,2,0,0,2,0,2,0,0,2,0,2,0,0,0,0,2,2,0,2,0,2,0,1,1,2,0
Brahmanidei,0,2,6,3,5,0,2,6,0,7,1,2,3,3,0,0,8,8,0,6,2,8,0,1,7,8,0
Kaniha,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,1,1,0,1,0,1,0,0,1,1,0
Mohinipal,0,0,4,4,0,0,0,4,0,2,2,0,2,2,0,0,4,1,3,4,0,3,1,0,4,4,0
Baudabeda,0,1,8,6,3,0,1,8,0,7,2,1,4,4,0,0,9,9,0,8,1,9,0,1,8,9,0
Talapada,0,0,1,1,0,0,0,1,0,1,0,0,1,0,0,0,1,1,0,1,0,1,0,0,1,1,0
Patharamunda,0,3,3,4,2,0,6,0,0,5,1,5,1,0,0,0,6,6,0,5,1,6,0,0,6,6,0
Tolokabeda,0,1,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,1,0,0,1,1,0,0,1,1,0
Kulei,0,6,34,38,2,0,15,25,0,32,8,13,18,9,0,0,40,40,0,38,2,40,0,8,32,40,0
Katarapada,0,0,5,5,0,0,3,2,0,5,0,1,3,1,0,0,5,5,0,5,0,5,0,0,5,5,0
