village,Nitrogen High,Nitrogen Medium,Nitrogen Low,Phosphorus High,Phosphorus Medium,Phosphorus Low,Potassium High,Potassium Medium,Potassium Low,Sulphur Sufficient,Sulphur Deficient,None High,None Medium,None Low,pH Alkaline,pH Acidic,pH Neutral,EC Saline,EC Deficient,Iron Sufficient,Iron Deficient,Zinc Sufficient,Zinc Deficient,Copper Sufficient,Copper Deficient,Boron Sufficient,Boron Deficient,Manganese Sufficient,Manganese Deficient
Fatkara,0,10,27,2,33,2,10,23,4,29,8,7,23,7,0,0,37,0,,36,1,32,5,37,0,12,25,37,0
Gaintala,0,5,31,2,28,6,4,25,7,33,3,5,26,5,0,0,36,0,,35,1,29,7,36,0,13,23,36,0
Junapadar,1,11,91,3,88,12,24,70,9,91,12,23,57,23,0,0,103,0,,102,1,80,23,101,2,34,69,102,1
Motijharia,0,0,6,2,4,0,0,6,0,6,0,2,4,0,0,0,6,0,,6,0,4,2,6,0,1,5,6,0
Pipirda,0,10,17,0,26,1,5,16,6,18,9,2,20,5,0,0,27,0,,27,0,20,7,27,0,12,15,27,0
Ranikata,0,18,23,4,34,3,9,29,3,39,2,9,24,8,0,0,41,0,,41,0,18,23,41,0,12,29,41,0
Bileikani,0,1,21,0,21,1,6,12,4,22,0,4,18,0,0,0,22,0,,22,0,21,1,22,0,7,15,22,0
Mahimunda,0,7,23,1,25,4,7,21,2,26,4,5,21,4,0,0,30,0,,29,1,25,5,30,0,11,19,30,0
Kurul,1,11,41,11,38,4,10,33,10,44,9,8,31,14,0,5,48,0,,51,2,33,20,51,2,18,35,52,1
Bharatbahal,0,3,20,0,23,0,4,13,6,21,2,4,13,6,0,0,23,0,,23,0,20,3,23,0,15,8,23,0
Chichindapali,0,1,12,0,13,0,2,9,2,12,1,1,10,2,0,0,13,0,,13,0,10,3,13,0,2,11,13,0
Malmunda,0,3,11,0,12,2,1,10,3,10,4,3,8,3,0,0,14,0,,14,0,12,2,14,0,10,4,14,0
Dumerpali,1,3,7,0,8,3,7,0,4,11,0,0,10,1,0,0,11,0,,11,0,10,1,11,0,3,8,11,0
Budhisindhol,0,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,,1,0,1,0,1,0,1,0,1,0
Charbahali,0,1,7,0,7,1,2,5,1,8,0,3,3,2,0,0,8,0,,8,0,7,1,8,0,0,8,8,0
Bandanakata,0,2,14,2,14,0,3,13,0,15,1,5,8,3,0,0,16,0,,16,0,15,1,16,0,5,11,16,0
