village,Nitrogen High,Nitrogen Medium,Nitrogen Low,Phosphorus High,Phosphorus Medium,Phosphorus Low,Potassium High,Potassium Medium,Potassium Low,Sulphur Sufficient,Sulphur Deficient,None High,None Medium,None Low,pH Alkaline,pH Acidic,pH Neutral,EC Saline,EC Deficient,Iron Sufficient,Iron Deficient,Zinc Sufficient,Zinc Deficient,Copper Sufficient,Copper Deficient,Boron Sufficient,Boron Deficient,Manganese Sufficient,Manganese Deficient
Bamadeipur,0,0,27,24,3,0,10,17,0,1,26,1,11,15,0,24,3,0,,20,7,5,22,27,0,18,9,23,4
Barabelari,0,0,18,14,4,0,6,12,0,0,18,0,7,11,0,18,0,0,,18,0,16,2,18,0,10,8,3,15
Dhuansahi,0,0,47,39,8,0,8,30,9,1,46,0,29,18,0,37,10,0,,47,0,13,34,46,1,38,9,44,3
Ersama,0,0,3,3,0,0,1,2,0,0,3,0,0,3,0,3,0,0,,3,0,1,2,2,1,2,1,3,0
Kimilo,0,0,1,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,,1,0,0,1,1,0,1,0,1,0
Bareikana,0,0,8,8,0,0,2,6,0,0,8,0,3,5,0,8,0,0,,7,1,0,8,8,0,4,4,8,0
Mirjapur,0,0,24,23,0,1,4,14,6,0,24,0,10,14,0,24,0,0,,23,1,1,23,24,0,17,7,19,5
Dasipur,0,0,22,21,1,0,6,8,8,6,16,3,15,4,0,15,7,0,,22,0,7,15,22,0,20,2,21,1
Dhalipanga,0,0,16,12,4,0,4,8,4,1,15,1,6,9,0,15,1,0,,16,0,0,16,16,0,14,2,13,3
Ekagharia,0,0,13,10,3,0,1,9,3,0,13,0,3,10,0,12,1,1,,13,0,7,6,13,0,8,5,7,6
Mandira,0,0,14,14,0,0,1,9,4,2,12,0,6,8,0,11,3,0,,13,1,10,4,14,0,10,4,2,12
Saintol,0,0,27,26,1,0,3,18,6,5,22,0,9,18,0,24,3,0,,27,0,14,13,27,0,21,6,12,15
Sundarkani,0,0,20,19,1,0,1,16,3,0,20,0,5,15,0,11,9,0,,19,1,19,1,20,0,15,5,1,19
Sahadabedi,0,0,20,18,2,0,4,14,2,0,20,0,5,15,0,20,0,0,,20,0,12,8,20,0,16,4,9,11
Sumada,0,0,59,57,2,0,9,28,22,9,50,0,15,44,0,27,32,0,,51,8,50,9,59,0,38,21,6,53
Katijanga,0,0,25,24,1,0,5,8,12,0,25,0,5,20,0,6,19,0,,24,1,22,3,25,0,19,6,3,22
Nuadihi,0,0,9,7,2,0,2,4,3,4,5,0,7,2,0,8,1,0,,9,0,4,5,9,0,9,0,7,2
Palikanta,0,0,32,31,0,1,7,18,7,0,32,0,9,23,0,16,16,0,,27,5,15,17,32,0,22,10,14,18
