village,Nitrogen High,Nitrogen Medium,Nitrogen Low,Phosphorus High,Phosphorus Medium,Phosphorus Low,Potassium High,Potassium Medium,Potassium Low,Sulphur Sufficient,Sulphur Deficient,None High,None Medium,None Low,pH Alkaline,pH Acidic,pH Neutral,EC Saline,EC Deficient,Iron Sufficient,Iron Deficient,Zinc Sufficient,Zinc Deficient,Copper Sufficient,Copper Deficient,Boron Sufficient,Boron Deficient,Manganese Sufficient,Manganese Deficient
Baulanga,0,0,74,67,7,0,10,49,15,9,65,0,45,29,0,25,49,0,,72,2,16,58,74,0,62,12,67,7
Karatutha,0,0,5,5,0,0,0,4,1,0,5,0,5,0,0,3,2,0,,5,0,3,2,5,0,4,1,4,1
Mirigidiakandha,0,0,1,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,,1,0,1,0,1,0,1,0,0,1
Kalikuda,0,0,5,4,1,0,0,5,0,0,5,0,4,1,0,4,1,0,,4,1,1,4,5,0,4,1,3,2
Srichandanpur,0,0,10,5,4,1,0,10,0,1,9,0,4,6,0,10,0,0,,6,4,2,8,10,0,9,1,10,0
Badabalikani,0,0,15,8,7,0,2,13,0,0,15,1,4,10,0,10,5,0,,14,1,2,13,14,1,13,2,12,3
Madhapur,0,0,3,1,2,0,1,2,0,1,2,0,0,3,0,1,2,0,,2,1,0,3,3,0,3,0,3,0
Anoli,0,0,16,8,8,0,0,13,3,1,15,0,5,11,0,8,8,0,,13,3,3,13,16,0,13,3,14,2
Samapur,0,0,23,21,2,0,3,20,0,0,23,0,9,14,0,6,17,0,,23,0,3,20,23,0,20,3,22,1
Hansura,0,0,9,5,4,0,0,8,1,0,9,0,3,6,0,4,5,0,,7,2,3,6,9,0,7,2,9,0
Sanabalikani,0,0,13,6,7,0,0,12,1,1,12,0,5,8,0,5,8,0,,10,3,6,7,12,1,11,2,9,4
Chaudhurikuda,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,,1,0,0,1,1,0,1,0,1,0
Sarali,0,0,5,5,0,0,0,4,1,0,5,0,2,3,0,2,3,0,,4,1,1,4,5,0,5,0,4,1
