village,Nitrogen High,Nitrogen Medium,Nitrogen Low,Phosphorus High,Phosphorus Medium,Phosphorus Low,Potassium High,Potassium Medium,Potassium Low,Sulphur Sufficient,Sulphur Deficient,None High,None Medium,None Low,pH Alkaline,pH Acidic,pH Neutral,EC Saline,EC Deficient,Iron Sufficient,Iron Deficient,Zinc Sufficient,Zinc Deficient,Copper Sufficient,Copper Deficient,Boron Sufficient,Boron Deficient,Manganese Sufficient,Manganese Deficient
Salabani,0,1,30,2,17,12,2,19,10,12,19,2,24,5,0,8,23,0,,27,4,17,14,26,5,12,19,24,7
Manoharpur,0,1,44,3,14,28,3,30,12,27,18,20,13,12,0,10,35,0,,45,0,26,19,37,8,22,23,41,4
Baladuan,0,4,42,2,23,21,8,18,20,21,25,13,23,10,0,8,38,0,,44,2,27,19,37,9,20,26,38,8
Panasijharan,0,0,9,0,6,3,0,5,4,2,7,0,5,4,0,0,9,0,,9,0,4,5,6,3,2,7,7,2
Marsapal,0,0,3,0,1,2,0,2,1,0,3,2,1,0,0,0,3,0,,3,0,2,1,2,1,0,3,3,0
Badaektali,0,0,34,3,21,10,0,22,12,7,27,6,15,13,0,1,33,1,,28,6,13,21,20,14,12,22,25,9
Sanapurunapani,0,0,4,0,3,1,0,2,2,1,3,1,2,1,0,0,4,0,,3,1,3,1,4,0,0,4,4,0
Mandapada,0,1,4,0,4,1,0,4,1,0,5,1,2,2,0,0,5,0,,4,1,3,2,2,3,0,5,4,1
Badakusapada,1,0,13,1,8,5,1,7,6,2,12,5,3,6,0,0,14,0,,11,3,7,7,8,6,4,10,13,1
Baigundi,0,1,2,1,2,0,1,1,1,1,2,0,2,1,0,0,3,0,,2,1,0,3,2,1,1,2,2,1
Budhikuda,0,3,61,8,44,12,7,28,29,15,49,12,24,28,0,4,60,0,,54,10,28,36,44,20,17,47,48,16
Belabhali,0,12,30,1,30,11,4,22,16,7,35,10,18,14,0,2,40,0,,38,4,17,25,42,0,16,26,36,6
Siapada,0,2,4,1,5,0,1,2,3,1,5,2,3,1,0,1,5,0,,6,0,4,2,6,0,1,5,5,1
Amarnga,0,2,31,3,20,10,2,13,18,5,28,5,20,8,0,1,32,0,,23,10,14,19,25,8,9,24,22,11
Mangalpur,0,2,27,3,20,6,2,16,11,4,25,13,11,5,0,0,29,0,,28,1,13,16,20,9,10,19,23,6
Panchupali,0,10,64,5,51,18,6,30,38,12,62,11,33,30,0,7,67,0,,65,9,31,43,49,25,21,53,54,20
Haridapal,0,1,24,1,20,4,0,13,12,7,18,8,12,5,0,3,22,0,,22,3,11,14,17,8,6,19,22,3
Bhalukhuma,0,1,7,0,6,2,0,3,5,1,7,0,3,5,0,0,8,0,,2,6,2,6,4,4,2,6,2,6
Tangar,0,0,26,0,2,24,8,16,2,24,2,10,13,3,0,15,11,0,,25,1,20,6,25,1,19,7,24,2
Dumuridiha,0,1,6,0,4,3,0,4,3,1,6,3,3,1,0,1,6,0,,6,1,3,4,4,3,0,7,5,2
Sanakusapada,0,0,10,0,1,9,0,8,2,8,2,7,3,0,0,2,8,0,,9,1,6,4,10,0,3,7,10,0
Purunaghati,0,4,61,4,48,13,2,21,42,12,53,12,28,25,0,3,62,0,,52,13,21,44,42,23,16,49,50,15
Jogiabandha,0,4,25,1,13,15,2,14,13,11,18,14,7,8,0,5,24,0,,29,0,14,15,22,7,15,14,25,4
Nayagarh,0,3,16,0,15,4,0,8,11,2,17,0,8,11,0,2,17,0,,13,6,6,13,14,5,6,13,11,8
Chhatrakana,0,0,9,0,3,6,1,5,3,4,5,0,5,4,0,3,6,0,,9,0,4,5,6,3,4,5,9,0
Mochinda,0,0,21,0,9,12,0,13,8,10,11,8,8,5,0,1,20,0,,20,1,10,11,17,4,12,9,18,3
Khadipal,1,1,49,1,31,19,4,24,23,14,37,11,20,20,0,5,46,0,,47,4,29,22,43,8,22,29,46,5
Panchanga,0,1,4,0,1,4,0,5,0,3,2,4,0,1,0,2,3,0,,5,0,4,1,5,0,4,1,5,0
Gayalmunda,0,5,60,1,29,35,2,41,22,30,35,21,28,16,0,19,46,0,,57,8,42,23,57,8,33,32,50,15
Putajhari,0,0,16,1,9,6,0,6,10,6,10,1,7,8,0,1,15,0,,11,5,10,6,12,4,5,11,12,4
Dhabani,0,1,8,0,6,3,0,2,7,2,7,2,2,5,0,2,7,0,,6,3,4,5,4,5,4,5,5,4
Badapurunapani,0,1,12,0,9,4,0,8,5,4,9,1,6,6,0,3,10,0,,10,3,9,4,11,2,6,7,9,4
Baunsagarh,1,2,91,7,65,22,18,35,41,20,74,10,64,20,0,8,86,0,,29,65,19,75,43,51,30,64,32,62
Kodapada,0,5,38,1,21,21,4,25,14,20,23,10,23,10,0,11,32,0,,41,2,26,17,36,7,22,21,40,3
Goudadiha,0,1,15,0,3,13,1,11,4,10,6,3,12,1,0,2,14,0,,16,0,13,3,15,1,9,7,15,1
Beladiha,0,4,12,0,7,9,1,11,4,7,9,3,9,4,0,4,12,0,,16,0,12,4,14,2,8,8,15,1
Vogapur,0,0,2,0,0,2,0,1,1,1,1,1,0,1,0,0,2,0,,2,0,1,1,1,1,1,1,2,0
Panasagadia,0,0,15,0,12,3,0,10,5,1,14,2,7,6,0,0,15,0,,15,0,6,9,10,5,6,9,11,4
Gentubeda,0,0,5,1,3,1,0,3,2,0,5,0,3,2,0,0,5,0,,5,0,3,2,3,2,3,2,5,0
Jayantibeda,0,0,10,0,8,2,0,4,6,2,8,3,5,2,0,0,10,0,,10,0,5,5,9,1,3,7,9,1
Asanabani,0,3,10,1,11,1,1,6,6,2,11,4,4,5,0,1,12,0,,13,0,7,6,10,3,4,9,11,2
Arjunbania,0,7,31,4,25,9,1,19,18,4,34,2,23,13,0,2,36,0,,30,8,17,21,24,14,15,23,22,16
kamando,0,4,17,2,12,7,0,10,11,2,19,2,14,5,0,0,21,0,,20,1,9,12,18,3,4,17,19,2
Banika,0,0,33,4,19,10,2,18,13,7,26,7,15,11,0,1,32,0,,26,7,8,25,24,9,11,22,27,6
Hatibandha,0,0,2,0,2,0,0,0,2,1,1,0,0,2,0,0,2,0,,2,0,0,2,1,1,0,2,2,0
