village,Nitrogen High,Nitrogen Medium,Nitrogen Low,Phosphorus High,Phosphorus Medium,Phosphorus Low,Potassium High,Potassium Medium,Potassium Low,Sulphur Sufficient,Sulphur Deficient,None High,None Medium,None Low,pH Alkaline,pH Acidic,pH Neutral,EC Saline,EC Deficient,Iron Sufficient,Iron Deficient,Zinc Sufficient,Zinc Deficient,Copper Sufficient,Copper Deficient,Boron Sufficient,Boron Deficient,Manganese Sufficient,Manganese Deficient
Baurigan,0,7,17,0,3,21,4,18,2,9,15,12,4,8,0,16,8,0,,24,0,20,4,24,0,4,20,24,0
Nipania,0,9,24,0,10,23,11,21,1,10,23,16,4,13,0,25,8,0,,33,0,28,5,33,0,5,28,33,0
Chandrama,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,,1,0,1,0,1,0,0,1,1,0
Gurupada,0,2,6,0,0,8,1,6,1,1,7,2,4,2,0,4,4,0,,8,0,8,0,8,0,2,6,8,0
Bighnaput,0,1,1,0,1,1,2,0,0,2,0,0,0,2,0,0,2,0,,2,0,2,0,2,0,0,2,2,0
Bankiapali,0,7,3,0,0,10,8,1,1,0,10,7,3,0,0,8,2,0,,10,0,9,1,10,0,0,10,10,0
Khariapali,0,8,11,0,0,19,16,2,1,5,14,6,6,7,0,3,16,0,,19,0,17,2,19,0,0,19,19,0
Barakoli,0,2,3,0,1,4,5,0,0,2,3,0,0,5,0,0,5,0,,5,0,5,0,5,0,0,5,5,0
Jiripada,0,7,4,0,1,10,11,0,0,7,4,5,0,6,0,0,11,0,,11,0,11,0,11,0,0,11,11,0
Nilakanthapur,0,1,2,0,1,2,0,1,2,0,3,1,1,1,0,2,1,0,,3,0,2,1,3,0,1,2,3,0
Jibandeipur,0,3,10,0,2,11,0,7,6,7,6,5,1,7,0,9,4,0,,13,0,9,4,13,0,1,12,13,0
Bankadapalli,0,1,1,0,1,1,0,2,0,0,2,0,1,1,0,2,0,0,,2,0,1,1,2,0,0,2,2,0
Bhatapada,1,2,15,0,0,18,4,10,4,11,7,9,6,3,0,5,13,2,,17,1,5,13,17,1,0,18,17,1
Muktapur,0,3,10,0,0,13,0,9,4,8,5,5,3,5,0,2,11,0,,13,0,1,12,13,0,0,13,12,1
Sansireipur,1,0,1,0,0,2,0,2,0,1,1,2,0,0,0,2,0,0,,2,0,2,0,2,0,0,2,2,0
Dasnuagaon,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,,1,0,1,0,1,0,0,1,1,0
Brundabanpur,0,1,10,0,1,10,1,4,6,2,9,7,1,3,0,9,2,0,,11,0,4,7,8,3,2,9,8,3
Kurunjipur,0,1,3,0,1,3,0,4,0,0,4,2,1,1,0,2,2,0,,4,0,1,3,4,0,0,4,4,0
Banloei,0,3,8,0,1,10,0,10,1,3,8,4,3,4,0,8,3,0,,11,0,6,5,11,0,0,11,11,0
Totapada,0,0,7,0,0,7,0,2,5,1,6,2,2,3,0,7,0,0,,7,0,1,6,6,1,5,2,6,1
Thekuapalli,0,8,42,0,1,49,2,32,16,29,21,19,11,20,0,5,45,1,,48,2,15,35,49,1,0,50,49,1
Bhapur,0,0,1,0,0,1,0,1,0,0,1,1,0,0,0,1,0,0,,1,0,1,0,1,0,0,1,1,0
Bheteswar,0,6,23,0,0,29,1,12,16,0,29,22,4,3,0,16,13,0,,29,0,13,16,28,1,1,28,24,5
Borigaon,0,4,4,0,0,8,0,6,2,2,6,5,2,1,0,7,1,0,,8,0,3,5,7,1,0,8,7,1
Betuli,0,2,5,0,0,7,1,5,1,2,5,5,1,1,0,5,2,0,,7,0,4,3,6,1,0,7,6,1
Pendurapalli,0,0,8,0,0,8,0,3,5,0,8,7,1,0,0,5,3,0,,8,0,2,6,7,1,0,8,8,0
Sahasapur,0,1,2,0,1,2,1,1,1,2,1,2,0,1,0,2,1,0,,3,0,1,2,3,0,0,3,3,0
Laxmiprasad,0,2,1,0,0,3,1,2,0,1,2,3,0,0,0,1,2,0,,3,0,1,2,3,0,0,3,3,0
Nandapur,0,0,2,0,0,2,0,2,0,2,0,0,2,0,0,0,2,0,,2,0,1,1,2,0,0,2,2,0
Goradajhari,0,1,5,0,0,6,0,4,2,1,5,3,2,1,0,4,2,0,,4,2,0,6,4,2,1,5,6,0
Nachuni,0,2,0,0,1,1,1,0,1,2,0,2,0,0,0,1,1,0,,2,0,1,1,2,0,0,2,2,0
Niladriprasad,0,10,10,0,0,20,19,1,0,18,2,16,2,2,0,1,19,0,,20,0,19,1,20,0,0,20,20,0
Brahmapada,0,7,2,0,4,5,9,0,0,7,2,0,2,7,0,0,9,0,,9,0,9,0,9,0,0,9,9,0
Bharatapur,0,0,10,0,1,9,1,5,4,2,8,4,4,2,0,2,8,0,,10,0,4,6,9,1,0,10,10,0
Biharipur,0,1,3,0,2,2,1,0,3,1,3,1,0,3,0,1,3,0,,3,1,0,4,4,0,0,4,3,1
Baledihi,0,15,15,0,5,25,5,20,5,9,21,15,10,5,0,4,26,0,,30,0,5,25,30,0,0,30,30,0
Binjhala,0,1,0,0,0,1,0,0,1,1,0,1,0,0,0,1,0,0,,1,0,1,0,1,0,0,1,1,0
Lodhabhuin,0,22,13,0,2,33,10,23,2,17,18,9,8,18,0,19,16,0,,35,0,27,8,35,0,3,32,35,0
Bhabanipur,0,9,10,0,0,19,3,14,2,5,14,8,7,4,0,1,18,0,,19,0,2,17,19,0,0,19,19,0
Bhuskapada,0,6,32,0,5,33,9,14,15,2,36,5,10,23,0,5,33,1,,38,0,9,29,38,0,1,37,37,1
Naranpur,0,2,0,0,0,2,1,1,0,0,2,1,1,0,0,0,2,0,,2,0,1,1,2,0,0,2,1,1
Panasadihi,0,2,0,0,0,2,0,2,0,2,0,1,1,0,0,2,0,0,,2,0,1,1,2,0,0,2,2,0
Kusarada,0,2,0,0,1,1,1,1,0,0,2,0,1,1,0,1,1,0,,2,0,2,0,2,0,0,2,2,0
Kalapata,0,2,0,0,1,1,2,0,0,2,0,0,0,2,0,0,2,0,,2,0,2,0,2,0,0,2,2,0
Pratapa,0,6,2,0,0,8,2,5,1,4,4,5,1,2,0,5,3,0,,8,0,6,2,8,0,0,8,8,0
Baramula,0,7,30,0,2,35,4,22,11,11,26,17,13,7,0,2,35,0,,27,10,4,33,30,7,1,36,32,5
Ghodasalia,0,0,4,0,1,3,1,3,0,0,4,1,2,1,0,3,1,0,,4,0,4,0,4,0,1,3,4,0
Katuala,0,0,1,0,0,1,0,1,0,0,1,1,0,0,0,1,0,0,,1,0,1,0,1,0,0,1,1,0
Kiagorada,0,4,10,0,11,3,8,5,1,7,7,4,6,4,0,5,9,0,,14,0,9,5,14,0,0,14,14,0
Jualiamba,0,1,3,0,0,4,0,3,1,3,1,3,1,0,0,2,2,0,,4,0,2,2,4,0,0,4,4,0
Bhaliapada,0,1,0,0,0,1,1,0,0,0,1,1,0,0,0,0,1,0,,1,0,1,0,1,0,0,1,1,0
Punjiama,0,2,2,0,0,4,3,1,0,4,0,3,1,0,0,0,4,0,,4,0,4,0,4,0,0,4,4,0
