village,Nitrogen High,Nitrogen Medium,Nitrogen Low,Phosphorus High,Phosphorus Medium,Phosphorus Low,Potassium High,Potassium Medium,Potassium Low,Sulphur Sufficient,Sulphur Deficient,None High,None Medium,None Low,pH Alkaline,pH Acidic,pH Neutral,EC Saline,EC Deficient,Iron Sufficient,Iron Deficient,Zinc Sufficient,Zinc Deficient,Copper Sufficient,Copper Deficient,Boron Sufficient,Boron Deficient,Manganese Sufficient,Manganese Deficient
Mohaniganj,3,5,2,0,0,10,0,7,3,0,10,7,0,3,0,3,7,0,,6,4,0,10,1,9,0,10,0,10
Chandua,3,9,11,0,0,23,0,16,7,0,23,6,6,11,0,8,15,0,,12,11,4,19,5,18,0,23,1,22
Jambhirdiha,0,1,0,0,0,1,0,0,1,0,1,1,0,0,0,0,1,0,,1,0,0,1,0,1,0,1,0,1
Kumbharduvi,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,,1,0,0,1,1,0,1,0,0,1
Chandanpur,0,8,13,0,0,21,0,18,3,0,21,0,8,13,0,1,20,0,,5,16,0,21,6,15,0,21,0,21
Dhenkinanjia,0,6,4,0,0,10,0,10,0,0,10,1,5,4,0,1,9,0,,4,6,1,9,4,6,0,10,0,10
Rajabasa,0,3,8,0,0,11,0,11,0,0,11,0,3,8,0,1,10,0,,0,11,0,11,1,10,0,11,0,11
Pathaachakidi,10,31,11,0,0,52,1,41,10,0,52,21,18,13,0,9,43,0,,45,7,0,52,7,45,0,52,0,52
Baddakoi,0,3,3,0,0,6,0,2,4,0,6,1,2,3,0,1,5,0,,4,2,0,6,0,6,0,6,0,6
Kainfulia,2,7,4,0,0,13,0,12,1,0,13,3,6,4,0,2,11,0,,10,3,0,13,0,13,0,13,0,13
Damdarpur,6,13,6,0,0,25,0,19,6,0,25,12,7,6,0,1,24,0,,20,5,0,25,9,16,0,25,1,24
Raikandjharan,0,0,5,0,0,5,0,5,0,0,5,0,0,5,0,2,3,0,,0,5,2,3,0,5,0,5,0,5
Gopalpur,1,23,10,0,0,34,0,28,6,1,33,2,21,11,0,22,12,0,,30,4,0,34,0,34,0,34,0,34
Baura,0,4,6,0,0,10,0,10,0,0,10,0,2,8,0,2,8,0,,0,10,1,9,0,10,0,10,0,10
Badpeta,0,2,0,0,0,2,0,2,0,0,2,0,2,0,0,0,2,0,,2,0,0,2,2,0,0,2,0,2
Betna,3,10,6,0,0,19,0,16,3,0,19,7,5,7,0,4,15,0,,8,11,3,16,1,18,0,19,0,19
Bankisul,1,15,1,0,0,17,0,7,10,0,17,7,9,1,0,10,7,0,,16,1,0,17,1,16,0,17,2,15
Meghamari,0,6,5,0,0,11,0,9,2,0,11,0,6,5,0,3,8,0,,1,10,0,11,0,11,0,11,0,11
Bautisol,1,2,4,0,0,7,0,6,1,0,7,1,2,4,0,2,5,0,,2,5,0,7,0,7,0,7,0,7
Baidipur,0,3,2,0,0,5,0,5,0,0,5,0,2,3,0,0,5,0,,3,2,0,5,4,1,0,5,0,5
Sarujharan,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,,1,0,0,1,0,1,0,1,0,1
Chandabila,0,1,5,0,0,6,0,6,0,0,6,0,0,6,0,0,6,0,,1,5,0,6,1,5,0,6,0,6
Jitbhol,1,3,3,0,0,7,0,7,0,0,7,3,1,3,0,1,6,0,,6,1,0,7,0,7,0,7,0,7
Rangamatia,2,30,11,0,0,43,0,33,10,0,43,2,27,14,0,18,25,0,,42,1,0,43,4,39,0,43,0,43
Pariauda,0,5,4,0,0,9,0,9,0,0,9,2,2,5,0,3,6,0,,4,5,1,8,1,8,0,9,0,9
Hadhadi,0,8,1,0,0,9,0,8,1,0,9,2,5,2,0,6,3,0,,9,0,0,9,1,8,0,9,0,9
Kukudajodi,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,1,0,0,,1,0,0,1,0,1,0,1,0,1
Tarana,0,0,5,0,0,5,0,4,1,0,5,0,0,5,0,2,3,0,,2,3,0,5,1,4,0,5,0,5
