village,Nitrogen High,Nitrogen Medium,Nitrogen Low,Phosphorus High,Phosphorus Medium,Phosphorus Low,Potassium High,Potassium Medium,Potassium Low,Sulphur Sufficient,Sulphur Deficient,None High,None Medium,None Low,pH Alkaline,pH Acidic,pH Neutral,EC Saline,EC Deficient,Iron Sufficient,Iron Deficient,Zinc Sufficient,Zinc Deficient,Copper Sufficient,Copper Deficient,Boron Sufficient,Boron Deficient,Manganese Sufficient,Manganese Deficient
Badsingaria,1,14,12,0,0,27,0,16,11,5,22,6,9,12,0,19,8,0,,14,13,2,25,23,4,1,26,0,27
Damasahi,2,5,2,0,0,9,0,3,6,0,9,2,5,2,0,2,7,0,,9,0,0,9,1,8,0,9,0,9
Sansingaria,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,1,0,0,,1,0,0,1,1,0,0,1,0,1
Musakhai,5,15,7,0,0,27,0,18,9,0,27,9,8,10,0,11,16,0,,18,9,2,25,6,21,0,27,1,26
Naraharipur,1,4,2,0,0,7,0,4,3,0,7,1,4,2,0,4,3,0,,7,0,0,7,4,3,0,7,0,7
Teldihudi,2,6,4,0,0,12,0,10,2,0,12,4,3,5,0,6,6,0,,7,5,1,11,2,10,0,12,0,12
Sridamchandrapur,1,17,6,0,0,24,0,9,15,0,24,6,12,6,0,8,16,0,,21,3,0,24,3,21,0,24,1,23
Chadada,1,15,5,0,0,21,0,7,14,0,21,2,11,8,0,8,13,0,,16,5,0,21,6,15,0,21,1,20
Siripur,1,0,0,0,0,1,0,1,0,0,1,1,0,0,0,1,0,0,,1,0,0,1,1,0,0,1,1,0
Rajabasa,0,15,2,0,0,17,0,6,11,0,17,1,14,2,0,4,13,0,,16,1,0,17,3,14,0,17,1,16
Sarasbila,2,29,12,0,3,40,0,37,6,7,36,8,21,14,0,11,32,0,,34,9,1,42,11,32,0,43,7,36
Khuntapal,2,8,4,0,1,13,0,11,3,5,9,4,6,4,0,1,13,0,,9,5,0,14,5,9,0,14,0,14
Nizkainsari,2,12,3,0,0,17,0,15,2,0,17,6,6,5,0,8,9,0,,16,1,0,17,3,14,0,17,0,17
Beguniadiha,0,5,0,0,0,5,0,5,0,0,5,3,2,0,0,2,3,0,,5,0,0,5,2,3,0,5,0,5
Naharapada,6,14,9,0,0,29,0,28,1,0,29,9,11,9,0,10,19,0,,26,3,0,29,5,24,0,29,1,28
Chhotraipur,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,0,1,0,,1,0,0,1,0,1,0,1,0,1
Pagodadar,1,1,0,0,0,2,0,2,0,0,2,1,1,0,0,2,0,0,,1,1,0,2,1,1,0,2,1,1
Dutikadeipur,1,0,0,0,0,1,0,1,0,0,1,1,0,0,0,1,0,0,,1,0,0,1,0,1,0,1,0,1
Radho,6,31,28,0,5,60,0,48,17,5,60,12,25,28,0,40,25,0,,42,23,4,61,22,43,0,65,8,57
Mauda,0,5,0,0,0,5,0,5,0,0,5,1,4,0,0,2,3,0,,5,0,0,5,0,5,0,5,0,5
