village,Nitrogen High,Nitrogen Medium,Nitrogen Low,Phosphorus High,Phosphorus Medium,Phosphorus Low,Potassium High,Potassium Medium,Potassium Low,Sulphur Sufficient,Sulphur Deficient,None High,None Medium,None Low,pH Alkaline,pH Acidic,pH Neutral,EC Saline,EC Deficient,Iron Sufficient,Iron Deficient,Zinc Sufficient,Zinc Deficient,Copper Sufficient,Copper Deficient,Boron Sufficient,Boron Deficient,Manganese Sufficient,Manganese Deficient
Kontamal,0,0,79,11,48,20,19,57,3,60,19,2,11,66,0,34,45,0,,78,1,40,39,69,10,29,50,78,1
Bankasargi,0,0,8,0,3,5,4,4,0,8,0,0,2,6,0,4,4,0,,8,0,4,4,8,0,3,5,8,0
Makia,0,0,81,20,42,19,17,61,3,55,26,0,1,80,0,51,30,0,,81,0,26,55,71,10,45,36,81,0
Dhansuli,0,0,29,4,21,4,7,16,6,25,4,0,0,29,0,22,7,0,,29,0,11,18,24,5,9,20,29,0
Ekori,0,0,6,0,5,1,1,4,1,6,0,0,1,5,0,6,0,0,,6,0,0,6,6,0,6,0,6,0
Chandili,1,0,41,9,22,11,15,27,0,32,10,3,9,30,0,26,16,0,,42,0,27,15,40,2,33,9,42,0
Tumberla,0,0,1,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,,1,0,1,0,1,0,0,1,1,0
Hirli,0,0,19,6,9,4,5,13,1,18,1,0,0,19,0,13,6,0,,19,0,6,13,17,2,9,10,19,0
Usigan,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,,1,0,1,0,0,1,1,0,1,0
Gumidora,0,0,47,12,30,5,23,23,1,38,9,1,5,41,0,31,16,0,,47,0,30,17,41,6,20,27,47,0
Pradhaniguda,0,0,3,0,1,2,0,3,0,3,0,0,1,2,0,3,0,0,,3,0,3,0,3,0,2,1,3,0
Sikaraguda,0,0,19,10,5,4,6,13,0,14,5,0,2,17,0,14,5,0,,19,0,9,10,17,2,5,14,19,0
Mahuli,0,0,8,0,7,1,3,5,0,7,1,0,0,8,0,3,5,0,,8,0,3,5,6,2,4,4,8,0
Betajharan,0,0,22,5,10,7,5,17,0,21,1,1,1,20,0,13,9,0,,22,0,4,18,18,4,12,10,22,0
Sorisapadar,0,0,4,1,3,0,1,3,0,3,1,0,0,4,0,3,1,0,,4,0,2,2,4,0,2,2,4,0
Silakaguda,0,0,15,1,10,4,7,6,2,10,5,0,3,12,0,8,7,0,,15,0,6,9,9,6,7,8,15,0
Biriguda,0,0,22,5,15,2,5,16,1,16,6,0,1,21,0,17,5,0,,22,0,8,14,21,1,5,17,21,1
Dengaguda,0,0,62,10,43,9,31,29,2,40,22,4,15,43,0,35,27,0,,62,0,19,43,55,7,26,36,60,2
Bhandia,0,0,13,2,9,2,6,7,0,9,4,1,3,9,0,11,2,0,,13,0,5,8,12,1,5,8,13,0
Loharakani,0,0,7,1,5,1,4,3,0,6,1,0,0,7,0,4,3,0,,7,0,4,3,7,0,3,4,7,0
Palsaguda,0,0,2,0,2,0,0,2,0,1,1,0,0,2,0,1,1,0,,2,0,1,1,2,0,0,2,2,0
Batakari,1,0,44,7,26,12,18,24,3,34,11,0,4,41,0,25,20,0,,43,2,25,20,44,1,27,18,45,0
Kuchha,0,0,84,23,40,21,33,43,8,72,12,25,17,42,0,26,58,2,,84,0,45,39,81,3,40,44,84,0
Kharki,0,0,12,2,8,2,3,8,1,8,4,0,1,11,0,9,3,0,,12,0,2,10,11,1,4,8,12,0
Musapalla,0,0,70,12,45,13,17,48,5,53,17,2,3,65,0,38,32,0,,70,0,16,54,61,9,30,40,70,0
Manigam,0,1,79,20,42,18,23,53,4,58,22,3,8,69,0,43,37,0,,79,1,20,60,58,22,25,55,78,2
Mahendri,0,0,43,4,23,16,22,19,2,31,12,1,5,37,0,21,22,1,,40,3,17,26,34,9,13,30,42,1
Hatibeda,0,0,1,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,,1,0,0,1,1,0,1,0,1,0
Baradei,0,0,18,6,11,1,3,15,0,15,3,0,1,17,0,10,8,0,,17,1,9,9,17,1,5,13,18,0
Kantasaru,0,1,10,1,8,2,3,8,0,6,5,1,1,9,0,5,6,0,,11,0,3,8,11,0,4,7,11,0
