village,Nitrogen High,Nitrogen Medium,Nitrogen Low,Phosphorus High,Phosphorus Medium,Phosphorus Low,Potassium High,Potassium Medium,Potassium Low,Sulphur Sufficient,Sulphur Deficient,None High,None Medium,None Low,pH Alkaline,pH Acidic,pH Neutral,Iron Sufficient,Iron Deficient,Zinc Sufficient,Zinc Deficient,Copper Sufficient,Copper Deficient,Boron Sufficient,Boron Deficient,Manganese Sufficient,Manganese Deficient
Pandiripakhana,0,0,71,5,46,20,18,47,6,63,8,0,0,71,0,32,39,71,0,27,44,66,5,42,29,71,0
Sarguli,0,0,43,6,26,11,9,32,2,37,6,0,2,41,0,21,22,43,0,15,28,43,0,30,13,43,0
Dumurmunda,0,0,26,9,7,10,8,16,2,21,5,3,4,19,0,13,13,26,0,16,10,21,5,14,12,26,0
Kurubella,0,0,13,3,9,1,0,13,0,13,0,0,0,13,0,8,5,13,0,5,8,13,0,4,9,13,0
Birisadihi,0,0,9,1,6,2,0,7,2,9,0,0,0,9,0,4,5,9,0,2,7,9,0,2,7,9,0
Debagaon,0,0,14,2,3,9,2,9,3,12,2,1,0,13,0,6,8,14,0,7,7,11,3,10,4,14,0
Hatibena,0,0,2,0,1,1,0,2,0,2,0,0,0,2,0,2,0,2,0,1,1,2,0,2,0,2,0
Bharsundi,0,0,4,0,2,2,1,2,1,4,0,0,1,3,0,2,2,4,0,1,3,4,0,3,1,4,0
PHUTANADA,0,0,129,27,66,36,26,95,8,104,25,0,1,128,0,76,53,129,0,47,82,117,12,52,77,129,0
Sonpur,0,1,36,6,19,12,6,31,0,35,2,0,0,37,0,13,24,37,0,19,18,36,1,16,21,37,0
Jalangpara,0,0,120,37,47,36,44,70,6,87,33,6,15,99,1,49,70,120,0,41,79,111,9,45,75,119,1
Bharandkhunta,0,0,10,1,4,5,2,7,1,8,2,2,1,7,0,5,5,10,0,6,4,10,0,7,3,10,0
Kandachuan,0,0,74,17,34,23,17,55,2,67,7,1,0,73,0,39,35,74,0,17,57,69,5,36,38,74,0
Jatiarpara,0,0,2,2,0,0,1,1,0,2,0,0,0,2,0,0,2,2,0,2,0,2,0,1,1,2,0
Hatabharandi,0,0,12,4,5,3,2,9,1,9,3,1,3,8,0,5,7,12,0,7,5,12,0,8,4,12,0
Dhanara,0,0,45,12,17,16,31,11,3,23,22,4,11,30,0,12,33,45,0,23,22,42,3,24,21,45,0
Tureidihi,0,0,12,4,7,1,4,7,1,11,1,0,0,12,0,5,7,12,0,9,3,10,2,6,6,12,0
Khuduku,0,0,53,8,31,14,10,41,2,46,7,0,0,53,0,19,34,53,0,16,37,53,0,23,30,53,0
Hatmahuli,0,0,4,1,0,3,1,3,0,4,0,0,1,3,0,0,4,4,0,4,0,3,1,2,2,4,0
Kanadihi,0,0,1,1,0,0,0,1,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0
Kalarpara,0,0,18,4,9,5,8,8,2,16,2,1,0,17,0,7,11,18,0,6,12,18,0,9,9,18,0
Marigan,0,0,6,2,3,1,1,5,0,6,0,0,0,6,0,1,5,6,0,4,2,4,2,5,1,6,0
Jodjanga,0,0,5,3,1,1,1,4,0,4,1,0,0,5,0,3,2,5,0,2,3,5,0,3,2,5,0
Turudi,0,0,3,0,3,0,1,2,0,3,0,0,0,3,0,0,3,3,0,2,1,3,0,1,2,3,0
Parchipara,0,0,26,4,14,8,1,22,3,25,1,0,1,25,0,12,14,26,0,14,12,25,1,19,7,26,0
Pourbel,0,0,5,3,2,0,3,2,0,5,0,0,0,5,0,2,3,5,0,3,2,5,0,3,2,5,0
Tarangapuri,0,0,2,0,1,1,0,2,0,2,0,0,0,2,0,1,1,2,0,0,2,1,1,0,2,2,0
Kacharapara,0,0,1,0,1,0,1,0,0,1,0,0,0,1,0,0,1,1,0,1,0,1,0,0,1,1,0
Ranipadar,0,0,1,1,0,0,0,1,0,1,0,0,0,1,0,0,1,1,0,1,0,1,0,0,1,1,0
Rengabhati,0,0,22,6,11,5,4,18,0,17,5,1,4,17,0,12,10,22,0,6,16,21,1,9,13,22,0
Kaliapadar,0,0,34,7,20,7,5,26,3,25,9,0,4,30,0,13,21,34,0,8,26,30,4,14,20,34,0
Baghobeda,0,0,41,7,20,14,10,30,1,39,2,0,1,40,0,25,16,41,0,12,29,38,3,19,22,41,0
Karanpadar,0,1,51,2,21,29,18,32,2,49,3,4,5,43,0,32,20,51,1,12,40,44,8,19,33,52,0
Mahubhata,0,0,3,0,1,2,0,3,0,3,0,0,0,3,0,0,3,3,0,1,2,2,1,0,3,3,0
Chalanpara,0,0,1,0,0,1,1,0,0,1,0,0,0,1,0,1,0,1,0,0,1,1,0,0,1,1,0
Kasarabhata,0,0,2,0,0,2,1,1,0,2,0,0,0,2,0,1,1,1,1,0,2,2,0,0,2,2,0
Raighar (CT),0,0,1,0,0,1,1,0,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0
Kandetara,0,0,1,0,1,0,1,0,0,1,0,0,0,1,0,0,1,1,0,0,1,1,0,1,0,1,0
Kundei,0,0,15,3,8,4,5,8,2,15,0,0,0,15,0,12,3,15,0,8,7,15,0,9,6,15,0
Sambalpur,0,0,47,5,29,13,19,26,2,41,6,0,0,47,0,29,18,47,0,16,31,47,0,21,26,47,0
