village,Nitrogen High,Nitrogen Medium,Nitrogen Low,Phosphorus High,Phosphorus Medium,Phosphorus Low,Potassium High,Potassium Medium,Potassium Low,Sulphur Sufficient,Sulphur Deficient,None High,None Medium,None Low,pH Alkaline,pH Acidic,pH Neutral,EC Saline,EC Deficient,Iron Sufficient,Iron Deficient,Zinc Sufficient,Zinc Deficient,Copper Sufficient,Copper Deficient,Boron Sufficient,Boron Deficient,Manganese Sufficient,Manganese Deficient
Haripura,0,1,37,38,0,0,0,27,11,37,1,9,19,10,0,22,16,0,,35,3,29,9,38,0,10,28,38,0
Rautapada,0,0,13,11,2,0,0,9,4,13,0,2,9,2,0,2,11,0,,13,0,13,0,13,0,0,13,13,0
Kanipokhari,0,0,1,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,,1,0,0,1,1,0,0,1,1,0
Maskajholi,0,0,1,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,,1,0,1,0,1,0,0,1,1,0
Chhamundia,0,0,17,17,0,0,0,11,6,15,2,6,9,2,0,7,10,0,,17,0,12,5,17,0,4,13,17,0
Dasipur,0,0,22,17,5,0,0,15,7,21,1,4,9,9,0,4,18,0,,19,3,15,7,22,0,0,22,22,0
Nuapada,0,0,22,22,0,0,0,11,11,19,3,10,10,2,0,2,20,0,,22,0,7,15,22,0,3,19,22,0
Malatiput,0,0,143,124,18,1,0,84,59,135,8,6,48,89,0,25,118,0,,124,19,107,34,129,9,18,125,142,1
Goudatumandi,0,0,3,3,0,0,0,3,0,3,0,0,1,2,0,1,2,0,,3,0,3,0,3,0,0,3,3,0
Gopalapur,0,0,2,2,0,0,0,0,2,2,0,0,1,1,0,0,2,0,,2,0,1,1,2,0,0,2,2,0
Kalasimili,0,0,2,2,0,0,0,1,1,2,0,0,1,1,0,0,2,0,,2,0,2,0,2,0,0,2,2,0
Belapada Bechhapari,0,0,1,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,,1,0,0,1,1,0,0,1,1,0
Erandipathar,0,1,15,16,0,0,0,9,7,15,1,1,7,8,0,4,12,0,,16,0,4,12,16,0,3,13,16,0
Gania,0,0,12,12,0,0,0,9,3,12,0,2,4,6,0,3,9,0,,12,0,8,4,12,0,0,12,12,0
Jagannathprasad,0,0,53,33,19,1,0,34,19,51,2,0,13,40,0,35,18,0,,53,0,35,16,40,8,5,48,51,2
Kakudikhol,0,0,1,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,,1,0,0,1,0,1,0,1,1,0
Iswarapur,0,0,2,2,0,0,0,2,0,2,0,0,1,1,0,2,0,0,,0,2,2,0,2,0,1,1,2,0
Pandrasingha,0,0,21,21,0,0,1,13,7,19,2,4,15,2,0,12,9,0,,21,0,13,8,16,5,1,20,21,0
Rautapadapatna,0,0,2,2,0,0,0,1,1,2,0,0,2,0,0,0,2,0,,2,0,1,1,2,0,1,1,2,0
Khalisara,0,0,2,2,0,0,0,1,1,2,0,0,2,0,0,1,1,0,,2,0,2,0,2,0,0,2,2,0
Paturia,0,0,1,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,,1,0,1,0,1,0,0,1,1,0
Krushnapalli,0,0,19,2,15,2,0,11,8,17,2,0,8,11,0,10,9,0,,18,1,12,7,19,0,1,18,19,0
Taila,0,0,3,1,2,0,0,2,1,3,0,0,3,0,0,1,2,0,,0,3,3,0,3,0,0,3,3,0
Ragadisahi,0,0,1,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,,1,0,1,0,1,0,0,1,1,0
Kandhazilinda,0,0,1,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,,1,0,0,1,1,0,0,1,1,0
Gunduribadi,0,0,2,2,0,0,0,0,2,2,0,1,1,0,0,0,2,0,,2,0,2,0,2,0,0,2,2,0
Patanda,0,0,1,1,0,0,0,0,1,1,0,0,0,1,0,1,0,0,,1,0,0,1,1,0,0,1,1,0
Kimbhirakhani,0,0,16,0,12,4,0,12,4,15,1,0,7,9,0,8,8,0,,14,2,2,14,16,0,3,13,16,0
Rajingi,0,0,5,1,4,0,0,5,0,5,0,0,2,3,0,2,3,0,,5,0,0,5,5,0,0,5,5,0
Adakata,0,0,1,0,1,0,0,0,1,1,0,0,0,1,0,0,1,0,,0,1,0,1,1,0,0,1,1,0
Jasipur,0,0,3,0,3,0,0,3,0,3,0,0,1,2,0,1,2,0,,3,0,0,3,3,0,0,3,3,0
Bhagamunda,0,0,5,1,3,1,0,4,1,5,0,0,1,4,0,3,2,0,,5,0,3,2,5,0,1,4,5,0
Kenduabida,0,0,13,1,10,2,0,4,9,12,1,0,6,7,0,6,7,0,,13,0,6,7,13,0,2,11,13,0
Chhadamul,0,0,9,0,8,1,0,8,1,9,0,0,2,7,0,7,2,0,,9,0,0,9,9,0,1,8,9,0
Dhobabarei,0,0,4,0,3,1,0,4,0,4,0,0,4,0,0,1,3,0,,4,0,0,4,4,0,0,4,4,0
Ostia,0,0,1,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,,1,0,1,0,1,0,0,1,1,0
