village,Nitrogen High,Nitrogen Medium,Nitrogen Low,Phosphorus High,Phosphorus Medium,Phosphorus Low,Potassium High,Potassium Medium,Potassium Low,Sulphur Sufficient,Sulphur Deficient,None High,None Medium,None Low,pH Alkaline,pH Acidic,pH Neutral,EC Saline,EC Deficient,Iron Sufficient,Iron Deficient,Zinc Sufficient,Zinc Deficient,Copper Sufficient,Copper Deficient,Boron Sufficient,Boron Deficient,Manganese Sufficient,Manganese Deficient
Mariguda,0,2,2,0,1,3,0,4,0,4,0,0,2,2,0,1,3,0,,2,2,4,0,4,0,4,0,4,0
Dharapur,0,32,28,0,14,46,0,56,4,57,3,0,12,48,0,24,36,0,,35,25,54,6,58,2,59,1,48,12
Karanopadu,0,3,5,0,2,6,2,6,0,8,0,0,3,5,0,1,7,0,,7,1,7,1,7,1,8,0,7,1
Rautaranga,0,5,2,1,4,2,0,6,1,7,0,0,2,5,0,4,3,0,,6,1,7,0,7,0,6,1,5,2
Jeera,0,8,7,1,4,10,0,13,2,13,2,0,2,13,0,7,8,0,,9,6,14,1,15,0,15,0,11,4
Andaruguda,0,3,3,0,3,3,0,4,2,6,0,0,1,5,0,1,5,0,,3,3,6,0,6,0,6,0,3,3
Dibirisingi,0,8,12,0,6,14,0,18,2,19,1,0,6,14,0,6,14,0,,12,8,16,4,19,1,19,1,16,4
Chintalaguda,0,7,9,1,0,15,1,10,5,16,0,0,3,13,0,8,8,0,,12,4,15,1,16,0,16,0,14,2
Nairaguda,1,17,18,0,7,29,3,30,3,36,0,0,5,31,0,4,32,0,,27,9,34,2,36,0,36,0,27,9
Ambabadi,0,5,1,0,2,4,0,5,1,6,0,0,1,5,0,2,4,0,,4,2,5,1,6,0,5,1,4,2
Derigan,0,20,25,0,13,32,5,38,2,41,4,0,8,37,0,7,38,0,,34,11,41,4,44,1,45,0,37,8
Radu,0,18,20,1,10,27,4,31,3,35,3,0,9,29,0,14,24,0,,20,18,37,1,38,0,35,3,31,7
Akhusingi,0,0,5,0,1,4,0,5,0,5,0,0,0,5,0,2,3,0,,4,1,4,1,5,0,5,0,4,1
Saradhapur,0,8,12,2,4,14,1,13,6,20,0,0,6,14,0,4,16,0,,11,9,19,1,20,0,20,0,16,4
Gundripadar,0,4,4,0,3,5,0,7,1,7,1,0,1,7,0,0,8,0,,8,0,8,0,8,0,8,0,3,5
Arei,0,3,7,1,5,4,0,8,2,9,1,0,0,10,0,2,8,0,,9,1,10,0,10,0,10,0,9,1
Indupur,0,10,5,0,3,12,0,14,1,15,0,0,4,11,0,5,10,0,,9,6,14,1,15,0,13,2,12,3
Dabarakono,0,5,11,0,6,10,0,15,1,15,1,0,2,14,0,1,15,0,,15,1,14,2,16,0,15,1,13,3
Lauguda,0,1,1,0,0,2,0,2,0,2,0,0,0,2,0,1,1,0,,2,0,2,0,2,0,1,1,1,1
Jatili,1,13,17,0,14,17,1,30,0,30,1,0,4,27,0,7,24,1,,25,6,23,8,31,0,31,0,24,7
Sarigiguda,0,10,10,0,8,12,1,18,1,20,0,0,4,16,0,6,14,0,,15,5,18,2,20,0,19,1,14,6
Simiri,0,5,4,1,2,6,1,7,1,9,0,0,2,7,0,6,3,0,,4,5,9,0,9,0,9,0,5,4
Nuagan,0,2,5,0,2,5,1,5,1,7,0,0,1,6,0,3,4,0,,5,2,7,0,6,1,7,0,5,2
Patuguda,0,9,13,0,8,14,4,15,3,21,1,1,1,20,0,1,21,0,,19,3,21,1,21,1,22,0,12,10
Raelpadar,0,6,5,0,3,8,0,10,1,11,0,0,2,9,0,3,8,0,,10,1,8,3,11,0,8,3,9,2
Biripadar,0,12,21,0,9,24,1,29,3,33,0,0,5,28,0,7,26,0,,25,8,31,2,33,0,33,0,25,8
Koilikota,0,2,7,0,5,4,1,8,0,9,0,0,0,9,0,1,8,0,,9,0,9,0,9,0,9,0,5,4
Mochiki Padar,0,1,5,0,3,3,0,5,1,6,0,0,1,5,0,3,3,0,,6,0,5,1,6,0,6,0,3,3
Harlaguda,0,1,4,0,2,3,0,5,0,5,0,0,1,4,0,0,5,0,,3,2,5,0,5,0,5,0,3,2
Ketemera,0,4,8,0,2,10,0,10,2,11,1,0,2,10,0,8,4,0,,7,5,11,1,12,0,11,1,9,3
Soura Singipur,0,19,29,0,20,28,2,43,3,48,0,0,10,38,0,1,47,0,,45,3,48,0,48,0,47,1,48,0
Sarteli,1,2,5,0,4,4,0,7,1,8,0,0,3,5,0,2,6,0,,7,1,7,1,8,0,8,0,7,1
Pusiguda,0,5,8,0,5,8,1,12,0,13,0,0,2,11,0,8,5,0,,7,6,13,0,12,1,12,1,9,4
Kandakuti,0,2,2,0,0,4,0,4,0,4,0,0,1,3,0,1,3,0,,1,3,3,1,4,0,4,0,3,1
Anjali,0,7,10,0,3,14,1,15,1,17,0,0,3,14,0,3,14,0,,12,5,17,0,17,0,17,0,13,4
Perapang,0,18,27,0,15,30,5,36,4,44,1,0,9,36,0,21,24,1,,37,8,44,1,45,0,45,0,32,13
Phajilibandha,0,16,18,1,9,24,1,30,3,32,2,0,7,27,0,10,24,0,,28,6,34,0,34,0,33,1,27,7
Sundirguda(Surjyaguda),0,1,1,0,0,2,0,2,0,2,0,0,0,2,0,2,0,0,,2,0,2,0,2,0,2,0,2,0
Dakasikula,0,2,2,0,0,4,0,4,0,4,0,0,1,3,0,1,3,0,,4,0,4,0,4,0,4,0,4,0
Jagamunda,0,2,6,0,3,5,2,4,2,7,1,0,0,8,0,2,6,0,,6,2,6,2,8,0,8,0,6,2
Bondaguda,0,7,3,0,1,9,0,10,0,10,0,0,3,7,0,0,10,0,,8,2,10,0,10,0,10,0,4,6
Sarupadu,0,0,3,0,3,0,0,3,0,3,0,0,0,3,0,1,2,0,,2,1,3,0,3,0,3,0,3,0
Sukalpadu,0,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,,1,0,1,0,1,0,1,0,1,0
Khambari Guda,0,4,4,0,3,5,1,6,1,7,1,0,2,6,0,3,5,0,,7,1,8,0,8,0,6,2,8,0
Jhitika,0,4,5,0,5,4,1,6,2,9,0,0,1,8,0,4,5,0,,8,1,8,1,8,1,9,0,8,1
Nuagam,0,2,3,0,3,2,1,3,1,5,0,0,0,5,0,0,5,0,,5,0,4,1,4,1,5,0,5,0
Nuagada,0,2,2,0,1,3,0,4,0,4,0,0,1,3,0,2,2,0,,3,1,3,1,4,0,4,0,3,1
Padmapur,0,6,10,1,6,9,0,14,2,16,0,0,2,14,0,3,13,0,,10,6,16,0,16,0,15,1,12,4
Khilapadar,0,3,10,0,5,8,0,11,2,11,2,0,1,12,0,1,12,0,,11,2,13,0,13,0,12,1,10,3
Sirikhandi,0,2,4,0,4,2,0,6,0,5,1,0,0,6,0,2,4,0,,6,0,6,0,6,0,6,0,5,1
Badigan,0,0,2,0,0,2,0,1,1,2,0,0,0,2,0,0,2,0,,1,1,2,0,2,0,2,0,2,0
Gudia Bandha,0,6,4,0,6,4,0,7,3,10,0,0,4,6,0,3,7,0,,8,2,9,1,10,0,10,0,9,1
Lachiamanaguda,0,1,2,0,1,2,0,3,0,3,0,0,0,3,0,0,3,0,,3,0,3,0,3,0,2,1,2,1
Arunajholi,0,4,5,1,3,5,1,8,0,7,2,0,0,9,0,1,8,0,,7,2,9,0,9,0,8,1,8,1
Jaripanga,0,4,4,0,4,4,0,7,1,7,1,0,1,7,0,2,6,0,,6,2,8,0,8,0,8,0,4,4
Dumulapadar,0,3,3,0,4,2,0,5,1,6,0,0,0,6,0,1,5,0,,5,1,6,0,6,0,6,0,4,2
Bichikote,0,2,2,0,1,3,0,3,1,4,0,0,0,4,0,1,3,0,,3,1,4,0,4,0,2,2,4,0
Khamapadar,0,1,2,0,1,2,0,3,0,3,0,0,1,2,0,1,2,0,,3,0,3,0,3,0,3,0,3,0
Ramachandraguda,0,1,1,0,1,1,0,2,0,1,1,0,1,1,0,1,1,0,,1,1,2,0,2,0,2,0,2,0
Goibandha,0,3,2,0,2,3,0,5,0,5,0,0,0,5,0,0,5,0,,4,1,5,0,5,0,4,1,4,1
Bali panga,0,1,1,0,2,0,0,2,0,1,1,0,0,2,0,1,1,0,,0,2,2,0,2,0,2,0,2,0
Kandhalugurumundi,0,1,3,0,4,0,0,3,1,4,0,0,0,4,0,3,1,0,,2,2,4,0,4,0,3,1,2,2
Rela,0,1,1,0,0,2,0,2,0,2,0,0,0,2,0,0,2,0,,1,1,1,1,2,0,2,0,0,2
Hatibadi,0,2,1,0,0,3,0,3,0,3,0,0,1,2,0,1,2,0,,2,1,2,1,3,0,3,0,3,0
Badakodingi,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0,1,0,0,,1,0,1,0,1,0,1,0,0,1
Bahupadar,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,,1,0,1,0,1,0,1,0,0,1
Mahadimba,0,0,3,0,0,3,0,3,0,3,0,0,0,3,0,0,3,0,,3,0,3,0,3,0,3,0,3,0
Kolapadu,0,4,9,0,9,4,0,10,3,13,0,0,2,11,0,4,9,0,,10,3,13,0,13,0,13,0,11,2
Duriguda,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,,1,0,1,0,1,0,1,0,1,0
Badamundi,0,1,2,0,1,2,0,3,0,3,0,0,1,2,0,1,2,0,,3,0,3,0,3,0,3,0,2,1
