village,Nitrogen High,Nitrogen Medium,Nitrogen Low,Phosphorus High,Phosphorus Medium,Phosphorus Low,Potassium High,Potassium Medium,Potassium Low,Sulphur Sufficient,Sulphur Deficient,None High,None Medium,None Low,pH Alkaline,pH Acidic,pH Neutral,Iron Sufficient,Iron Deficient,Zinc Sufficient,Zinc Deficient,Copper Sufficient,Copper Deficient,Boron Sufficient,Boron Deficient,Manganese Sufficient,Manganese Deficient
Rautbahal,1,47,17,12,9,44,23,34,8,49,16,13,14,38,0,14,51,61,4,6,59,59,6,5,60,65,0
Lasratangar,0,23,5,2,10,16,18,10,0,23,5,21,2,5,0,4,24,25,3,2,26,28,0,6,22,28,0
Jayapurgarh,3,40,16,3,17,39,35,22,2,52,7,22,9,28,0,23,36,44,15,7,52,54,5,8,51,59,0
Ardabahal,0,5,0,1,0,4,3,2,0,4,1,0,0,5,0,4,1,1,4,1,4,4,1,0,5,5,0
Nagadihi,1,15,3,0,0,19,16,3,0,19,0,0,0,19,0,11,8,16,3,1,18,17,2,3,16,19,0
Jenapada,0,7,7,2,2,10,4,10,0,11,3,0,1,13,0,14,0,14,0,6,8,5,9,3,11,14,0
Bauriguda(Rupadharbad),17,74,20,53,23,35,30,81,0,85,26,24,27,60,0,32,79,101,10,40,71,79,30,22,89,111,0
Bhalubahal,11,36,30,37,15,25,48,27,2,67,10,14,28,35,0,26,51,75,2,33,44,61,16,17,60,77,0
Bauriguda(Arjunbad),2,14,21,22,3,12,28,9,0,36,1,4,18,15,0,24,13,34,3,19,18,24,13,9,28,37,0
Kalheipali,0,19,15,1,16,17,21,13,0,32,2,0,10,24,0,33,1,34,0,22,12,21,13,8,26,34,0
Ganmunda,3,11,6,2,1,17,4,15,1,19,1,4,0,16,0,14,6,13,7,5,15,8,12,5,15,20,0
Kurmimunda,1,8,4,4,1,8,2,10,1,12,1,2,3,8,0,6,7,13,0,3,10,7,5,2,11,13,0
Laigura,0,22,24,0,17,29,14,32,0,46,0,0,19,27,0,34,12,46,0,42,4,44,2,12,34,46,0
Kalhapada,0,19,9,8,8,12,26,2,0,12,16,2,8,18,0,26,2,27,1,20,8,27,1,3,25,28,0
Andharipali,0,0,4,2,2,0,4,0,0,1,3,0,3,1,0,4,0,4,0,4,0,4,0,1,3,4,0
Guchhura,0,12,10,7,11,4,20,2,0,1,21,0,12,10,0,21,1,22,0,19,3,22,0,9,13,22,0
Guruan,0,13,1,2,5,7,9,5,0,8,6,0,9,5,0,12,2,14,0,11,3,14,0,3,11,14,0
Ulunda,0,10,6,7,5,4,14,2,0,6,10,2,9,5,0,13,3,16,0,15,1,15,1,0,16,16,0
Jamankira,0,41,17,29,22,7,37,10,11,52,6,28,21,9,0,5,53,58,0,27,31,58,0,7,51,58,0
Badmundloi,0,10,10,17,3,0,16,4,0,18,2,7,2,11,0,6,14,20,0,5,15,20,0,7,13,20,0
Sanmundaloi,0,5,5,9,1,0,9,1,0,9,1,7,2,1,0,3,7,10,0,2,8,10,0,4,6,10,0
Dumermal,0,22,22,39,2,3,44,0,0,44,0,2,4,38,0,2,42,44,0,37,7,44,0,12,32,44,0
Kunkum (Kukam),0,21,20,26,13,2,29,10,2,36,5,17,10,14,0,12,29,40,1,22,19,41,0,12,29,41,0
Gopalpali,0,10,5,11,2,2,15,0,0,15,0,1,8,6,0,2,13,15,0,11,4,15,0,7,8,15,0
Tamangoda,0,12,8,14,3,3,20,0,0,20,0,3,14,3,0,1,19,20,0,14,6,20,0,6,14,20,0
Babumalti,0,4,2,6,0,0,6,0,0,6,0,0,1,5,0,1,5,6,0,3,3,6,0,0,6,6,0
Lakhopada,0,13,27,34,5,1,20,4,16,33,7,3,13,24,0,20,20,28,12,12,28,37,3,2,38,39,1
Katupali,0,0,2,1,0,1,2,0,0,2,0,0,1,1,0,0,2,2,0,1,1,2,0,1,1,2,0
Jaldihi,0,6,8,9,3,2,12,2,0,13,1,8,3,3,0,4,10,14,0,7,7,14,0,4,10,14,0
Rengali,0,12,13,19,6,0,21,3,1,24,1,10,8,7,0,2,23,25,0,14,11,25,0,5,20,25,0
Bankei,0,6,7,13,0,0,13,0,0,13,0,2,11,0,0,0,13,13,0,11,2,13,0,5,8,13,0
Khaliamunda,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0
Khandokata,0,78,21,77,19,3,89,10,0,85,14,25,57,17,0,40,59,64,35,37,62,86,13,5,94,94,5
Junani,0,2,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,2,2,0,0,2,2,0
Kuleigarh,0,62,8,28,26,16,39,26,5,61,9,28,35,7,0,43,27,60,10,14,56,58,12,11,59,65,5
Budulapali,0,1,8,3,6,0,1,2,6,8,1,1,0,8,0,8,1,8,1,2,7,9,0,1,8,9,0
Purunapani,0,66,149,116,62,37,50,102,63,187,28,19,68,128,0,139,76,182,33,37,178,200,15,33,182,212,3
Sinkalposhi,24,58,11,55,18,20,29,55,9,37,56,0,53,40,0,52,41,93,0,4,89,93,0,31,62,93,0
Panpali,8,8,3,10,7,2,12,4,3,15,4,0,18,1,0,7,12,19,0,2,17,19,0,11,8,19,0
Kindira,13,12,3,14,8,6,17,9,2,19,9,0,19,9,0,16,12,28,0,4,24,28,0,11,17,28,0
Thakurniktimal,0,10,3,7,1,5,7,2,4,8,5,0,7,6,0,13,0,13,0,3,10,13,0,4,9,13,0
Sardhapali,0,0,2,2,0,0,2,0,0,2,0,0,2,0,0,2,0,2,0,1,1,2,0,1,1,2,0
Lad,1,14,6,21,0,0,21,0,0,13,8,1,20,0,0,19,2,21,0,8,13,21,0,6,15,21,0
Katunagar,0,3,2,5,0,0,5,0,0,0,5,0,5,0,0,0,5,5,0,2,3,5,0,2,3,5,0
Kelipadar,1,1,0,2,0,0,2,0,0,1,1,0,2,0,0,0,2,2,0,0,2,2,0,1,1,2,0
Baxma,1,19,12,12,0,20,11,1,20,23,9,1,11,20,0,29,3,32,0,8,24,32,0,5,27,32,0
Tainsar,0,2,2,4,0,0,3,1,0,3,1,2,2,0,0,4,0,4,0,3,1,4,0,1,3,4,0
Kelda,5,42,24,59,5,7,58,10,3,35,36,58,0,13,0,26,45,70,1,69,2,71,0,17,54,71,0
Lasa,1,24,22,14,13,20,11,32,4,10,37,7,1,39,0,36,11,47,0,38,9,47,0,15,32,47,0
Chandanimal,3,10,4,12,2,3,12,3,2,10,7,12,0,5,0,6,11,16,1,14,3,17,0,4,13,17,0
