village,Nitrogen High,Nitrogen Medium,Nitrogen Low,Phosphorus High,Phosphorus Medium,Phosphorus Low,Potassium High,Potassium Medium,Potassium Low,Sulphur Sufficient,Sulphur Deficient,None High,None Medium,None Low,pH Alkaline,pH Acidic,pH Neutral,Iron Sufficient,Iron Deficient,Zinc Sufficient,Zinc Deficient,Copper Sufficient,Copper Deficient,Boron Sufficient,Boron Deficient,Manganese Sufficient,Manganese Deficient
Damkuda,2,33,36,18,46,7,27,35,9,45,26,7,28,36,0,1,70,71,0,40,31,71,0,32,39,71,0
Sudarsanpur,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0
Bhagapali,1,8,3,3,8,1,3,7,2,0,12,1,5,6,0,0,12,12,0,7,5,12,0,6,6,12,0
Deogaon,1,6,13,6,12,2,8,8,4,1,19,1,8,11,0,0,20,20,0,11,9,20,0,10,10,20,0
Latdega,4,19,15,14,20,4,13,19,6,36,2,6,14,18,0,0,38,38,0,24,14,38,0,18,20,38,0
Malidehi,0,5,7,3,8,1,6,5,1,0,12,1,5,6,0,0,12,12,0,5,7,12,0,5,7,12,0
Badmal,0,2,3,1,3,1,2,1,2,5,0,0,2,3,0,0,5,5,0,2,3,5,0,2,3,5,0
Karamdihi,3,33,34,17,39,14,24,33,13,67,3,6,27,37,0,3,67,70,0,31,39,70,0,30,40,70,0
Daijmahul,2,3,5,3,7,0,3,5,2,8,2,2,3,5,0,0,10,10,0,4,6,10,0,5,5,10,0
Mayabahal,0,10,6,7,7,2,5,6,5,15,1,2,6,8,0,0,16,16,0,9,7,16,0,10,6,16,0
Jamuna,4,22,33,16,36,7,25,22,12,56,3,6,24,29,0,2,57,58,1,32,27,59,0,27,32,59,0
Kurumkel,6,42,35,24,49,10,32,35,16,77,6,10,36,37,0,1,82,83,0,39,44,83,0,35,48,83,0
Barpali,1,2,4,2,5,0,4,3,0,6,1,1,3,3,0,0,7,7,0,4,3,7,0,2,5,7,0
Simdega,2,37,44,19,53,11,38,31,14,81,2,6,33,44,0,0,83,83,0,39,44,83,0,35,48,83,0
Kaisar,0,11,9,6,12,2,8,5,7,19,1,0,12,8,0,0,20,20,0,11,9,20,0,10,10,20,0
Hutopani,0,5,4,2,5,2,3,5,1,9,0,1,2,6,0,0,9,9,0,2,7,9,0,2,7,9,0
Rasarajpur,2,14,14,8,16,6,13,12,5,29,1,3,10,17,0,0,30,30,0,12,18,30,0,12,18,30,0
Kukuridihi,2,13,11,7,18,1,8,14,4,23,3,3,9,14,0,0,26,15,11,12,14,26,0,18,8,26,0
Gangpurgarh,0,15,21,6,25,5,15,15,6,31,5,2,16,18,0,1,35,12,24,18,18,35,1,28,8,34,2
Tentulijharia,0,3,2,2,3,0,2,2,1,4,1,1,2,2,0,0,5,5,0,3,2,5,0,3,2,5,0
Bankibahal,2,8,6,4,12,0,6,7,3,16,0,1,9,6,0,0,16,16,0,7,9,16,0,8,8,14,2
Kulba,2,14,17,8,19,6,12,15,6,32,1,2,14,17,0,0,33,33,0,10,23,33,0,15,18,33,0
Tedikaha,1,3,7,3,7,1,4,6,1,11,0,1,4,6,0,0,11,11,0,6,5,11,0,5,6,11,0
Kiralaga,4,22,27,15,32,6,22,21,10,51,2,6,21,26,0,0,53,53,0,24,29,53,0,23,30,53,0
Tedegamuhan,2,19,21,10,30,2,15,21,6,39,3,4,18,20,0,0,42,41,1,20,22,42,0,18,24,42,0
Baurimundagaon,2,12,9,4,13,6,9,10,4,23,0,2,8,13,0,0,23,23,0,10,13,23,0,9,14,23,0
Kanika,1,5,5,3,6,2,4,3,4,9,2,2,4,5,0,0,11,11,0,4,7,11,0,4,7,11,0
Dainidihi,0,11,8,5,11,3,8,9,2,17,2,1,9,9,0,0,19,19,0,9,10,19,0,9,10,19,0
Rajapur,1,17,18,12,20,4,17,15,4,36,0,1,19,16,0,0,36,36,0,18,18,36,0,18,18,36,0
Dehurimunda,0,5,4,1,6,2,4,5,0,9,0,1,4,4,0,0,9,9,0,4,5,9,0,4,5,9,0
Subdega,2,26,29,14,37,6,25,24,8,54,3,7,23,27,0,0,57,57,0,28,29,57,0,29,28,57,0
Podajalanga,2,15,22,10,22,7,18,13,8,38,1,3,12,24,0,0,39,39,0,14,25,39,0,13,26,39,0
Jagatgarh,1,2,2,2,2,1,2,3,0,4,1,1,2,2,0,0,5,5,0,3,2,5,0,3,2,5,0
Subalaya,1,6,3,4,5,1,4,4,2,8,2,1,5,4,0,0,10,10,0,6,4,10,0,6,4,10,0
Rasipatra,4,39,57,27,54,19,51,34,15,98,2,9,39,52,0,0,100,100,0,45,55,100,0,45,55,100,0
Sagojor,1,17,16,9,23,2,13,15,6,34,0,5,12,17,0,0,34,33,1,14,20,34,0,14,20,34,0
Tangargaon,3,19,19,11,25,5,18,17,6,40,1,5,16,20,0,0,41,41,0,21,20,41,0,19,22,41,0
Deobahal,1,4,4,3,4,2,5,3,1,9,0,1,3,5,0,0,9,9,0,5,4,9,0,4,5,9,0
Pindhapathar,0,4,2,1,4,1,3,1,2,6,0,0,2,4,0,0,6,6,0,3,3,6,0,2,4,6,0
Runipani,0,2,5,3,2,2,2,4,1,6,1,1,2,4,0,0,7,7,0,3,4,7,0,3,4,7,0
Jaisar,2,13,19,6,26,2,16,15,3,33,1,3,12,19,0,0,34,34,0,11,23,34,0,12,22,34,0
Gailo,1,3,4,2,5,1,4,3,1,8,0,1,3,4,0,0,8,8,0,4,4,8,0,4,4,8,0
