village,Nitrogen High,Nitrogen Medium,Nitrogen Low,Phosphorus High,Phosphorus Medium,Phosphorus Low,Potassium High,Potassium Medium,Potassium Low,Sulphur Sufficient,Sulphur Deficient,None High,None Medium,None Low,pH Alkaline,pH Acidic,pH Neutral,Iron Sufficient,Iron Deficient,Zinc Sufficient,Zinc Deficient,Copper Sufficient,Copper Deficient,Boron Sufficient,Boron Deficient,Manganese Sufficient,Manganese Deficient
Alisher (70),0,0,0,0,65,34,0,8,91,98,1,7,78,14,0,0,99,12,87,18,81,99,0,0,0,0,99
Alampur (69),0,0,0,38,10,114,1,147,14,158,4,23,105,34,0,0,162,161,1,161,1,162,0,0,0,161,1
Bakhora Khurd (76),0,0,0,1,108,18,0,1,126,85,42,18,93,16,86,0,41,119,8,127,0,127,0,0,0,76,51
Changliwala (54),0,0,0,4,8,50,0,10,52,58,4,5,46,11,7,0,55,47,15,61,1,62,0,0,0,1,61
Jhaloor (152),0,0,0,2,15,486,0,26,477,424,79,45,366,92,1,0,502,237,266,46,457,464,39,0,0,101,402
Kotra Lehal (68),0,0,0,3,201,90,10,219,65,242,52,40,198,56,1,0,293,293,1,294,0,293,1,0,0,287,7
Bhutal Kalan (61),0,0,0,17,161,352,57,60,413,428,102,75,354,101,3,0,527,193,337,455,75,526,4,0,0,278,252
Ladal (52),0,0,0,24,1,178,0,2,201,200,3,36,137,30,1,0,202,164,39,201,2,202,1,0,0,6,197
Ghoranab (59),0,0,0,126,48,31,166,37,2,175,30,33,135,37,0,0,205,203,2,205,0,205,0,0,0,202,3
Ratta Khera (47),0,0,0,2,28,218,0,16,232,162,86,44,161,43,236,0,12,229,19,242,6,248,0,0,0,61,187
Lehal Khurd (74),0,0,0,5,71,131,10,6,191,204,3,9,160,38,4,0,203,164,43,206,1,207,0,0,0,3,204
Bakhora Kallan (77),0,0,0,2,164,57,0,12,211,221,2,12,172,39,157,0,66,133,90,222,1,223,0,0,0,2,221
