village,Nitrogen High,Nitrogen Medium,Nitrogen Low,Phosphorus High,Phosphorus Medium,Phosphorus Low,Potassium High,Potassium Medium,Potassium Low,Sulphur Sufficient,Sulphur Deficient,None High,None Medium,None Low,pH Alkaline,pH Acidic,pH Neutral,EC Saline,EC Deficient,Iron Sufficient,Iron Deficient,Zinc Sufficient,Zinc Deficient,Copper Sufficient,Copper Deficient,Boron Sufficient,Boron Deficient,Manganese Sufficient,Manganese Deficient
2 MKS-A,0,0,0,17,0,0,16,0,1,16,1,0,0,17,1,0,16,4,,14,3,11,6,17,0,0,0,17,0
17 GGR,0,0,0,9,2,0,10,0,1,10,1,0,0,11,0,0,11,0,,8,3,7,4,11,0,0,0,11,0
3 MKS,0,0,0,5,0,0,5,0,0,4,1,0,0,5,1,0,4,3,,5,0,3,2,5,0,0,0,5,0
6 KHR,0,0,0,10,1,0,11,0,0,11,0,0,0,11,3,0,8,0,,8,3,7,4,11,0,0,0,10,1
3 CDR,0,0,0,9,0,0,9,0,0,7,2,0,0,9,3,0,6,0,,8,1,3,6,8,1,0,0,9,0
4 KHR,0,0,0,9,1,0,9,1,0,9,1,0,0,10,3,0,7,0,,9,1,6,4,10,0,0,0,10,0
2 CDR,0,0,0,4,0,0,4,0,0,4,0,0,0,4,2,0,2,0,,4,0,2,2,4,0,0,0,4,0
1 KHR,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,0,0,0,,0,1,1,0,1,0,0,0,1,0
7 FTP,0,0,0,20,1,0,21,0,0,18,3,0,0,21,0,0,21,1,,20,1,10,11,21,0,0,0,21,0
7 KHR,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,,1,0,0,1,1,0,0,0,1,0
19 GGR,0,0,0,16,5,0,21,0,0,18,3,0,0,21,1,0,20,1,,17,4,11,10,19,2,0,0,20,1
3 KHR,0,0,0,3,1,0,4,0,0,4,0,0,0,4,1,0,3,0,,3,1,3,1,4,0,0,0,4,0
2 SBN,0,0,0,4,1,0,5,0,0,4,1,0,0,5,3,0,2,1,,5,0,3,2,5,0,0,0,5,0
7 CDR,0,0,0,14,2,0,15,1,0,16,0,0,0,16,0,0,16,3,,14,2,4,12,15,1,0,0,16,0
3 SBN,0,0,0,5,1,0,6,0,0,5,1,0,0,6,2,0,4,0,,3,3,3,3,5,1,0,0,6,0
1 MKS-A,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,,1,0,1,0,1,0,0,0,1,0
5 KHR,0,0,0,17,2,0,18,1,0,17,2,0,0,19,2,0,17,0,,15,4,11,8,19,0,0,0,19,0
2 KHR,0,0,0,6,1,0,6,1,0,7,0,0,0,7,1,0,6,0,,6,1,5,2,7,0,0,0,7,0
8 CDR,0,0,0,14,3,0,14,3,0,15,2,0,0,17,1,0,16,4,,14,3,4,13,16,1,0,0,17,0
4 SBN,0,0,0,4,0,0,4,0,0,3,1,0,0,4,1,0,3,0,,3,1,3,1,3,1,0,0,4,0
1 CDR,0,0,0,4,1,0,5,0,0,4,1,0,0,5,1,0,4,0,,4,1,1,4,5,0,0,0,5,0
