village,Nitrogen High,Nitrogen Medium,Nitrogen Low,Phosphorus High,Phosphorus Medium,Phosphorus Low,Potassium High,Potassium Medium,Potassium Low,Sulphur Sufficient,Sulphur Deficient,None High,None Medium,None Low,pH Alkaline,pH Acidic,pH Neutral,Iron Sufficient,Iron Deficient,Zinc Sufficient,Zinc Deficient,Copper Sufficient,Copper Deficient,Boron Sufficient,Boron Deficient,Manganese Sufficient,Manganese Deficient
Bhoja Ki Dhani,0,0,0,80,7,0,86,1,0,87,0,4,17,66,0,0,87,71,16,84,3,87,0,0,0,87,0
Shyampura,0,0,0,31,1,1,28,5,0,33,0,0,2,31,3,0,30,22,11,33,0,33,0,0,0,33,0
Kikraliya,0,0,0,5,0,0,4,1,0,5,0,0,0,5,0,0,5,3,2,5,0,5,0,0,0,5,0
Raghunathpura,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,1,0,1,0,1,0,0,0,1,0
Ranoli,0,0,0,27,6,0,30,3,0,33,0,0,0,33,2,0,31,19,14,33,0,33,0,0,0,33,0
Baidh Ki Dhani,0,0,0,18,0,0,16,2,0,18,0,0,0,18,2,0,16,11,7,18,0,18,0,0,0,18,0
Gila Ki Dhani,0,0,0,1,1,0,2,0,0,2,0,0,0,2,0,0,2,1,1,2,0,2,0,0,0,2,0
Akhepura,0,0,0,45,6,0,46,5,0,51,0,0,0,50,0,0,45,41,10,51,0,51,0,0,0,51,0
Kerpura,0,0,0,13,0,0,11,2,0,13,0,0,0,13,0,0,12,11,2,13,0,13,0,0,0,13,0
Akhepura,0,0,0,5,0,0,5,0,0,6,0,0,0,5,0,0,5,4,2,6,0,6,0,0,0,6,0
Ajabpura,0,0,0,35,0,0,34,1,0,35,0,0,0,35,0,0,35,26,9,35,0,35,0,0,0,35,0
Ramsingh Pura,0,0,0,10,0,0,10,0,0,10,0,0,0,10,0,0,10,6,4,10,0,10,0,0,0,10,0
Khatiwas,0,0,0,7,0,0,7,0,0,7,0,0,0,7,0,0,7,1,6,7,0,7,0,0,0,7,0
Sawaipura,0,0,0,16,1,0,18,1,0,19,0,0,0,16,0,0,16,12,8,20,0,20,0,0,0,20,0
Majipura,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,1,0,1,0,0,0,1,0
Dookiya,0,0,0,7,0,0,7,0,0,7,0,0,0,7,0,0,7,1,6,7,0,7,0,0,0,7,0
Sanwalpura,0,0,0,0,7,1,8,0,0,8,0,0,0,8,1,0,5,4,4,8,0,8,0,0,0,8,0
Mandha,0,0,0,36,1,0,36,1,0,37,0,0,0,36,0,0,37,31,6,37,0,37,0,0,0,37,0
Aloda,0,0,0,14,13,0,22,5,0,28,0,0,0,27,0,0,23,23,6,29,0,29,0,0,0,29,0
Chak Majipura,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,1,0,1,0,0,0,1,0
Gordhanpura,0,0,0,8,0,0,8,0,0,8,0,0,0,8,0,0,7,5,3,8,0,8,0,0,0,8,0
Bhagwan Pura,0,0,0,4,2,0,4,2,0,6,0,0,0,6,1,0,3,4,2,6,0,6,0,0,0,6,0
Samer,0,0,0,0,1,1,2,0,0,2,0,0,0,2,0,0,2,2,0,2,0,2,0,0,0,2,0
Ganeshpura,0,0,0,8,0,0,8,0,0,8,0,0,0,8,0,0,8,3,5,8,0,8,0,0,0,8,0
Bagadiyon Ka Bas,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,1,0,1,0,1,0,0,0,1,0
Khandelsar,0,0,0,7,0,0,7,0,0,7,0,0,0,7,0,0,7,5,3,8,0,8,0,0,0,8,0
