village,Nitrogen High,Nitrogen Medium,Nitrogen Low,Phosphorus High,Phosphorus Medium,Phosphorus Low,Potassium High,Potassium Medium,Potassium Low,Sulphur Sufficient,Sulphur Deficient,None High,None Medium,None Low,pH Alkaline,pH Acidic,pH Neutral,EC Saline,EC Deficient,Iron Sufficient,Iron Deficient,Zinc Sufficient,Zinc Deficient,Copper Sufficient,Copper Deficient,Boron Sufficient,Boron Deficient,Manganese Sufficient,Manganese Deficient
Phodong,0,117,8,125,0,0,0,125,0,125,0,0,115,10,0,58,66,0,,125,0,125,0,125,0,125,0,125,0
Tingda,0,170,73,245,0,0,0,244,1,246,0,0,169,73,0,130,96,1,,248,2,249,0,250,0,248,0,250,0
Kabi,0,256,55,311,0,0,0,307,4,311,0,0,255,55,0,251,51,1,,311,0,311,0,311,0,311,0,311,0
Labi,0,61,8,70,0,0,2,68,0,70,0,0,62,7,0,35,33,0,,70,0,70,0,70,0,70,0,70,0
Paney Phensang,0,151,24,175,0,0,0,175,0,175,0,0,148,27,0,103,66,0,,175,0,175,0,175,0,175,0,174,1
Phamtam,0,62,4,66,0,0,0,66,0,68,0,0,57,7,0,44,19,0,,68,0,68,0,68,0,68,0,68,0
Tumlong,0,104,0,104,0,0,0,103,1,104,0,0,103,0,0,44,58,0,,104,0,104,0,104,0,104,0,104,0
Men-Rongong,0,81,1,84,0,0,0,87,0,88,0,0,73,2,0,44,22,0,,88,0,88,0,89,0,87,0,87,1
Chawang,0,214,6,220,0,0,0,220,0,221,0,0,205,13,0,165,35,0,,222,0,222,0,222,0,222,0,223,1
Rongong,0,147,33,180,0,0,0,170,10,180,0,0,146,31,0,54,119,0,,181,1,181,0,182,0,180,0,182,0
