village,Nitrogen High,Nitrogen Medium,Nitrogen Low,Phosphorus High,Phosphorus Medium,Phosphorus Low,Potassium High,Potassium Medium,Potassium Low,Sulphur Sufficient,Sulphur Deficient,None High,None Medium,None Low,pH Alkaline,pH Acidic,pH Neutral,Iron Sufficient,Iron Deficient,Zinc Sufficient,Zinc Deficient,Copper Sufficient,Copper Deficient,Boron Sufficient,Boron Deficient,Manganese Sufficient,Manganese Deficient
Sangadorji,2,138,38,162,20,1,50,108,27,182,4,21,80,74,1,130,20,186,2,186,1,191,1,138,49,180,10
Deythang,1,175,28,174,34,0,70,91,48,192,16,37,78,84,0,169,20,207,6,209,1,216,0,131,79,189,25
Bara-Samdong,1,208,67,248,30,1,95,157,33,285,1,48,93,131,4,209,41,286,6,282,8,295,2,217,72,269,27
Sribadam,0,223,22,220,25,2,81,157,11,256,0,33,118,92,1,164,61,257,5,258,1,265,0,177,81,233,31
Jeel,0,83,41,87,33,4,29,65,31,123,2,22,37,62,0,107,9,124,1,119,6,123,3,98,27,113,13
Hathidunga,0,83,36,97,21,2,26,85,11,118,4,23,42,54,0,96,20,119,5,123,1,123,1,104,20,108,16
Boom,0,65,38,88,14,1,26,48,29,104,1,18,32,48,0,71,13,102,4,105,1,105,1,80,25,96,10
Sribadam Forest Block,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,1,0,1,0,1,0,0,1,1,0
Tadong,0,144,49,168,22,4,72,99,24,191,4,26,74,93,0,166,20,189,6,191,4,191,2,158,37,183,12
Rinchenpong,0,104,31,118,16,2,45,83,8,134,2,26,49,61,0,116,16,133,3,135,1,136,0,115,21,128,8
Reshi,0,10,8,17,0,1,5,10,3,19,0,3,8,5,0,13,0,20,0,18,1,21,0,12,7,20,0
