village,Nitrogen High,Nitrogen Medium,Nitrogen Low,Phosphorus High,Phosphorus Medium,Phosphorus Low,Potassium High,Potassium Medium,Potassium Low,Sulphur Sufficient,Sulphur Deficient,None High,None Medium,None Low,pH Alkaline,pH Acidic,pH Neutral,EC Saline,EC Deficient,Iron Sufficient,Iron Deficient,Zinc Sufficient,Zinc Deficient,Copper Sufficient,Copper Deficient,Boron Sufficient,Boron Deficient,Manganese Sufficient,Manganese Deficient
Sholanur,0,0,143,14,87,42,142,1,0,129,14,0,12,131,23,2,118,1,,59,84,142,1,141,0,64,79,90,53
Mettupalayam (Part),0,0,82,0,48,34,73,9,0,62,20,1,5,76,12,0,70,0,,45,37,81,1,81,0,32,50,46,36
Kodangipalayam,0,0,115,9,72,34,106,9,0,110,5,0,12,103,0,0,115,0,,59,56,107,8,115,0,46,69,68,47
Kaniyalampalayam,0,0,129,2,85,42,122,7,0,119,10,0,3,126,0,0,129,4,,41,88,129,0,127,0,41,88,52,77
Sirukkalandai,0,0,132,3,96,33,125,7,0,112,20,0,10,122,1,0,131,0,,59,73,129,3,127,5,26,106,58,74
Periakalandai,0,0,99,7,57,35,94,5,0,83,16,0,2,97,0,0,99,0,,59,40,97,2,98,0,48,51,41,58
Kattampatti,0,0,120,3,23,94,113,7,0,108,12,0,4,116,37,0,82,0,,48,72,107,13,117,1,16,104,36,84
Krishnarayapuram,0,0,2,0,0,2,2,0,0,2,0,0,0,2,0,0,2,0,,2,0,2,0,2,0,0,2,2,0
Kakkadavu,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,,1,0,1,0,1,0,0,1,1,0
Varadanur,0,0,1,0,0,1,1,0,0,1,0,0,0,1,0,0,1,0,,1,0,1,0,1,0,0,1,1,0
Devanampalayam,0,0,2,0,1,1,2,0,0,2,0,0,2,0,0,0,2,0,,2,0,2,0,2,0,0,2,1,1
Vaguthampalayam,0,0,3,0,1,2,3,0,0,3,0,0,0,3,0,0,2,0,,3,0,3,0,3,0,0,3,3,0
Sangarayapuram,0,0,2,0,0,2,2,0,0,2,0,0,0,2,0,0,2,0,,0,2,2,0,2,0,0,2,1,1
Sulakkal,0,0,3,0,0,3,3,0,0,3,0,0,0,3,0,0,3,0,,0,3,3,0,3,0,0,3,2,1
Govindapuram,0,0,3,0,1,2,3,0,0,3,0,0,0,3,0,0,3,0,,1,2,3,0,3,0,0,3,0,3
Mullipadi,0,0,3,0,0,3,3,0,0,3,0,0,0,3,0,0,3,0,,0,3,3,0,3,0,0,3,0,3
Muthur,0,0,2,0,0,2,2,0,0,1,1,0,0,2,0,0,2,0,,0,2,2,0,2,0,0,2,1,1
Devarayapuram,0,0,2,0,0,2,2,0,0,2,0,0,0,2,0,0,2,0,,0,2,2,0,2,0,0,2,0,2
