village,Nitrogen High,Nitrogen Medium,Nitrogen Low,Phosphorus High,Phosphorus Medium,Phosphorus Low,Potassium High,Potassium Medium,Potassium Low,Sulphur Sufficient,Sulphur Deficient,None High,None Medium,None Low,pH Alkaline,pH Acidic,pH Neutral,Iron Sufficient,Iron Deficient,Zinc Sufficient,Zinc Deficient,Copper Sufficient,Copper Deficient,Boron Sufficient,Boron Deficient,Manganese Sufficient,Manganese Deficient
Neyvasal,0,0,20,2,18,0,0,20,0,1,19,0,0,20,0,0,20,20,0,17,3,20,0,20,0,20,0
Kuthur,0,0,31,23,8,0,1,29,1,0,31,0,0,31,0,0,31,31,0,27,4,31,0,31,0,31,0
Elleri East,0,0,2,0,1,1,0,2,0,1,1,0,0,2,0,0,2,2,0,2,0,2,0,2,0,2,0
Kalikandan,0,0,21,11,10,0,5,16,0,0,21,0,0,21,0,1,20,21,0,15,6,21,0,21,0,21,0
Madarsudamani,0,0,51,50,1,0,50,1,0,0,51,0,0,51,0,0,51,51,0,47,4,51,0,51,0,51,0
Puliyangudi (Mannargudi),0,0,21,19,2,0,0,21,0,0,21,0,0,21,2,0,19,21,0,15,6,21,0,21,0,21,0
Keelavanniyur,0,0,21,10,11,0,0,18,3,1,20,0,0,21,0,0,21,21,0,13,8,21,0,21,0,21,0
Nalamputhur,0,0,19,7,12,0,6,12,1,1,18,0,0,19,0,0,19,19,0,17,2,19,0,19,0,19,0
Koothankoil,0,0,3,0,3,0,0,3,0,0,3,0,0,3,0,0,3,3,0,3,0,3,0,3,0,3,0
Nandimangalam,0,0,21,20,1,0,0,21,0,0,21,0,0,21,0,0,21,21,0,14,7,21,0,21,0,21,0
Meyyathur,0,0,26,25,1,0,11,15,0,0,26,0,0,26,0,0,26,26,0,26,0,26,0,26,0,26,0
Oblanjimedu (Meyyathur),0,0,25,25,0,0,21,4,0,0,25,0,0,25,3,0,22,25,0,20,5,25,0,25,0,25,0
Thavarthampattu,0,0,103,22,76,5,33,69,1,22,81,0,0,103,0,1,102,103,0,93,10,103,0,95,8,103,0
Chettikkattalai,0,0,38,18,18,2,0,38,0,5,33,0,0,38,0,0,38,38,0,37,1,38,0,38,0,38,0
Kothavasal,0,0,30,20,10,0,1,29,0,3,27,0,0,30,0,0,30,30,0,28,2,30,0,29,1,30,0
Lakshimigudi,0,0,36,19,17,0,0,36,0,1,35,0,0,36,0,0,36,36,0,25,11,36,0,36,0,36,0
Solakkur,0,0,52,32,20,0,0,52,0,7,45,0,0,52,0,0,52,52,0,48,4,52,0,51,1,52,0
Thurakozhi,0,0,51,32,18,1,0,51,0,5,46,0,0,51,0,0,51,51,0,40,11,51,0,51,0,51,0
Mannargudi (Arasur),0,0,102,58,43,1,9,79,14,100,2,0,0,102,0,0,102,102,0,96,6,102,0,100,2,102,0
Chidambara Arasur,0,0,102,52,50,0,81,20,1,100,2,0,4,98,0,0,102,102,0,101,1,102,0,102,0,102,0
Athipattu,0,0,102,99,3,0,60,42,0,19,83,0,0,102,95,0,7,102,0,101,1,102,0,102,0,102,0
Melaparuthigudi,0,0,102,55,47,0,64,38,0,76,26,1,0,101,0,0,102,102,0,102,0,102,0,102,0,102,0
Mullangudi,0,0,102,100,1,1,3,99,0,18,84,0,0,102,1,0,101,102,0,101,1,102,0,102,0,102,0
Kezhakundalapadi,0,0,100,97,2,1,32,67,1,10,90,0,0,100,96,0,4,100,0,99,1,100,0,98,2,100,0
Saliyanthoppu,0,0,103,5,61,37,35,67,1,14,89,0,0,103,89,0,14,103,0,93,10,103,0,96,7,103,0
Kadavacheri,0,0,103,2,101,0,0,73,30,18,85,0,0,103,22,0,81,103,0,93,10,103,0,99,4,103,0
Parivilagam,0,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0
Radhanallur,0,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0
Alkondanatham,0,0,1,1,0,0,0,1,0,1,0,0,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0
Kothangudi (Mannargudi),0,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0
Elleri West,0,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0
Kuduveli,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0
Puthur (Terkunadu),0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0
Sivakam,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0
Agaranallur,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,1,1,0,1,0,1,0
Kattukudalur,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0
Chittimuttu,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0
Vaiyur,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0
Karuppur,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0
Therkumangudi,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0
Vadakkumangudi,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,1,1,0,0,1,1,0,1,0,1,0
Vallampadugai,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0
Pettai,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0
Elanangur,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0
Varagur,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0
Chidambaram (Nm) (CT),0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0
Usuppur (CT),0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0
Jayamkondapattanam,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0
Nanjalur,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0
Erukankattupadugai,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0
C.Thandeswaranallur,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,1,0,1,0,0,1,1,0
Parameswaranallur,0,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0
Thiruvakkulam,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0
C.Vakkaramari,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0
Poolamedu,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,1,1,0,1,0,1,0
Perampattu,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0
Sivapuri,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0
Melnedumbur,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0
Melavanniyur (Mannargudi),0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0
Themmur,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0
Vadamur,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,1,1,0,1,0,1,0
Keelnedumbur,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0
Vilathur Thirupaniyapuram,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0
Sivayam,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0
Keelakarai,0,0,2,0,1,1,0,2,0,0,2,0,0,2,0,0,2,2,0,2,0,2,0,2,0,2,0
Vetchiyur,0,0,3,2,1,0,2,1,0,0,3,0,0,3,0,0,3,3,0,3,0,3,0,3,0,3,0
Kanjivay,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0
Keelparuthigudi,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,1,1,0,0,1,1,0,1,0,1,0
Suravilandur,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0
Vanadarayanpettai,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0
Vennaiyur,0,0,2,0,2,0,0,2,0,0,2,0,0,2,0,0,2,2,0,2,0,2,0,2,0,2,0
Elangambur,0,0,1,0,0,1,1,0,0,0,1,0,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0
Keezadhangudi,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0
Vellur,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0
Komaratchi East,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0
Edaiyur,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0
Vauvalthoppu,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0
Pillaiarthangal,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0
Mannarkulakudi,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0
Vadakkukulakudi,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0
Thirunaraiyur,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0
Naduthittu,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0
Sarvarajanpettai,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0
Lalpettai,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0
Odaiyur (Mannargudi),0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0
