village,Nitrogen High,Nitrogen Medium,Nitrogen Low,Phosphorus High,Phosphorus Medium,Phosphorus Low,Potassium High,Potassium Medium,Potassium Low,Sulphur Sufficient,Sulphur Deficient,None High,None Medium,None Low,pH Alkaline,pH Acidic,pH Neutral,Iron Sufficient,Iron Deficient,Zinc Sufficient,Zinc Deficient,Copper Sufficient,Copper Deficient,Boron Sufficient,Boron Deficient,Manganese Sufficient,Manganese Deficient
Nathapatti,1,1,100,15,51,36,47,54,1,46,56,1,0,101,20,0,82,65,37,102,0,102,0,20,82,82,19
Kaithian Kottai,0,1,101,0,0,102,31,65,6,29,73,1,1,100,0,0,102,3,99,102,0,102,0,1,101,102,0
Usilampatti,0,0,3,1,1,1,3,0,0,1,2,0,0,3,0,0,3,2,1,3,0,3,0,1,2,2,1
Kudappam,0,0,3,0,2,1,1,2,0,0,3,0,0,3,0,0,3,3,0,3,0,3,0,0,3,3,0
Ammapatti,0,0,2,0,2,0,2,0,0,0,2,0,0,2,0,0,2,2,0,2,0,2,0,0,2,2,0
Vembur,1,1,78,20,29,31,76,3,1,28,52,0,0,80,1,0,79,76,4,80,0,80,0,8,72,79,1
Nallur,0,0,23,0,8,15,16,7,0,7,16,0,0,23,0,0,23,23,0,23,0,23,0,0,23,23,0
Sriramapuram,0,1,99,0,64,36,78,22,0,38,62,0,0,100,0,0,100,100,0,99,1,100,0,6,94,99,1
Malvarpatti,0,0,106,0,4,102,31,68,7,34,72,0,0,106,0,0,106,5,100,106,0,106,0,6,100,106,0
Eriodu,0,0,14,0,11,3,6,8,0,7,7,0,0,14,0,0,14,14,0,14,0,14,0,4,10,14,0
A.Kombai,0,0,19,0,13,6,13,6,0,9,10,0,0,19,0,0,19,18,1,19,0,19,0,2,17,19,0
Vellampatti,0,0,43,18,22,3,24,19,0,25,18,0,0,43,0,1,42,41,2,43,0,43,0,3,40,43,0
Nagayakottai,0,0,38,5,23,10,26,12,0,14,24,0,0,38,1,0,37,31,8,39,0,39,0,8,30,39,0
Nallamanarkottai,0,0,29,5,18,6,22,7,0,14,15,0,1,28,0,0,29,28,1,29,0,29,0,5,24,28,1
Pudukottai (V),0,0,2,0,1,1,2,0,0,1,1,0,0,2,0,0,2,2,0,2,0,2,0,1,1,2,0
Palapatti,0,0,6,0,4,2,4,2,0,1,5,0,0,6,0,0,6,6,0,6,0,6,0,1,5,6,0
Chittur,0,0,5,0,2,3,1,4,0,1,4,0,0,5,0,0,5,5,0,4,1,5,0,0,5,5,0
Koovakkapatti,0,0,2,0,1,1,1,1,0,1,1,0,1,1,0,0,2,2,0,2,0,2,0,1,1,2,0
Kuddam,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,1,1,0,1,0,1,0,0,1,1,0
Marambadi,0,2,6,0,5,3,6,2,0,4,4,0,0,8,0,0,7,6,2,8,0,8,0,2,6,8,0
Vedasandur,0,0,56,11,33,12,39,17,0,25,31,0,0,55,1,0,53,49,7,56,0,56,0,8,48,56,0
Kulathupatti,0,0,2,1,1,0,1,1,0,1,1,0,0,2,0,0,2,2,0,2,0,2,0,0,2,2,0
