village,Nitrogen High,Nitrogen Medium,Nitrogen Low,Phosphorus High,Phosphorus Medium,Phosphorus Low,Potassium High,Potassium Medium,Potassium Low,Sulphur Sufficient,Sulphur Deficient,None High,None Medium,None Low,pH Alkaline,pH Acidic,pH Neutral,EC Saline,EC Deficient,Iron Sufficient,Iron Deficient,Zinc Sufficient,Zinc Deficient,Copper Sufficient,Copper Deficient,Boron Sufficient,Boron Deficient,Manganese Sufficient,Manganese Deficient
Karibasanapuram,0,0,3,1,1,1,0,3,0,3,0,1,1,1,0,0,3,0,,2,1,1,2,3,0,3,0,3,0
Siddanapalli,0,0,18,9,9,0,0,14,4,18,0,9,3,6,0,0,18,0,,18,0,10,8,18,0,18,0,18,0
Punugandoddi,0,0,23,15,5,3,1,10,12,23,0,5,8,10,0,0,23,0,,22,1,8,15,23,0,23,0,23,0
Peddakullu,0,0,65,45,18,2,2,47,16,65,0,12,26,26,0,0,64,0,,62,3,29,36,64,0,65,0,65,0
Kelavarapalli,0,0,45,14,28,3,0,20,25,45,0,5,7,33,0,1,44,0,,39,6,25,20,45,0,45,0,44,1
Chinnakullu,0,0,16,10,6,0,0,11,5,16,0,4,5,6,0,0,15,0,,15,1,8,8,16,0,16,0,16,0
Advanapalli,0,0,10,8,1,1,6,2,2,10,0,7,1,2,0,0,10,0,,7,3,5,5,9,1,10,0,10,0
Palavanapalli,0,0,126,69,46,11,56,52,18,126,0,51,16,59,0,0,126,0,,105,21,54,72,126,0,126,0,126,0
Sudugondapalli,0,0,38,24,11,3,18,15,5,38,0,13,19,6,0,0,38,0,,35,3,22,16,36,2,38,0,38,0
Thummanapalli,0,0,36,19,14,3,8,23,5,36,0,1,8,27,0,0,36,0,,32,4,22,14,36,0,36,0,36,0
Mugalpalli,0,0,82,45,30,7,36,25,21,82,0,14,11,57,0,0,82,0,,71,11,45,37,82,0,82,0,82,0
Kothagondapalli,0,0,156,65,55,36,75,73,8,156,0,12,37,107,0,7,149,2,,131,25,84,72,150,6,156,0,156,0
Begepalli,0,0,138,102,23,13,28,78,32,138,0,14,18,106,0,11,127,0,,127,11,51,87,137,1,138,0,138,0
Nagondapalli,0,0,7,0,3,4,0,5,2,7,0,1,2,4,0,0,7,0,,6,1,4,3,7,0,7,0,7,0
Gopanapalli,0,0,5,2,2,1,1,2,2,5,0,1,2,2,0,0,5,0,,5,0,0,5,5,0,5,0,5,0
Panchakshipuram,0,0,6,4,1,1,3,2,1,6,0,2,3,1,0,0,6,0,,6,0,2,4,6,0,6,0,6,0
Mathigiri,0,0,3,1,0,2,2,0,1,3,0,0,1,2,0,0,3,0,,3,0,2,1,3,0,3,0,3,0
Poonapalli,0,0,5,1,1,3,1,4,0,5,0,3,1,1,0,0,5,0,,3,2,2,3,5,0,5,0,5,0
Muthuganapalli,0,0,17,2,10,5,8,9,0,17,0,2,3,12,0,0,17,0,,9,8,6,11,17,0,17,0,17,0
Attur,0,0,2,0,1,1,1,1,0,2,0,0,0,2,0,0,2,0,,0,2,1,1,2,0,2,0,2,0
Muthalli,0,0,2,0,1,1,0,2,0,2,0,0,1,1,0,0,2,0,,2,0,2,0,1,1,2,0,2,0
Mugalur,0,0,7,3,2,2,3,4,0,7,0,1,3,3,0,0,7,0,,3,4,5,2,7,0,7,0,7,0
Thattiganapalli,0,0,2,0,0,2,1,1,0,2,0,1,0,1,0,0,2,0,,2,0,0,2,2,0,2,0,2,0
Dhasapalli,0,0,2,1,0,1,1,1,0,2,0,0,1,1,0,0,2,0,,0,2,1,1,1,1,2,0,2,0
Thorapalli Agraharam,0,0,2,0,1,1,0,2,0,2,0,0,0,2,0,0,2,0,,2,0,2,0,2,0,2,0,2,0
Onalvadi,0,0,2,0,0,2,1,1,0,2,0,0,1,1,0,0,2,0,,2,0,0,2,2,0,2,0,2,0
Chennathur,0,0,16,1,11,4,1,10,5,16,0,4,2,10,0,0,16,0,,14,2,5,11,15,1,16,0,16,0
Achettipalli,0,0,2,0,1,1,0,2,0,2,0,0,0,2,0,0,2,0,,1,1,2,0,2,0,2,0,2,0
Pathamuthali,0,0,2,0,1,1,1,1,0,2,0,0,1,1,0,0,2,0,,2,0,2,0,2,0,2,0,2,0
Vattiripalli,0,0,3,3,0,0,0,3,0,3,0,0,0,3,0,0,3,0,,2,1,2,1,2,1,3,0,3,0
Puram,0,0,2,0,2,0,1,1,0,2,0,0,2,0,0,0,2,0,,2,0,2,0,2,0,2,0,2,0
Devaripalli,0,0,2,0,1,1,1,1,0,2,0,1,0,1,0,0,2,0,,0,2,1,1,2,0,2,0,2,0
Pichugodapalli,0,0,3,3,0,0,2,1,0,3,0,1,0,2,0,0,3,0,,2,1,1,2,3,0,3,0,3,0
Lingapuram,0,0,3,3,0,0,1,2,0,3,0,0,0,3,0,0,3,0,,1,2,2,1,3,0,3,0,3,0
Bagalur,0,0,4,4,0,0,0,3,1,4,0,1,0,3,0,0,4,0,,4,0,4,0,3,1,4,0,4,0
