village,Nitrogen High,Nitrogen Medium,Nitrogen Low,Phosphorus High,Phosphorus Medium,Phosphorus Low,Potassium High,Potassium Medium,Potassium Low,Sulphur Sufficient,Sulphur Deficient,None High,None Medium,None Low,pH Alkaline,pH Acidic,pH Neutral,EC Saline,EC Deficient,Iron Sufficient,Iron Deficient,Zinc Sufficient,Zinc Deficient,Copper Sufficient,Copper Deficient,Boron Sufficient,Boron Deficient,Manganese Sufficient,Manganese Deficient
Avanasipatti,0,0,12,4,5,3,10,1,1,12,0,0,2,10,11,0,1,1,,10,2,10,2,12,0,10,2,2,10
Nagarpalayam,0,0,10,5,2,3,9,1,0,10,0,0,0,10,9,0,1,0,,8,2,8,2,10,0,8,2,3,7
Sundagipalaiyam,0,0,3,0,2,1,3,0,0,3,0,0,0,3,2,0,1,0,,1,2,1,2,3,0,1,2,2,1
Karungalpatti,0,2,144,94,24,28,105,38,3,146,0,8,38,100,112,0,34,2,,46,100,110,36,146,0,143,3,16,130
Kolankondai,0,3,144,28,82,37,103,22,22,124,23,0,78,69,76,0,70,0,,92,55,115,32,143,4,129,18,62,85
Morangam,0,0,4,2,2,0,4,0,0,4,0,0,0,4,4,0,0,0,,2,2,3,1,4,0,2,2,1,3
Paruttipalli,0,0,5,3,1,1,5,0,0,5,0,0,0,5,5,0,0,0,,3,2,3,2,5,0,3,2,1,4
Minnampalli,0,0,119,28,86,5,104,13,2,75,44,1,6,112,39,0,80,1,,39,81,114,5,119,1,37,82,16,104
Palamedu,0,0,7,3,4,0,6,1,0,7,0,0,1,6,7,0,0,0,,5,2,6,1,7,0,5,2,2,5
Marapparai,0,0,26,8,9,9,17,7,2,26,0,0,2,24,20,0,6,1,,24,2,25,1,26,0,24,2,14,12
Kallupalaiyam,0,0,2,0,1,1,2,0,0,2,0,0,0,2,2,0,0,0,,0,2,0,2,2,0,0,2,0,2
Vandinatham,0,0,7,3,2,2,6,1,0,7,0,0,1,6,7,0,0,0,,5,2,6,1,7,0,5,2,2,5
Goundampalaiyam,0,0,5,2,2,1,5,0,0,4,1,0,0,5,2,0,3,0,,0,5,1,4,5,0,0,5,2,3
Mettupalayam,0,0,19,2,17,0,17,2,0,14,5,0,0,19,4,0,15,0,,3,16,16,3,19,0,1,18,5,14
Munjanur,0,0,4,2,2,0,4,0,0,4,0,0,1,3,2,0,2,0,,2,2,2,2,4,0,2,2,1,3
Pillanatham,0,0,141,52,34,55,90,32,19,139,2,2,9,130,79,0,62,0,,12,129,127,13,140,1,139,2,36,105
Koothanatham,0,0,10,0,2,8,5,4,1,10,0,0,0,10,6,0,4,0,,8,2,8,2,10,0,8,2,2,8
Ballakkuli Agraharam,0,0,7,6,0,1,7,0,0,7,0,0,0,7,7,0,0,0,,1,6,4,2,7,0,2,5,0,7
Sappayapuram,0,0,2,1,0,1,2,0,0,2,0,0,1,1,1,0,1,0,,0,2,2,0,2,0,0,2,1,1
Sembampalaiyam,0,0,14,1,5,8,6,8,0,14,0,0,1,13,4,0,10,0,,12,2,12,2,14,0,11,3,2,12
Mangalam,0,0,18,6,7,5,11,7,0,18,0,0,0,18,8,1,9,0,,16,2,16,2,18,0,16,2,3,15
Ramapuram,0,0,15,3,8,3,13,2,0,15,0,0,3,12,7,0,8,0,,14,1,13,2,15,0,13,2,2,13
Mallasamudram (East),0,0,23,5,8,10,15,8,0,23,0,0,0,23,18,0,5,0,,20,3,21,2,23,0,20,3,12,11
Senbagamadevi,0,0,16,12,3,1,15,0,1,16,0,0,1,15,15,1,0,0,,12,4,14,2,16,0,12,4,2,14
Karumanur,0,0,7,0,3,4,4,2,1,6,1,0,2,5,1,0,6,0,,6,1,4,3,7,0,6,1,0,7
Mamundi,0,0,4,2,1,1,3,1,0,4,0,0,0,4,3,0,1,0,,2,2,4,0,4,0,2,2,3,1
Kottaipalayam,0,0,17,6,6,5,12,2,3,17,0,0,0,17,12,0,5,0,,15,2,16,1,17,0,15,2,4,13
Mallasamudram (West),0,0,26,17,8,1,23,3,0,26,0,0,3,23,20,0,6,0,,22,4,23,3,25,1,22,4,9,17
