village,Nitrogen High,Nitrogen Medium,Nitrogen Low,Phosphorus High,Phosphorus Medium,Phosphorus Low,Potassium High,Potassium Medium,Potassium Low,Sulphur Sufficient,Sulphur Deficient,None High,None Medium,None Low,pH Alkaline,pH Acidic,pH Neutral,EC Saline,EC Deficient,Iron Sufficient,Iron Deficient,Zinc Sufficient,Zinc Deficient,Copper Sufficient,Copper Deficient,Boron Sufficient,Boron Deficient,Manganese Sufficient,Manganese Deficient
Ariyampalayam,0,0,56,12,28,16,24,29,3,23,33,0,0,56,0,0,56,1,,56,0,45,11,56,0,55,1,55,1
Uthamasolapuram,0,0,98,10,62,26,40,57,1,50,48,0,0,98,1,0,97,1,,98,0,59,39,98,0,86,12,98,0
Kadathur Agraharam,0,0,105,23,45,37,70,34,1,45,60,0,0,105,21,0,84,0,,105,0,81,24,105,0,83,22,105,0
Puthur Agraharam (CT),0,1,141,6,89,47,74,68,0,43,99,0,0,142,20,0,122,5,,141,1,100,42,141,0,123,19,142,0
Senaipalayam,1,0,103,2,65,37,72,31,1,24,80,0,0,104,12,0,92,1,,103,1,56,48,103,0,84,20,102,2
Akkaraipalaiyam,0,0,87,12,27,48,31,55,1,35,52,0,0,87,7,0,80,5,,87,0,50,37,87,0,81,6,87,0
Palampatti,0,0,43,6,26,11,24,18,1,31,12,0,0,43,2,0,42,2,,43,0,33,10,43,0,42,1,43,0
Bairoji,0,0,3,1,2,0,3,0,0,1,2,0,0,3,3,0,0,0,,3,0,2,1,3,0,3,0,3,0
Kombadipatti,0,0,3,0,0,3,0,3,0,0,3,0,0,3,0,0,3,0,,3,0,3,0,3,0,3,0,3,0
Periyaseeragapadi,0,0,3,0,3,0,1,2,0,0,3,0,0,3,0,0,3,0,,3,0,3,0,3,0,3,0,3,0
Rajapalayam (CT),0,0,6,2,1,3,1,5,0,3,3,0,0,6,0,0,6,0,,6,0,5,1,6,0,6,0,6,0
Chennagiri (CT),0,0,4,0,2,2,1,3,0,1,3,0,0,4,1,0,3,0,,4,0,3,1,4,0,4,0,4,0
Chinnasiragapadi,0,0,3,0,0,3,0,3,0,0,3,0,0,3,0,0,3,0,,3,0,3,0,3,0,3,0,3,0
Pettampatti,0,0,8,0,3,5,4,4,0,3,5,0,0,8,1,0,7,0,,8,0,5,3,8,0,8,0,8,0
Rakkipatti,0,0,5,0,5,0,1,4,0,2,3,0,0,5,1,0,4,0,,5,0,5,0,5,0,5,0,5,0
Nallarayampatti,0,0,3,0,2,1,1,2,0,1,2,0,0,3,0,0,3,0,,3,0,3,0,3,0,3,0,3,0
Arikkavandanpatti,0,0,6,0,1,5,5,1,0,1,5,0,0,6,2,0,4,0,,6,0,5,1,6,0,6,0,6,0
Murungapatti,0,0,5,1,4,0,5,0,0,0,5,0,0,5,1,0,4,0,,5,0,5,0,5,0,5,0,5,0
Sevampalayam,0,0,3,0,0,3,0,3,0,0,3,0,0,3,0,0,3,0,,3,0,3,0,3,0,3,0,3,0
Nayinampatti,0,0,5,5,0,0,1,4,0,1,4,0,0,5,1,0,4,1,,5,0,5,0,5,0,5,0,5,0
Reddipatti,0,0,5,0,1,4,2,3,0,0,5,0,0,5,0,0,5,0,,5,0,4,1,5,0,5,0,5,0
Attavanaipulaveri,0,0,3,1,1,1,1,1,1,1,2,0,0,3,1,0,2,1,,3,0,3,0,3,0,3,0,3,0
Anaikuttaipatti,0,0,3,1,2,0,0,3,0,0,3,0,0,3,0,0,3,0,,3,0,3,0,3,0,3,0,3,0
Veerapandi,0,0,2,0,0,2,0,2,0,0,2,0,0,2,0,0,2,0,,2,0,2,0,2,0,2,0,2,0
Ellimanaickampatti,0,0,4,1,1,2,0,1,3,1,3,0,0,4,0,0,4,0,,4,0,4,0,4,0,4,0,4,0
Ramapuram,0,0,4,0,1,3,1,3,0,2,2,0,0,4,2,0,2,0,,4,0,3,1,4,0,4,0,4,0
Vembadithalam (CT),0,0,4,0,2,2,4,0,0,0,4,0,0,4,3,0,1,0,,4,0,4,0,4,0,4,0,4,0
Kalparapatti (CT),0,0,3,0,1,2,0,3,0,0,3,0,0,3,0,0,3,0,,3,0,3,0,3,0,3,0,3,0
Perumagoundampatti (CT),0,0,5,0,1,4,4,0,1,1,4,0,0,5,4,0,1,0,,5,0,4,1,5,0,5,0,5,0
Ilampillai,0,0,4,0,2,2,2,2,0,1,3,0,0,4,2,0,2,1,,4,0,3,1,4,0,4,0,4,0
Perumampatti,0,0,5,4,1,0,5,0,0,3,2,0,0,5,1,0,4,3,,5,0,5,0,5,0,5,0,5,0
Luguvanpatti,0,0,4,0,4,0,4,0,0,3,1,0,0,4,1,0,3,1,,4,0,4,0,4,0,4,0,4,0
Kothanur,0,0,3,2,1,0,3,0,0,1,2,0,0,3,1,0,2,2,,3,0,3,0,3,0,3,0,3,0
Nallampatti,0,0,5,5,0,0,5,0,0,0,5,0,0,5,0,0,5,0,,5,0,5,0,5,0,5,0,5,0
Thunbathulipatti,0,0,4,4,0,0,4,0,0,2,2,0,0,4,1,0,3,3,,4,0,3,1,4,0,4,0,4,0
Muttanampalayam,0,0,4,0,4,0,0,4,0,0,4,0,0,4,2,0,2,0,,4,0,4,0,4,0,4,0,4,0
Attayampatti,0,0,10,4,3,3,5,5,0,3,7,0,0,10,0,0,10,1,,10,0,10,0,10,0,10,0,10,0
Thanakuttipalayam,0,0,1,1,0,0,1,0,0,0,1,0,0,1,1,0,0,0,,1,0,1,0,1,0,1,0,1,0
Papparapatti (CT),0,0,5,0,5,0,5,0,0,0,5,0,0,5,3,0,2,0,,5,0,5,0,5,0,5,0,5,0
Marulayampalayam,0,0,4,1,3,0,1,3,0,0,4,0,0,4,0,0,4,0,,4,0,4,0,4,0,4,0,4,0
Keeraipappambadi,0,0,3,1,2,0,2,1,0,0,3,0,0,3,0,0,3,0,,3,0,1,2,3,0,3,0,3,0
Maramangalathupatti (CT),0,0,4,4,0,0,4,0,0,0,4,0,0,4,0,0,4,0,,4,0,4,0,4,0,4,0,4,0
Nayakkanpatti,0,0,4,4,0,0,4,0,0,0,4,0,0,4,0,0,4,0,,4,0,1,3,4,0,4,0,4,0
Pallampatti,0,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,,1,0,1,0,1,0,1,0,1,0
Agraharapulaveri,0,0,3,3,0,0,2,1,0,1,2,0,0,3,0,0,3,0,,3,0,3,0,3,0,3,0,3,0
