village,Nitrogen High,Nitrogen Medium,Nitrogen Low,Phosphorus High,Phosphorus Medium,Phosphorus Low,Potassium High,Potassium Medium,Potassium Low,Sulphur Sufficient,Sulphur Deficient,None High,None Medium,None Low,pH Alkaline,pH Acidic,pH Neutral,Iron Sufficient,Iron Deficient,Zinc Sufficient,Zinc Deficient,Copper Sufficient,Copper Deficient,Boron Sufficient,Boron Deficient,Manganese Sufficient,Manganese Deficient
Perumpathur,0,0,117,113,4,0,114,3,0,117,0,0,0,117,12,0,105,88,29,112,5,117,0,74,43,117,0
Karivalamvandanallur,0,0,128,128,0,0,128,0,0,128,0,0,0,128,0,0,128,78,50,109,19,128,0,115,13,128,0
Madhathupatti,0,0,109,109,0,0,109,0,0,109,0,0,0,109,16,0,93,80,29,103,6,109,0,49,60,109,0
Kilveerasigamani,0,0,136,132,2,2,136,0,0,136,0,0,0,136,1,0,135,81,55,117,19,136,0,85,51,136,0
Periyur,0,0,107,98,9,0,106,1,0,107,0,0,0,107,23,0,84,72,35,97,10,107,0,78,29,105,2
Kuvalaikkanni,0,0,112,106,6,0,112,0,0,112,0,0,0,112,0,0,112,72,40,107,5,112,0,65,47,112,0
Therkku Sankarankovil,0,0,94,90,2,2,94,0,0,94,0,0,0,94,10,0,78,68,26,87,7,94,0,49,45,94,0
Vadikkottai,0,0,24,24,0,0,18,6,0,24,0,0,0,24,0,0,24,21,3,24,0,24,0,10,14,24,0
Vadakkupudur,0,0,20,20,0,0,20,0,0,20,0,0,0,20,0,0,20,20,0,20,0,20,0,19,1,20,0
Manalur,0,0,5,5,0,0,5,0,0,5,0,0,0,5,0,0,5,5,0,5,0,5,0,5,0,5,0
Veerasigamani,0,0,5,5,0,0,5,0,0,5,0,0,0,5,0,0,5,0,5,5,0,5,0,5,0,5,0
Poigai,0,0,8,5,3,0,8,0,0,8,0,0,0,8,0,0,8,0,8,8,0,8,0,7,1,8,0
Nochikulam,0,0,6,3,3,0,6,0,0,6,0,0,0,6,0,0,6,0,6,6,0,6,0,6,0,6,0
Sankarankoil,0,0,2,1,1,0,2,0,0,2,0,0,0,2,0,0,2,0,2,2,0,2,0,2,0,2,0
Kalppakulam,0,0,2,1,1,0,2,0,0,2,0,0,0,2,0,0,2,0,2,2,0,2,0,2,0,2,0
Vayali,0,0,2,2,0,0,2,0,0,2,0,0,0,2,0,0,2,0,2,2,0,2,0,2,0,2,0
Panaiyur,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,1,0,1,0,1,0,1,0
Perumalpatti,0,0,2,2,0,0,2,0,0,2,0,0,0,2,0,0,2,0,2,2,0,2,0,2,0,2,0
Pandappuli,0,0,2,2,0,0,2,0,0,2,0,0,1,1,0,0,2,0,2,2,0,2,0,2,0,2,0
Paruvakkudi,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,1,0,1,0,1,0,1,0
Veeriruppu,0,0,2,2,0,0,2,0,0,2,0,0,0,2,0,0,2,0,2,2,0,2,0,2,0,2,0
