village,Nitrogen High,Nitrogen Medium,Nitrogen Low,Phosphorus High,Phosphorus Medium,Phosphorus Low,Potassium High,Potassium Medium,Potassium Low,Sulphur Sufficient,Sulphur Deficient,None High,None Medium,None Low,pH Alkaline,pH Acidic,pH Neutral,Iron Sufficient,Iron Deficient,Zinc Sufficient,Zinc Deficient,Copper Sufficient,Copper Deficient,Boron Sufficient,Boron Deficient,Manganese Sufficient,Manganese Deficient
Devarkandanallur,0,0,100,85,9,6,71,29,0,64,36,0,0,100,0,0,99,98,2,38,62,100,0,2,98,99,1
Thiyagarajapuram,0,0,100,98,2,0,37,55,8,30,70,0,0,100,0,0,100,99,1,70,30,100,0,0,100,68,32
Semmangudi,0,0,100,94,6,0,13,65,22,31,69,0,0,100,0,0,100,100,0,95,5,98,2,0,100,91,9
Kattur,0,0,100,55,37,8,50,38,12,97,3,0,1,99,0,0,100,100,0,44,56,79,21,76,24,100,0
Paruthiyur,0,0,100,79,17,4,24,67,9,11,89,0,1,99,0,0,100,92,8,92,8,100,0,0,100,0,100
Kankoduthavanitham,0,0,100,7,73,20,0,2,98,60,40,0,1,99,0,0,100,100,0,78,22,100,0,74,26,99,1
Nagakkudi,0,0,100,50,42,8,3,78,19,69,31,0,1,99,0,0,100,95,5,50,50,100,0,95,5,90,10
Perumalagaram,0,0,100,34,57,9,0,26,74,0,100,0,6,94,0,0,100,97,3,90,10,100,0,0,100,100,0
Vidayapuram,0,0,100,1,46,53,0,1,99,74,26,0,2,98,0,0,100,100,0,61,39,100,0,75,25,100,0
Krishnankottagam,0,0,100,5,39,56,0,98,2,1,99,0,0,100,0,0,100,99,1,48,52,99,1,0,100,100,0
Vadakandam,0,0,99,0,25,74,0,34,65,8,91,0,0,98,0,0,99,36,63,3,96,99,0,0,99,99,0
Valavanallur,0,0,160,2,57,101,0,156,4,17,143,0,0,160,0,0,160,149,11,93,67,160,0,118,42,157,3
Engan,0,0,60,35,17,8,4,56,0,0,60,0,0,60,0,0,60,56,4,46,14,60,0,0,60,59,1
Neikuppai,0,0,9,6,3,0,1,8,0,0,9,0,0,9,0,0,9,9,0,8,1,9,0,0,9,9,0
Athicholamangalam,0,0,36,36,0,0,0,11,25,21,15,0,0,36,0,0,36,0,36,20,16,7,29,35,1,36,0
Tiruppallimukkoodal,0,0,27,0,4,23,0,16,11,5,22,0,0,27,0,0,27,27,0,2,25,27,0,0,27,14,13
Arasavanangadu,0,0,32,14,9,9,3,27,2,0,32,0,0,32,0,0,32,31,1,17,15,32,0,0,32,32,0
Neelakudi,0,0,26,26,0,0,0,4,22,18,8,0,0,26,0,0,26,0,26,1,25,26,0,25,1,26,0
Mannakkal,0,0,29,0,1,28,0,17,12,4,25,0,0,29,0,0,29,10,19,3,26,29,0,0,29,29,0
Pathur,0,0,25,0,8,17,0,25,0,2,23,0,0,25,0,0,25,23,2,14,11,24,1,23,2,25,0
Musiriyam,0,0,10,4,4,2,0,10,0,0,10,0,0,10,0,0,10,10,0,7,3,10,0,0,10,10,0
Kulikkarai,0,0,5,4,1,0,2,3,0,0,5,0,0,5,0,0,5,5,0,5,0,5,0,0,5,5,0
Peruntharakkudi,0,0,5,0,2,3,0,5,0,0,5,0,0,5,0,0,5,5,0,3,2,5,0,5,0,5,0
Oorkudi,0,0,5,2,2,1,0,2,3,5,0,0,0,5,0,0,5,5,0,4,1,5,0,0,5,5,0
Melathirumadhikkunam,0,0,5,5,0,0,1,3,1,3,2,0,0,5,0,0,5,5,0,3,2,5,0,0,5,4,1
Nattuvakkudi,0,0,5,5,0,0,0,3,2,0,5,0,0,5,0,0,5,5,0,5,0,4,1,0,5,3,2
Kavanur,0,0,4,4,0,0,0,4,0,1,3,0,0,4,0,0,4,4,0,1,3,4,0,4,0,4,0
Ayikkudi,0,0,8,8,0,0,1,2,5,1,7,0,0,8,0,0,8,8,0,8,0,8,0,1,7,8,0
