village,Nitrogen High,Nitrogen Medium,Nitrogen Low,Phosphorus High,Phosphorus Medium,Phosphorus Low,Potassium High,Potassium Medium,Potassium Low,Sulphur Sufficient,Sulphur Deficient,None High,None Medium,None Low,pH Alkaline,pH Acidic,pH Neutral,Iron Sufficient,Iron Deficient,Zinc Sufficient,Zinc Deficient,Copper Sufficient,Copper Deficient,Boron Sufficient,Boron Deficient,Manganese Sufficient,Manganese Deficient
Poonaerrupu,0,0,100,100,0,0,100,0,0,100,0,0,4,96,34,0,66,100,0,27,73,100,0,72,28,100,0
Pappakudi,0,0,100,100,0,0,100,0,0,100,0,0,0,100,43,0,57,100,0,33,67,100,0,66,34,98,2
Saranatham,0,0,100,100,0,0,100,0,0,100,0,0,1,99,0,0,100,100,0,35,65,100,0,67,33,87,13
Kandiyur,0,0,100,95,5,0,100,0,0,100,0,0,0,100,2,0,98,100,0,14,86,100,0,70,30,84,16
Therkkupattam,0,0,100,100,0,0,100,0,0,100,0,0,0,100,1,0,99,100,0,20,80,100,0,79,21,82,18
Kalathur,0,0,100,100,0,0,100,0,0,100,0,0,3,97,0,0,100,99,1,37,63,100,0,82,18,100,0
Avoor,0,0,100,96,4,0,100,0,0,100,0,0,14,86,0,0,100,100,0,17,83,100,0,87,13,100,0
Haridwaramangalam,0,0,100,96,4,0,100,0,0,100,0,0,0,100,4,0,96,100,0,20,80,100,0,81,19,100,0
Mathur,0,0,100,100,0,0,100,0,0,100,0,0,2,98,0,0,100,100,0,23,77,100,0,84,16,100,0
Poonthottam,0,0,30,30,0,0,30,0,0,30,0,0,0,30,0,0,30,30,0,11,19,30,0,22,8,30,0
Poonthottam,0,0,30,30,0,0,30,0,0,30,0,0,0,30,0,0,30,30,0,11,19,30,0,22,8,30,0
Narthangudi,0,0,30,30,0,0,30,0,0,30,0,0,0,30,0,0,30,30,0,18,12,30,0,20,10,30,0
Avalivanallur,0,0,100,0,0,100,100,0,0,91,9,3,54,43,1,0,99,100,0,100,0,100,0,82,18,100,0
Manakkal,0,0,30,30,0,0,29,1,0,30,0,0,0,30,0,0,30,30,0,13,17,30,0,23,7,30,0
Renganathapuram,0,0,30,30,0,0,30,0,0,29,1,0,0,30,0,0,30,29,1,17,13,30,0,22,8,29,1
Veeranam,0,0,30,30,0,0,27,3,0,30,0,0,0,30,0,0,30,30,0,14,16,30,0,21,9,30,0
Thiruvonamangalam,0,0,100,3,45,52,100,0,0,81,19,71,27,2,0,0,100,100,0,100,0,100,0,77,23,100,0
Moolalvancheri,0,0,100,89,11,0,99,1,0,100,0,0,4,96,0,0,100,100,0,28,72,100,0,79,21,100,0
Velur,0,0,100,97,3,0,99,1,0,100,0,0,7,93,0,0,100,100,0,13,87,100,0,82,18,100,0
Valangaiman,0,0,30,28,2,0,30,0,0,30,0,0,1,29,0,0,30,30,0,11,19,30,0,22,8,30,0
Adhichamangalam,0,0,100,97,3,0,100,0,0,100,0,0,0,100,0,0,100,100,0,32,68,100,0,65,35,100,0
Nallur,0,0,100,98,2,0,100,0,0,100,0,0,0,100,0,0,100,100,0,40,60,100,0,77,23,100,0
Aravathur,0,0,100,0,0,100,100,0,0,51,49,100,0,0,0,0,100,100,0,100,0,100,0,99,1,100,0
Sithanvalur,0,0,100,98,2,0,94,6,0,100,0,0,0,100,0,0,100,100,0,39,61,100,0,74,26,100,0
