village,Nitrogen High,Nitrogen Medium,Nitrogen Low,Phosphorus High,Phosphorus Medium,Phosphorus Low,Potassium High,Potassium Medium,Potassium Low,Sulphur Sufficient,Sulphur Deficient,None High,None Medium,None Low,pH Alkaline,pH Acidic,pH Neutral,Iron Sufficient,Iron Deficient,Zinc Sufficient,Zinc Deficient,Copper Sufficient,Copper Deficient,Boron Sufficient,Boron Deficient,Manganese Sufficient,Manganese Deficient
Soorampatti,0,0,111,7,0,104,89,22,0,111,0,0,0,111,0,0,111,111,0,111,0,111,0,45,66,111,0
Thumbalam,0,0,108,0,26,82,71,37,0,108,0,0,0,108,8,0,100,99,9,107,1,108,0,55,53,82,26
Devanur,0,0,107,2,49,56,13,94,0,107,0,0,0,107,0,0,107,105,2,107,0,107,0,57,50,106,1
Karikali,0,0,99,83,0,16,77,22,0,99,0,0,0,99,27,0,72,99,0,99,0,99,0,52,47,99,0
Thulayanatham,0,0,112,13,0,99,81,31,0,112,0,0,0,112,14,0,98,111,1,112,0,112,0,62,50,112,0
Anjalam,0,0,64,1,32,31,28,36,0,64,0,0,0,64,0,0,64,56,8,64,0,64,0,29,35,56,8
Kargudi,0,0,75,41,8,26,40,35,0,75,0,0,0,75,0,0,75,73,2,75,0,75,0,35,40,75,0
Mahadevi,0,0,106,53,21,32,9,97,0,106,0,0,0,106,2,0,103,106,0,106,0,106,0,42,64,106,0
Jambumadai,0,0,5,1,2,2,1,4,0,5,0,0,0,5,0,0,5,5,0,5,0,5,0,3,2,5,0
Valasiramani,0,0,15,0,3,12,1,14,0,15,0,0,0,15,0,0,15,13,2,15,0,15,0,7,8,15,0
Mavilipatti,0,0,3,0,1,2,3,0,0,3,0,0,0,3,0,0,3,3,0,3,0,3,0,2,1,3,0
M.Pudupatti West,0,0,6,1,0,5,0,6,0,6,0,0,0,6,0,0,6,6,0,6,0,6,0,4,2,6,0
M.Pudupatti East,0,0,8,0,0,8,0,8,0,8,0,0,0,8,0,0,8,8,0,8,0,8,0,6,2,8,0
Paithambarai,0,0,1,0,0,1,1,0,0,1,0,0,0,1,0,0,1,1,0,1,0,1,0,0,1,1,0
Arachi,0,0,16,3,0,13,16,0,0,16,0,0,0,16,0,1,14,16,0,16,0,16,0,9,7,16,0
Urakkarai,0,0,10,0,4,6,1,9,0,10,0,0,0,10,0,0,10,10,0,10,0,10,0,7,3,10,0
Valaiyeduppu,0,0,15,0,0,15,13,2,0,15,0,0,0,15,0,0,15,15,0,15,0,15,0,7,8,15,0
SITILARI,0,0,7,1,0,6,1,6,0,7,0,0,0,7,0,0,7,7,0,7,0,7,0,4,3,7,0
Muthampatti,0,0,4,0,0,4,0,4,0,4,0,0,0,4,0,0,4,4,0,4,0,4,0,1,3,4,0
Valavandhi East,0,0,11,0,0,11,9,2,0,11,0,0,0,11,0,0,11,11,0,11,0,11,0,3,8,11,0
Poolancheri,0,0,4,0,1,3,4,0,0,4,0,0,0,4,0,0,4,4,0,4,0,4,0,2,2,4,0
Mangalam,0,0,5,1,0,4,4,1,0,5,0,0,0,5,0,0,5,5,0,5,0,5,0,3,2,5,0
Pillapalayam,0,0,12,1,0,11,2,10,0,12,0,0,0,12,0,0,12,12,0,12,0,12,0,4,8,12,0
THAHIENGARPETTAI,0,0,4,0,0,4,1,3,0,4,0,0,0,4,0,0,4,4,0,4,0,4,0,2,2,4,0
MORUPATTY ,0,0,8,0,0,8,3,5,0,8,0,0,0,8,0,0,8,8,0,8,0,8,0,2,6,8,0
PILLATHURAI ,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,1,1,0,1,0,1,0,0,1,1,0
Vadamalaipatti,0,0,7,0,0,7,2,5,0,7,0,0,0,7,0,0,7,7,0,7,0,7,0,6,1,7,0
Konappampatti,0,0,3,1,0,2,3,0,0,3,0,0,0,3,0,0,3,3,0,3,0,3,0,2,1,3,0
Valavandhi (West),0,0,10,3,0,7,10,0,0,10,0,0,0,10,0,0,10,10,0,10,0,10,0,7,3,10,0
Serugudi,0,0,6,0,0,6,2,4,0,6,0,0,0,6,0,1,5,6,0,6,0,6,0,2,4,6,0
