village,Nitrogen High,Nitrogen Medium,Nitrogen Low,Phosphorus High,Phosphorus Medium,Phosphorus Low,Potassium High,Potassium Medium,Potassium Low,Sulphur Sufficient,Sulphur Deficient,None High,None Medium,None Low,pH Alkaline,pH Acidic,pH Neutral,Iron Sufficient,Iron Deficient,Zinc Sufficient,Zinc Deficient,Copper Sufficient,Copper Deficient,Boron Sufficient,Boron Deficient,Manganese Sufficient,Manganese Deficient
C.Gengampattu,0,0,139,27,92,20,7,119,13,27,112,0,4,135,1,0,138,136,3,7,132,138,0,41,98,0,139
Narasinganallur,0,0,125,57,30,38,1,43,81,81,44,5,20,99,71,0,53,113,12,10,115,124,0,58,67,0,125
Vasudevanpattu,0,0,76,4,24,49,0,70,7,62,15,0,12,64,2,0,70,59,19,3,75,78,0,25,53,0,78
Annandal,0,0,52,7,16,29,1,41,12,45,11,0,2,50,0,0,50,51,6,6,51,57,0,7,49,0,57
Unnamalaipalayam,0,0,124,46,62,17,0,99,27,72,54,0,28,89,1,1,105,115,13,5,122,129,0,31,96,0,129
Pudurchengam,0,0,117,94,24,1,1,100,18,15,107,0,2,114,0,0,114,103,21,3,121,126,0,47,76,0,126
Korattambattu,0,0,90,78,10,4,2,67,23,25,64,0,3,84,0,1,84,1,93,15,79,94,0,39,55,0,94
Karapattu,0,0,127,105,21,2,0,14,114,39,89,0,9,118,0,9,118,56,72,7,121,128,0,39,89,0,128
Melmudiyanur,0,0,27,2,8,17,0,3,24,7,20,0,0,27,0,0,27,14,13,3,24,27,0,8,19,0,27
Nandimangalam,0,0,35,1,13,21,2,33,0,21,14,6,8,20,0,1,33,18,17,0,35,35,0,12,23,0,35
Eraiyur,0,0,10,5,3,2,1,5,4,3,7,0,4,6,0,0,10,10,0,0,10,10,0,4,6,0,10
Vadamathur,0,0,5,1,1,3,0,2,3,0,5,0,0,5,0,0,5,0,5,1,4,5,0,3,2,0,5
Melnachipattu,0,0,3,2,1,0,0,2,1,0,3,0,0,3,0,0,3,3,0,0,3,3,0,1,2,0,3
Melpadur,0,0,9,6,1,2,0,6,3,0,9,0,1,8,0,0,9,1,8,2,7,9,0,4,5,0,9
Nathavadi,0,0,3,2,1,0,0,2,1,0,3,0,1,2,0,0,3,0,3,0,3,3,0,1,2,0,3
Nayambadi,0,0,42,29,9,4,2,36,4,5,37,0,1,41,5,0,37,22,20,1,41,42,0,18,24,0,42
Veeranandal,0,0,38,29,9,0,3,32,3,7,31,0,0,38,0,0,38,9,29,0,38,38,0,18,20,0,38
Mashar,0,0,27,19,8,0,0,26,1,3,24,0,1,26,0,0,27,27,0,0,27,27,0,14,13,0,27
Endal,0,0,8,6,2,0,1,6,1,0,8,0,0,8,0,0,8,7,1,0,8,8,0,2,6,0,8
Gulalpadi,0,0,2,1,1,0,0,2,0,0,2,0,1,1,0,0,2,0,2,0,2,2,0,0,2,0,2
Thorapadi,0,0,2,2,0,0,0,2,0,0,2,0,1,1,0,0,2,1,1,0,2,2,0,2,0,0,2
Alliandal,0,0,4,0,2,2,1,3,0,0,4,0,0,4,0,0,4,0,4,1,3,4,0,2,2,0,4
Padiagraharam,0,0,4,1,2,1,0,4,0,0,4,0,0,4,0,0,4,0,4,0,4,4,0,2,2,0,4
Kilpadur,0,0,3,1,1,1,0,3,0,0,3,0,0,3,0,0,3,2,1,2,1,3,0,2,1,0,3
Kottakulam,0,0,3,1,1,1,0,3,0,0,3,0,0,3,0,0,3,2,1,0,3,3,0,1,2,0,3
Perieri,0,0,3,1,1,1,0,3,0,2,1,0,0,3,0,0,3,3,0,0,3,3,0,1,2,0,3
C.Nammiyandal,0,0,4,0,3,1,1,3,0,0,4,0,1,3,0,0,4,1,3,0,4,4,0,2,2,0,4
Oravandavadi,0,0,4,1,2,1,0,4,0,0,4,0,1,3,0,0,4,0,4,0,4,4,0,2,2,0,4
Alathur,0,0,4,0,0,4,0,4,0,0,4,0,1,3,0,0,4,1,3,0,4,4,0,2,2,0,4
Kallarapadi,0,0,3,1,2,0,0,2,1,1,2,0,0,3,0,0,3,2,1,0,3,3,0,2,1,0,3
Aridharimangalam,0,0,2,1,0,1,0,2,0,0,2,0,0,2,0,0,2,1,1,0,2,2,0,0,2,0,2
Kanji,0,0,2,1,1,0,0,2,0,0,2,0,0,2,0,0,2,0,2,0,2,2,0,0,2,0,2
Melapunjai,0,0,2,1,0,1,0,2,0,0,2,0,0,2,0,0,2,0,2,0,2,2,0,1,1,0,2
Voividanthangal,0,0,140,15,39,86,11,69,60,71,69,0,12,128,0,0,140,132,8,7,133,140,0,43,97,0,140
Senthamangalam,0,0,2,1,1,0,0,1,1,0,2,0,0,2,0,0,2,2,0,0,2,2,0,2,0,0,2
Japthikariyandal,0,0,4,1,0,3,0,4,0,0,4,0,0,4,0,0,4,4,0,1,3,4,0,2,2,0,4
Muthanur,0,0,10,8,2,0,1,3,6,5,5,0,2,8,0,0,10,7,3,1,9,10,0,2,8,0,10
Panaiolapadi,0,0,3,2,0,1,0,2,1,0,3,0,0,3,0,0,3,2,1,0,3,3,0,2,1,0,3
Munnuramangalam,0,0,2,2,0,0,0,2,0,0,2,0,1,1,0,0,2,0,2,0,2,2,0,1,1,0,2
Dhamaraipakkam,0,0,2,2,0,0,1,0,1,0,2,0,0,2,0,0,2,0,2,0,2,2,0,1,1,0,2
Pudupattu,0,0,43,29,11,3,0,21,22,10,33,0,2,41,0,0,43,13,30,4,39,43,0,23,20,0,43
