village,Nitrogen High,Nitrogen Medium,Nitrogen Low,Phosphorus High,Phosphorus Medium,Phosphorus Low,Potassium High,Potassium Medium,Potassium Low,Sulphur Sufficient,Sulphur Deficient,None High,None Medium,None Low,pH Alkaline,pH Acidic,pH Neutral,EC Saline,EC Deficient,Iron Sufficient,Iron Deficient,Zinc Sufficient,Zinc Deficient,Copper Sufficient,Copper Deficient,Boron Sufficient,Boron Deficient,Manganese Sufficient,Manganese Deficient
Umarikottai,0,0,203,112,81,10,203,0,0,135,68,11,36,156,0,0,203,0,,0,203,0,203,187,16,76,127,203,0
Kattalangulam,0,0,101,70,30,1,100,1,0,26,75,27,25,49,0,0,101,0,,1,100,11,90,100,1,7,94,101,0
Korampallam (Part),0,0,109,73,36,0,109,0,0,109,0,0,0,109,0,0,109,8,,0,109,0,109,108,1,21,88,109,0
Allikkulam,0,0,105,56,49,0,105,0,0,105,0,4,44,57,0,0,105,5,,0,105,0,105,105,0,1,104,105,0
Timmarajapuram,0,0,21,0,21,0,21,0,0,17,4,0,0,21,0,0,21,0,,0,21,0,21,21,0,0,21,20,1
Perurani,0,0,2,1,1,0,2,0,0,0,2,0,0,2,0,0,2,0,,0,2,0,2,2,0,0,2,2,0
Ramaswamipuram,0,0,4,0,4,0,3,1,0,0,4,0,0,4,0,0,4,0,,0,4,0,4,4,0,3,1,4,0
Muthuswamipuram,0,0,2,1,1,0,2,0,0,0,2,0,0,2,0,0,2,0,,0,2,0,2,2,0,2,0,2,0
Kuliyankarisal,0,0,52,2,50,0,50,2,0,50,2,0,0,52,0,0,52,0,,0,52,0,52,52,0,45,7,52,0
Kuttudankadu,0,0,2,0,2,0,2,0,0,0,2,0,0,2,0,0,2,0,,0,2,0,2,2,0,1,1,2,0
Varthakareddipatti,0,0,5,1,4,0,5,0,0,1,4,0,0,5,0,0,5,0,,0,5,0,5,5,0,1,4,5,0
Mullakadu (Part),0,0,56,37,18,1,56,0,0,55,1,0,0,56,0,0,56,0,,0,56,2,54,56,0,1,55,56,0
Ramanathapuram,0,0,20,1,17,2,20,0,0,16,4,0,1,19,0,0,20,0,,0,20,8,12,20,0,12,8,20,0
Vadakkusilukkanpatti,0,0,2,0,2,0,2,0,0,0,2,0,0,2,0,0,2,0,,0,2,0,2,2,0,2,0,2,0
Dalvaypuram,0,0,40,1,39,0,38,2,0,36,4,0,0,40,0,0,40,0,,0,40,3,37,40,0,26,14,38,2
Mudivaithanendal,0,0,6,1,5,0,6,0,0,4,2,0,0,6,0,0,6,0,,0,6,4,2,6,0,1,5,6,0
Mappilaiurani (CT),0,0,5,0,5,0,5,0,0,5,0,0,4,1,0,0,5,5,,0,5,0,5,5,0,0,5,5,0
Korampallam Part 2,0,0,55,47,8,0,55,0,0,55,0,0,0,55,0,0,55,42,,0,55,0,55,55,0,11,44,55,0
Sankaraperi,0,0,5,0,5,0,5,0,0,5,0,0,4,1,0,0,5,5,,0,5,0,5,5,0,1,4,5,0
Mela Thattaparai,0,0,2,1,1,0,2,0,0,0,2,0,0,2,0,0,2,0,,0,2,0,2,2,0,1,1,2,0
