village,Nitrogen High,Nitrogen Medium,Nitrogen Low,Phosphorus High,Phosphorus Medium,Phosphorus Low,Potassium High,Potassium Medium,Potassium Low,Sulphur Sufficient,Sulphur Deficient,None High,None Medium,None Low,pH Alkaline,pH Acidic,pH Neutral,Iron Sufficient,Iron Deficient,Zinc Sufficient,Zinc Deficient,Copper Sufficient,Copper Deficient,Boron Sufficient,Boron Deficient,Manganese Sufficient,Manganese Deficient
Taludali,0,1,101,71,28,3,26,62,14,25,77,20,29,53,2,0,100,0,102,74,28,102,0,2,100,0,102
Perani,0,0,102,43,44,15,34,60,8,13,89,25,17,60,0,1,101,0,102,90,12,102,0,2,100,0,102
Kattusiviri,0,0,97,45,37,15,20,57,20,22,75,4,13,80,0,0,97,1,96,90,7,94,1,18,79,0,97
Asur,0,0,77,67,10,0,4,57,16,8,69,0,12,65,0,0,77,0,77,77,0,74,3,1,76,15,62
Chinnanerkunam,1,0,101,46,36,20,11,63,29,26,77,12,19,71,0,0,102,0,103,99,4,103,0,3,100,45,58
Chendur,0,0,105,57,39,9,4,60,41,4,101,2,15,88,0,1,104,0,105,102,3,105,0,2,103,55,50
Padirapuliyur,0,0,102,7,62,33,10,72,20,16,86,0,0,102,0,0,101,1,101,100,2,101,0,2,100,19,83
Deevanur,0,0,130,24,49,57,24,87,19,10,120,0,13,117,0,0,130,0,130,126,4,129,0,0,130,5,125
Chittani ,0,0,105,57,47,1,3,96,6,49,56,0,6,98,0,1,104,0,105,102,3,105,0,45,60,7,98
Alagrammam,0,0,31,3,28,0,9,22,0,23,8,0,0,31,0,0,31,0,31,30,1,31,0,31,0,0,31
Puliyanur,0,0,27,1,20,6,7,20,0,17,10,0,3,24,0,0,27,0,27,24,3,27,0,26,1,1,26
Peramundur West - ,0,0,25,1,23,1,5,20,0,25,0,0,0,25,0,0,25,0,25,24,1,25,0,25,0,0,25
Periathatchur,0,0,75,2,65,8,16,56,3,62,13,0,1,74,0,0,75,0,75,72,3,74,1,75,0,0,75
Kuralur,0,0,29,0,24,5,8,19,2,29,0,0,0,29,0,0,29,0,29,27,2,29,0,29,0,0,29
Kutteripattu,0,0,12,0,7,5,1,11,0,7,5,0,0,12,0,0,12,0,12,12,0,12,0,7,5,0,12
Veliyanur,0,0,53,0,48,5,19,34,0,51,2,0,1,52,0,0,53,0,53,53,0,53,0,53,0,0,53
Avayakuppam,0,0,21,1,20,0,0,20,1,20,1,0,0,21,0,0,21,0,21,21,0,20,1,21,0,0,21
Velangampadi,0,0,5,3,0,2,0,5,0,3,2,0,2,3,0,0,4,0,5,4,1,5,0,3,2,0,5
Chinnavalavanur,0,0,2,0,0,2,1,1,0,0,2,0,1,1,0,0,2,0,2,2,0,2,0,0,2,0,2
Nedumozhianur,0,0,3,0,3,0,0,3,0,3,0,0,2,1,0,1,2,0,3,3,0,3,0,3,0,0,3
Kolliyankunam,0,0,1,0,0,1,1,0,0,0,1,0,1,0,0,0,1,0,1,1,0,1,0,0,1,0,1
Kallakolathur,0,0,5,0,2,3,0,5,0,0,5,0,1,4,0,0,5,0,5,5,0,5,0,0,5,0,5
V. Nallalam,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,1,1,0,1,0,1,0,0,1
V. Panchalam,0,0,3,1,2,0,0,3,0,3,0,0,0,3,0,0,3,0,3,3,0,3,0,3,0,0,3
Nallamur,0,0,3,0,0,3,2,1,0,0,3,0,0,3,0,0,3,0,3,3,0,3,0,0,3,0,3
Anganikuppam,0,0,3,0,3,0,0,2,1,3,0,0,0,3,0,0,3,0,3,2,1,3,0,3,0,0,3
Konamangalam,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,1,1,0,1,0,1,0,0,1
Ganapathipattu,0,0,3,1,2,0,0,0,3,2,1,0,0,3,0,0,3,0,3,3,0,3,0,3,0,0,3
Kanniyam,0,0,2,0,2,0,0,0,2,1,1,0,0,2,0,0,2,0,2,2,0,2,0,2,0,0,2
Mailam,0,0,4,0,0,4,2,2,0,0,4,0,2,2,0,0,4,0,4,4,0,4,0,0,4,0,4
Senjikothamangalam,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,1,1,0,1,0,1,0,0,1
Thenkulapakkam,0,0,2,1,1,0,0,2,0,1,1,0,0,2,0,0,2,0,2,2,0,2,0,2,0,0,2
Vempundi,0,0,2,2,0,0,1,1,0,0,2,0,0,2,0,0,2,0,2,2,0,2,0,0,2,0,2
Padamangalam,0,0,2,0,2,0,0,2,0,2,0,0,0,2,0,0,2,0,2,2,0,2,0,2,0,0,2
Kenipattu,0,0,1,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,1,1,0,1,0,1,0,0,1
Rettanai,0,0,3,1,2,0,0,3,0,0,3,0,0,3,0,0,3,0,3,3,0,3,0,0,3,0,3
Peradikuppam,0,0,2,1,1,0,0,2,0,0,2,0,0,2,0,0,2,0,2,2,0,2,0,0,2,0,2
Agoor,0,0,2,1,1,0,0,2,0,0,2,0,0,2,0,0,2,0,2,2,0,2,0,0,2,0,2
Ilamangalam,0,0,4,1,3,0,3,1,0,0,4,0,0,4,0,0,4,0,4,4,0,4,0,0,4,0,4
