village,Nitrogen High,Nitrogen Medium,Nitrogen Low,Phosphorus High,Phosphorus Medium,Phosphorus Low,Potassium High,Potassium Medium,Potassium Low,Sulphur Sufficient,Sulphur Deficient,None High,None Medium,None Low,pH Alkaline,pH Acidic,pH Neutral,EC Saline,EC Deficient,Iron Sufficient,Iron Deficient,Zinc Sufficient,Zinc Deficient,Copper Sufficient,Copper Deficient,Boron Sufficient,Boron Deficient,Manganese Sufficient,Manganese Deficient
Injar,0,0,108,10,54,44,88,20,0,8,100,0,1,107,0,2,106,0,,5,103,12,96,108,0,3,105,108,0
Anaiyur (CT),0,0,158,88,62,8,148,10,0,94,64,0,3,155,0,0,158,0,,0,158,35,123,158,0,2,156,158,0
Mangalam,0,0,115,32,76,7,114,1,0,35,80,0,3,112,0,0,113,0,,0,115,23,92,112,0,6,109,115,0
Kiltiruthangal (Part),0,0,179,96,73,10,173,4,2,110,69,2,3,173,1,0,175,0,,2,177,113,66,179,0,10,169,177,2
Thiruthangal (Part),0,0,47,25,19,3,46,1,0,37,10,0,2,45,0,0,47,0,,0,47,12,35,47,0,5,42,47,0
Anaiyur (Part),0,0,47,6,40,1,45,1,1,42,5,0,0,47,0,0,47,0,,0,47,11,36,47,0,0,47,47,0
Anuppankulam (CT),0,0,15,0,14,1,14,0,1,14,1,0,0,15,0,0,15,0,,15,0,8,7,15,0,5,9,15,0
Anaikkuttam,0,0,6,0,6,0,6,0,0,6,0,0,0,6,0,0,6,0,,5,1,5,1,6,0,2,4,6,0
A.Meenachipuram,0,0,1,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,,0,1,1,0,1,0,0,1,1,0
Pudukkottai,0,0,114,10,89,15,112,1,1,107,7,0,4,110,78,0,36,0,,5,109,44,70,114,0,80,34,114,0
Tachchakkudi,0,0,10,0,8,2,10,0,0,10,0,0,3,7,0,0,10,0,,4,6,1,9,10,0,1,9,10,0
Vendurayapuram,0,0,10,0,7,3,10,0,0,10,0,0,0,9,0,0,9,1,,10,0,0,10,10,0,8,2,10,0
Krishnaperi,0,0,13,0,7,6,13,0,0,13,0,0,2,11,0,0,13,0,,0,13,11,2,13,0,5,8,13,0
Nedungulam,0,1,13,0,12,2,12,2,0,14,0,1,2,10,0,0,11,0,,6,8,8,6,14,0,3,11,14,0
Namaskarittanpatti,0,0,11,1,9,1,11,0,0,11,0,0,1,10,0,0,8,0,,6,5,9,2,11,0,3,8,11,0
Vadapatti,0,0,24,4,9,11,22,2,0,22,2,0,7,17,1,0,23,0,,2,22,10,14,21,3,19,5,11,13
Erichchanatham,1,0,115,2,48,67,74,40,3,115,2,33,14,69,1,1,113,0,,1,116,62,55,86,31,70,47,60,57
Sevalur,0,0,10,0,8,2,9,1,0,10,0,0,1,9,0,0,9,0,,0,10,6,4,10,0,0,10,10,0
Kalayarkurichchi,0,0,10,0,10,0,10,0,0,9,0,0,0,10,0,0,10,0,,0,10,2,8,10,0,0,10,10,0
Kavundampatti,0,0,14,0,11,3,13,1,0,14,0,0,3,11,0,0,13,0,,0,14,13,1,14,0,6,8,14,0
Vadi (CT),0,0,7,0,3,4,7,0,0,7,0,0,1,6,0,0,7,0,,4,3,7,0,7,0,2,5,6,1
Chokkalingapuram (Part),0,0,4,0,1,3,4,0,0,4,0,0,1,3,0,0,4,0,,0,4,0,4,4,0,1,3,4,0
Melamattur,0,0,7,0,5,2,7,0,0,7,0,0,1,6,0,0,7,0,,1,6,4,3,7,0,4,3,7,0
Kariseri,0,0,101,28,73,0,100,1,0,101,0,0,2,99,49,0,52,0,,0,101,100,1,101,0,84,17,100,1
Vellur,0,0,17,0,10,7,14,2,1,17,0,0,5,12,0,0,17,0,,10,7,6,10,17,0,11,6,17,0
Maraneri,1,1,195,51,100,47,197,0,2,88,112,3,86,107,1,0,193,0,,0,200,0,200,197,3,33,167,1,199
Naranapuram (CT),0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,,0,1,1,0,1,0,1,0,1,0
