village,Nitrogen High,Nitrogen Medium,Nitrogen Low,Phosphorus High,Phosphorus Medium,Phosphorus Low,Potassium High,Potassium Medium,Potassium Low,Sulphur Sufficient,Sulphur Deficient,None High,None Medium,None Low,pH Alkaline,pH Acidic,pH Neutral,Iron Sufficient,Iron Deficient,Zinc Sufficient,Zinc Deficient,Copper Sufficient,Copper Deficient,Boron Sufficient,Boron Deficient,Manganese Sufficient,Manganese Deficient
Kaurah Rustampur,0,7,93,0,3,97,0,0,100,0,100,0,10,90,0,0,100,82,18,94,6,99,1,88,12,81,19
Aidalpur,0,20,80,0,23,77,1,0,99,3,97,1,19,80,1,0,99,2,98,14,86,99,1,90,10,1,99
Sajana,0,9,91,0,17,83,3,77,20,0,100,0,9,91,0,0,100,0,100,9,91,99,1,86,14,1,99
Khera Sattu,0,2,98,0,14,86,1,2,97,0,100,0,3,97,0,0,100,2,98,7,93,99,1,74,26,22,78
Ahraula,0,30,70,0,27,73,0,7,93,3,97,3,27,70,2,0,98,1,99,61,39,99,1,91,9,2,98
Pala Sallu,0,2,98,0,67,33,0,0,100,0,100,0,2,98,1,0,99,26,74,17,83,99,1,94,6,7,93
Chaumunha,0,1,99,0,13,87,0,0,100,0,100,0,1,99,9,0,91,55,45,61,39,100,0,75,25,16,84
Sujapur,0,1,99,0,14,86,0,20,80,0,100,0,1,99,100,0,0,0,100,89,11,98,2,85,15,14,86
Virampur,0,4,96,0,17,83,0,19,81,0,100,0,4,96,97,0,3,0,100,86,14,100,0,82,18,0,100
Sabhapur,0,0,100,0,92,8,0,10,90,0,100,0,0,100,25,0,75,0,100,8,92,99,1,82,18,0,100
