village,Nitrogen High,Nitrogen Medium,Nitrogen Low,Phosphorus High,Phosphorus Medium,Phosphorus Low,Potassium High,Potassium Medium,Potassium Low,Sulphur Sufficient,Sulphur Deficient,None High,None Medium,None Low,pH Alkaline,pH Acidic,pH Neutral,Iron Sufficient,Iron Deficient,Zinc Sufficient,Zinc Deficient,Copper Sufficient,Copper Deficient,Boron Sufficient,Boron Deficient,Manganese Sufficient,Manganese Deficient
Kalampur Urf Kalalpur,0,0,100,35,65,0,0,100,0,86,14,0,27,73,0,0,100,88,12,87,13,99,0,100,0,100,0
Gajasthal,0,0,100,39,61,0,0,97,3,87,13,3,44,53,1,0,99,84,16,87,13,100,0,100,0,100,0
Nagli Sheikh,0,0,100,43,57,0,0,96,4,84,16,0,57,43,0,3,97,88,12,87,13,98,0,99,0,100,0
Dhanauree Meer,0,0,100,42,58,0,1,96,3,85,15,1,46,53,0,0,100,96,4,77,23,100,0,100,0,100,0
Basedataga,0,0,100,24,73,3,0,94,6,87,13,1,54,45,0,0,100,91,9,86,14,100,0,99,1,100,0
Kayampur Urf Kararnagar,0,0,100,11,73,16,0,96,4,80,20,1,62,37,1,0,99,86,14,92,8,100,0,100,0,98,2
Adalpur Samdoo,0,0,100,20,72,8,0,95,5,83,17,0,44,56,0,0,100,90,10,91,9,100,0,99,1,100,0
Hisampur,0,0,100,22,74,4,0,100,0,78,22,0,45,55,0,0,100,91,9,89,11,100,0,99,0,100,0
Badshahpur,1,0,99,40,60,0,1,96,3,84,16,0,41,59,0,0,100,97,3,93,7,100,0,100,0,100,0
Jabdi,0,0,100,39,61,0,0,96,4,81,19,0,42,58,0,0,100,91,9,87,13,100,0,100,0,100,0
