village,Nitrogen High,Nitrogen Medium,Nitrogen Low,Phosphorus High,Phosphorus Medium,Phosphorus Low,Potassium High,Potassium Medium,Potassium Low,Sulphur Sufficient,Sulphur Deficient,None High,None Medium,None Low,pH Alkaline,pH Acidic,pH Neutral,EC Saline,EC Deficient,Iron Sufficient,Iron Deficient,Zinc Sufficient,Zinc Deficient,Copper Sufficient,Copper Deficient,Boron Sufficient,Boron Deficient,Manganese Sufficient,Manganese Deficient
Pure Sita Ram,0,0,100,0,94,6,0,91,9,38,62,0,0,100,2,0,98,0,,90,10,75,25,82,18,12,88,77,23
Mathaura,0,0,100,0,86,14,0,95,5,31,69,0,0,100,0,0,100,0,,100,0,90,10,72,28,17,83,70,30
Lodhauni,0,0,100,0,84,16,0,93,7,53,47,0,0,100,0,0,100,0,,100,0,94,6,86,14,17,83,75,25
Mahsi,0,0,100,1,83,16,0,98,2,21,79,0,0,100,0,0,100,0,,98,2,83,17,70,30,22,78,70,30
Bhagwanpur,0,0,100,0,88,12,0,89,11,30,70,0,0,100,0,0,100,0,,99,1,93,7,75,25,14,86,76,24
Nakawa,0,0,100,0,86,14,0,95,5,33,67,0,1,99,0,0,100,0,,91,9,95,5,73,27,34,66,67,33
Masadih,0,0,100,0,88,12,0,94,6,29,71,0,0,100,0,0,100,0,,96,4,89,11,78,22,23,77,77,23
Pure Prasad Singh,0,0,100,0,100,0,2,94,4,62,38,0,0,100,0,0,100,0,,97,3,92,8,80,20,24,76,97,3
Kotiya,0,0,100,0,100,0,0,92,8,56,44,0,0,100,0,0,100,0,,98,2,83,17,79,21,18,82,96,4
Garethi Gurudatta Singh,0,0,100,0,100,0,0,91,9,64,36,0,0,100,0,0,100,0,,100,0,95,5,71,29,9,91,93,7
