village,Nitrogen High,Nitrogen Medium,Nitrogen Low,Phosphorus High,Phosphorus Medium,Phosphorus Low,Potassium High,Potassium Medium,Potassium Low,Sulphur Sufficient,Sulphur Deficient,None High,None Medium,None Low,pH Alkaline,pH Acidic,pH Neutral,EC Saline,EC Deficient,Iron Sufficient,Iron Deficient,Zinc Sufficient,Zinc Deficient,Copper Sufficient,Copper Deficient,Boron Sufficient,Boron Deficient,Manganese Sufficient,Manganese Deficient
Chaukiya,0,2,98,17,62,21,1,77,22,87,13,0,4,96,0,0,98,0,,4,96,22,78,94,6,4,96,46,54
Janakpur,0,0,100,13,63,24,0,74,26,93,7,0,6,94,0,0,100,1,,13,87,35,65,96,3,32,68,49,51
Ramnager,0,0,99,13,68,19,0,75,25,92,8,0,12,88,0,0,99,0,,35,65,16,84,65,35,21,79,49,51
Layburwa,0,0,100,19,60,21,0,80,20,88,12,0,0,100,0,0,100,0,,14,86,37,63,90,9,21,79,26,74
Jignihwa,0,1,99,15,66,19,2,94,4,93,7,0,0,100,2,0,98,0,,29,71,2,98,88,12,17,83,39,61
Majholi ,0,0,100,18,58,24,0,97,3,80,20,0,0,100,0,0,100,0,,21,79,11,89,90,10,24,76,44,56
Jamuni Kalan,0,0,100,18,67,15,0,93,7,87,13,0,0,100,0,0,99,0,,34,66,5,95,83,17,19,81,32,68
Dih Soorat Singh,0,1,99,14,67,19,0,94,6,66,34,0,0,100,1,0,97,1,,19,81,7,93,91,9,16,84,32,67
Semri,0,0,100,16,66,18,1,95,4,94,6,0,0,100,0,1,97,1,,28,72,13,87,83,17,35,65,37,63
Sarwaa Gulhriyaa,0,0,100,18,59,23,0,88,12,90,10,0,2,98,0,0,99,0,,30,70,10,90,81,19,13,87,45,55
