village,Nitrogen High,Nitrogen Medium,Nitrogen Low,Phosphorus High,Phosphorus Medium,Phosphorus Low,Potassium High,Potassium Medium,Potassium Low,Sulphur Sufficient,Sulphur Deficient,None High,None Medium,None Low,pH Alkaline,pH Acidic,pH Neutral,Iron Sufficient,Iron Deficient,Zinc Sufficient,Zinc Deficient,Copper Sufficient,Copper Deficient,Boron Sufficient,Boron Deficient,Manganese Sufficient,Manganese Deficient
Bhitri,0,0,100,0,56,44,1,76,23,80,20,0,35,65,3,0,97,3,97,22,78,98,2,71,29,29,71
Devi Pur,0,0,100,0,50,50,0,74,26,74,26,1,26,73,3,0,97,4,96,12,88,100,0,56,44,5,95
Shahpur,0,0,100,0,44,56,1,62,37,61,39,0,16,84,0,0,100,0,100,4,96,87,13,58,42,15,85
Belhri,1,0,99,0,52,48,0,66,34,66,34,4,35,61,0,0,100,3,97,3,97,100,0,50,50,8,92
Bhilwal,0,0,100,0,50,50,0,75,25,67,33,0,25,75,1,0,99,9,91,4,96,98,2,45,55,20,80
Dahila,0,0,100,0,50,50,0,59,41,69,31,0,22,78,0,0,100,15,85,3,97,100,0,55,45,1,99
Daulat Pur,0,0,100,0,55,45,0,66,34,73,27,1,40,59,1,0,99,28,72,42,58,94,6,47,53,11,89
Dundipur,0,0,100,0,50,50,0,66,34,69,31,1,38,61,0,0,100,4,96,2,98,100,0,44,56,0,100
Shiv Nam,0,0,100,1,47,52,0,67,33,73,27,0,24,76,1,0,99,9,91,2,98,100,0,46,54,24,76
Shahpur Sidwi,0,0,100,0,47,53,0,68,32,59,41,1,39,60,1,0,99,2,98,1,99,100,0,47,53,0,100
