village,Nitrogen High,Nitrogen Medium,Nitrogen Low,Phosphorus High,Phosphorus Medium,Phosphorus Low,Potassium High,Potassium Medium,Potassium Low,Sulphur Sufficient,Sulphur Deficient,None High,None Medium,None Low,pH Alkaline,pH Acidic,pH Neutral,Iron Sufficient,Iron Deficient,Zinc Sufficient,Zinc Deficient,Copper Sufficient,Copper Deficient,Boron Sufficient,Boron Deficient,Manganese Sufficient,Manganese Deficient
Kasidaha,0,0,100,0,48,52,16,84,0,36,64,0,0,100,0,0,100,98,2,91,9,100,0,100,0,100,0
Karigaon,0,0,100,0,46,54,17,83,0,36,64,0,0,100,0,0,100,98,2,90,10,100,0,100,0,100,0
Holpur,0,0,100,0,51,49,12,88,0,45,55,0,0,100,0,0,100,97,3,92,8,100,0,100,0,100,0
Rohi,0,0,100,0,51,49,15,85,0,31,69,0,0,100,0,0,100,99,1,94,6,100,0,100,0,100,0
Dulhipur,0,0,100,0,46,54,14,86,0,27,73,0,0,100,0,0,100,97,3,90,10,100,0,100,0,100,0
Chak Sahaw,0,0,100,0,49,51,14,86,0,44,56,0,0,100,0,0,100,100,0,95,5,100,0,100,0,100,0
Chaura Kala,0,0,100,0,51,49,9,91,0,27,73,0,0,100,0,0,100,95,5,94,6,100,0,100,0,100,0
Poore Matuka,0,0,100,0,52,48,18,82,0,26,74,0,0,100,0,0,100,99,1,89,11,100,0,100,0,100,0
Sansarapur,0,0,100,0,44,56,17,83,0,34,66,0,0,100,0,0,100,98,2,90,10,100,0,100,0,100,0
Nathaipur,0,0,100,0,57,43,17,83,0,31,69,0,0,100,0,0,100,97,3,88,12,100,0,100,0,100,0
