village,Nitrogen High,Nitrogen Medium,Nitrogen Low,Phosphorus High,Phosphorus Medium,Phosphorus Low,Potassium High,Potassium Medium,Potassium Low,Sulphur Sufficient,Sulphur Deficient,None High,None Medium,None Low,pH Alkaline,pH Acidic,pH Neutral,Iron Sufficient,Iron Deficient,Zinc Sufficient,Zinc Deficient,Copper Sufficient,Copper Deficient,Boron Sufficient,Boron Deficient,Manganese Sufficient,Manganese Deficient
Banjaria Khanpur,0,0,100,0,74,26,0,99,1,75,25,0,10,90,0,0,100,58,42,99,1,100,0,93,7,98,2
Nizamuddinpur Shah,0,0,100,0,75,25,0,100,0,65,35,0,27,73,0,0,100,59,41,100,0,100,0,100,0,93,7
Pindara,0,0,100,0,75,25,0,98,2,82,18,0,4,96,0,0,100,54,46,100,0,99,1,89,11,97,3
Begamnagar Urf Danpur,0,0,100,0,72,28,0,100,0,82,18,0,21,79,0,0,100,87,13,100,0,95,5,99,1,98,2
Asafpur Phakawali,0,0,100,0,70,30,0,100,0,100,0,0,7,93,0,0,100,52,48,100,0,98,2,71,29,100,0
Bhavanipur Sisaraka,1,0,99,0,72,28,0,98,2,100,0,0,8,92,0,0,100,56,44,100,0,100,0,100,0,100,0
Bhojpur,0,0,100,0,86,14,0,100,0,89,11,0,22,78,2,0,98,95,5,100,0,100,0,97,3,100,0
Doodpur,0,0,100,0,74,26,0,100,0,100,0,0,22,78,0,0,100,71,29,100,0,95,5,95,5,100,0
Thanpur,0,0,100,0,76,24,0,99,1,68,32,0,20,80,0,0,100,46,54,100,0,100,0,71,29,96,4
Shyampur,0,0,100,0,70,30,0,99,1,100,0,0,16,84,0,0,100,66,34,100,0,96,4,61,39,100,0
