village,Nitrogen High,Nitrogen Medium,Nitrogen Low,Phosphorus High,Phosphorus Medium,Phosphorus Low,Potassium High,Potassium Medium,Potassium Low,Sulphur Sufficient,Sulphur Deficient,None High,None Medium,None Low,pH Alkaline,pH Acidic,pH Neutral,Iron Sufficient,Iron Deficient,Zinc Sufficient,Zinc Deficient,Copper Sufficient,Copper Deficient,Boron Sufficient,Boron Deficient,Manganese Sufficient,Manganese Deficient
Alampur Nagla,0,8,92,84,16,0,0,100,0,24,76,0,8,92,0,0,100,36,64,79,21,99,1,97,3,84,16
Nizampur Banger,0,8,92,44,55,1,0,100,0,27,73,0,9,91,0,0,100,33,67,72,28,100,0,97,3,99,1
Giraura,0,3,97,96,4,0,0,100,0,39,61,0,4,96,0,0,100,47,53,81,19,100,0,99,1,92,8
Farida Banger,0,9,91,42,53,5,0,100,0,35,65,0,10,90,0,0,100,26,74,80,20,100,0,98,2,87,13
Raghunathpur,0,5,95,31,63,6,0,100,0,37,63,1,5,94,0,0,100,53,47,71,29,100,0,96,4,80,20
Umarpur,0,3,97,22,67,11,0,100,0,33,67,0,3,97,0,0,100,53,47,83,17,100,0,96,4,87,13
Kachraut,0,11,89,1,82,17,0,100,0,28,72,0,11,89,0,0,100,61,39,95,5,100,0,97,3,99,1
Bharkau,0,4,96,28,68,4,0,100,0,34,66,0,4,96,0,0,100,43,57,82,18,100,0,96,4,94,6
Kamalpur,0,24,76,31,63,6,0,100,0,25,75,2,25,73,0,0,100,53,47,77,23,100,0,97,3,99,1
Narsena,0,40,60,26,67,7,0,100,0,24,76,0,43,57,0,0,100,51,49,89,11,100,0,97,3,84,16
