village,Nitrogen High,Nitrogen Medium,Nitrogen Low,Phosphorus High,Phosphorus Medium,Phosphorus Low,Potassium High,Potassium Medium,Potassium Low,Sulphur Sufficient,Sulphur Deficient,None High,None Medium,None Low,pH Alkaline,pH Acidic,pH Neutral,EC Saline,EC Deficient,Iron Sufficient,Iron Deficient,Zinc Sufficient,Zinc Deficient,Copper Sufficient,Copper Deficient,Boron Sufficient,Boron Deficient,Manganese Sufficient,Manganese Deficient
Kaubara,0,0,100,0,43,57,73,26,1,0,100,0,27,73,1,0,99,0,,86,14,84,16,99,1,87,13,100,0
Laudhia Mafi,0,0,100,0,55,45,98,1,1,1,99,0,0,100,0,0,100,0,,76,24,78,22,98,0,91,9,100,0
gauriya,0,0,100,0,40,60,99,1,0,0,100,0,0,100,1,0,99,0,,70,30,91,9,99,0,81,19,99,1
Ahira,0,0,100,0,43,57,98,0,2,0,100,0,36,64,0,0,100,0,,91,9,94,6,98,2,98,2,100,0
Hanuwa,1,0,99,3,53,44,1,97,2,4,96,0,10,90,0,0,99,2,,97,3,91,9,92,0,49,51,99,1
Udki,0,0,100,0,43,57,12,85,3,0,100,0,6,94,0,0,98,0,,95,5,98,2,99,0,100,0,100,0
Agarhunda,1,0,99,0,56,44,91,9,0,0,100,0,16,84,1,0,99,0,,91,9,99,1,99,0,48,52,100,0
Madna,0,0,100,0,53,47,2,98,0,0,100,0,12,88,0,0,100,0,,99,1,99,1,99,0,100,0,100,0
Chardaha,0,0,100,1,43,56,12,86,2,1,99,0,10,90,0,0,99,0,,93,7,97,3,99,1,97,3,100,0
Arwara,0,0,100,1,38,61,15,85,0,0,100,0,4,96,0,0,100,0,,92,8,90,10,98,2,70,30,100,0
