village,Nitrogen High,Nitrogen Medium,Nitrogen Low,Phosphorus High,Phosphorus Medium,Phosphorus Low,Potassium High,Potassium Medium,Potassium Low,Sulphur Sufficient,Sulphur Deficient,None High,None Medium,None Low,pH Alkaline,pH Acidic,pH Neutral,EC Saline,EC Deficient,Iron Sufficient,Iron Deficient,Zinc Sufficient,Zinc Deficient,Copper Sufficient,Copper Deficient,Boron Sufficient,Boron Deficient,Manganese Sufficient,Manganese Deficient
Bardwara,0,0,100,32,68,0,78,22,0,0,100,0,1,99,0,0,100,0,,86,14,80,20,100,0,83,17,97,3
Chilli Mal Banger,0,0,100,29,71,0,65,35,0,0,100,0,3,97,0,0,100,0,,95,5,93,7,100,0,80,20,100,0
Mirzapur,0,0,100,24,76,0,94,6,0,0,100,0,35,65,1,0,99,0,,91,9,83,17,100,0,96,4,100,0
Chandi Bangar,0,0,100,24,76,0,33,67,0,0,100,0,9,91,0,0,100,0,,62,38,70,30,99,0,96,4,99,1
Lohada,0,0,100,26,74,0,17,83,0,0,100,0,17,83,0,0,100,0,,97,3,75,25,100,0,86,14,100,0
Panauti,1,0,99,22,78,0,26,74,0,1,99,0,0,100,3,1,96,0,,99,1,68,32,98,0,95,5,100,0
Nonar,0,0,100,23,77,0,93,7,0,0,100,0,24,76,0,0,100,0,,89,11,99,1,99,0,47,53,100,0
Jamhil,0,0,100,25,75,0,29,69,2,0,100,0,8,92,0,2,97,0,,71,29,88,12,87,0,44,56,100,0
Pathara Mani,0,0,100,24,76,0,95,4,1,0,100,0,22,78,0,0,100,0,,84,16,94,6,100,0,97,3,100,0
Bilas Khadar,0,0,100,23,77,0,92,8,0,0,100,0,7,93,0,0,100,0,,91,9,98,2,100,0,40,60,100,0
