village,Nitrogen High,Nitrogen Medium,Nitrogen Low,Phosphorus High,Phosphorus Medium,Phosphorus Low,Potassium High,Potassium Medium,Potassium Low,Sulphur Sufficient,Sulphur Deficient,None High,None Medium,None Low,pH Alkaline,pH Acidic,pH Neutral,Iron Sufficient,Iron Deficient,Zinc Sufficient,Zinc Deficient,Copper Sufficient,Copper Deficient,Boron Sufficient,Boron Deficient,Manganese Sufficient,Manganese Deficient
Turak Patti,0,0,100,1,60,39,0,94,6,100,0,2,25,73,0,1,99,99,1,99,1,100,0,99,1,99,1
Pokhabhinda,0,0,100,0,44,56,0,98,2,100,0,2,43,55,0,0,100,100,0,99,1,100,0,99,1,99,1
Loharauli,0,0,100,2,56,42,0,97,3,100,0,3,41,56,0,0,100,99,1,100,0,100,0,99,1,100,0
Vishun Pura,0,0,99,3,35,62,1,97,2,94,6,1,36,63,0,0,100,100,0,100,0,100,0,98,2,99,1
Shahpur Puraini,0,0,100,0,49,51,1,95,4,95,5,2,31,67,0,0,100,100,0,99,1,98,0,99,0,100,0
Mahuwawa Khurd,0,0,100,1,52,47,1,93,6,99,1,2,31,67,0,1,99,100,0,100,0,100,0,98,2,99,1
Rampur,0,0,100,6,49,45,0,93,7,97,3,1,30,69,1,0,99,99,1,98,2,99,0,100,0,100,0
Pipra,1,0,99,4,50,46,2,92,6,96,4,2,29,69,2,0,98,99,1,98,2,94,0,100,0,98,2
Mehaharhungpur,0,0,100,10,51,39,0,93,7,99,1,3,22,75,1,0,99,96,4,100,0,100,0,96,4,100,0
Pakari,0,0,100,5,84,11,1,93,6,94,6,0,30,70,0,0,100,99,1,100,0,100,0,100,0,100,0
