village,Nitrogen High,Nitrogen Medium,Nitrogen Low,Phosphorus High,Phosphorus Medium,Phosphorus Low,Potassium High,Potassium Medium,Potassium Low,Sulphur Sufficient,Sulphur Deficient,None High,None Medium,None Low,pH Alkaline,pH Acidic,pH Neutral,EC Saline,EC Deficient,Iron Sufficient,Iron Deficient,Zinc Sufficient,Zinc Deficient,Copper Sufficient,Copper Deficient,Boron Sufficient,Boron Deficient,Manganese Sufficient,Manganese Deficient
Nibiya,0,0,153,21,101,31,10,129,14,144,9,0,0,153,0,0,153,0,,144,9,125,28,152,0,153,0,153,0
Varua,0,0,177,4,140,33,1,169,7,161,16,0,0,177,0,0,177,0,,156,21,140,37,176,0,176,1,177,0
Badanpur,0,0,100,4,76,20,0,99,1,100,0,0,0,100,0,1,97,0,,92,8,53,47,100,0,100,0,100,0
Kanka Pur,0,0,100,0,77,23,1,98,1,96,4,0,0,100,0,1,93,0,,92,8,50,50,100,0,100,0,100,0
Rampur Jograjpur,0,0,50,2,38,10,1,48,1,46,3,0,0,50,0,1,49,0,,48,1,29,20,49,0,48,1,49,0
Kanchan Pur,0,0,100,0,68,32,1,97,2,93,7,0,0,100,1,2,95,0,,94,6,65,35,99,0,100,0,100,0
Nagla Kewal,2,0,98,0,71,29,1,99,0,93,7,0,0,100,0,0,99,0,,89,11,49,51,96,0,99,1,100,0
Bhudhiya Bhera,0,0,100,0,71,29,3,96,1,96,4,0,0,100,0,0,100,0,,92,8,53,47,100,0,99,0,100,0
Alhadpur Bhatauli,0,0,50,0,32,18,2,46,2,47,3,0,0,50,0,0,49,0,,47,3,22,26,50,0,50,0,50,0
Bhawan,0,0,70,2,45,23,0,69,1,62,8,0,0,70,0,0,70,0,,65,5,37,33,67,0,70,0,70,0
