village,Nitrogen High,Nitrogen Medium,Nitrogen Low,Phosphorus High,Phosphorus Medium,Phosphorus Low,Potassium High,Potassium Medium,Potassium Low,Sulphur Sufficient,Sulphur Deficient,None High,None Medium,None Low,pH Alkaline,pH Acidic,pH Neutral,EC Saline,EC Deficient,Iron Sufficient,Iron Deficient,Zinc Sufficient,Zinc Deficient,Copper Sufficient,Copper Deficient,Boron Sufficient,Boron Deficient,Manganese Sufficient,Manganese Deficient
Ramnagar Keotalia,1,0,99,1,80,19,0,90,10,100,0,2,24,74,0,0,100,0,,74,26,54,46,95,0,79,21,97,3
Bishunpur,0,0,100,1,88,11,1,91,8,97,3,3,26,71,0,0,100,0,,83,17,48,52,100,0,84,16,96,4
Ramkola,0,0,100,0,84,16,0,90,10,99,1,2,27,71,0,0,100,0,,71,29,47,53,100,0,80,20,93,7
Bankta,0,0,100,0,84,16,0,97,3,98,2,0,24,76,0,0,100,0,,83,17,70,30,98,0,97,3,100,0
Dharmpur,0,0,100,0,88,12,0,89,11,97,3,1,12,87,0,0,100,0,,95,5,76,24,100,0,79,21,100,0
Bajahee,2,0,98,2,79,19,0,77,23,99,1,4,23,73,2,0,98,0,,95,5,66,34,100,0,80,20,99,1
Chhitahi Khurd,0,0,100,0,84,16,0,88,12,100,0,1,22,77,1,0,99,1,,82,18,62,38,99,0,83,17,100,0
Baijanathpur,0,0,100,0,78,22,0,84,16,95,5,2,28,70,0,0,99,0,,83,17,61,39,100,0,80,20,100,0
Shivlahiya,0,0,100,1,81,18,0,89,11,97,3,2,28,70,0,0,100,0,,83,17,52,48,99,0,86,14,100,0
Sanagad,0,0,100,0,78,22,2,83,15,97,3,0,24,76,0,0,100,0,,79,21,67,33,100,0,87,13,100,0
