village,Nitrogen High,Nitrogen Medium,Nitrogen Low,Phosphorus High,Phosphorus Medium,Phosphorus Low,Potassium High,Potassium Medium,Potassium Low,Sulphur Sufficient,Sulphur Deficient,None High,None Medium,None Low,pH Alkaline,pH Acidic,pH Neutral,Iron Sufficient,Iron Deficient,Zinc Sufficient,Zinc Deficient,Copper Sufficient,Copper Deficient,Boron Sufficient,Boron Deficient,Manganese Sufficient,Manganese Deficient
Jhalokhar,0,0,100,41,59,0,0,94,6,96,4,0,11,89,1,0,99,68,32,91,9,91,9,20,80,80,20
Jamrehi Upar,0,0,100,41,59,0,1,99,0,95,5,0,3,97,0,0,100,82,18,94,6,96,4,10,90,80,19
Sikrodi Danda,0,0,100,44,56,0,0,100,0,85,15,0,4,96,1,0,99,79,21,100,0,99,1,20,80,80,20
Gimuha Danda,0,0,100,54,46,0,0,100,0,89,11,0,4,96,1,0,99,74,26,100,0,97,3,12,88,80,20
Jalla,0,0,100,65,35,0,0,100,0,91,9,0,1,99,0,0,100,80,20,89,11,93,7,10,90,100,0
Manki Khurd,0,0,100,37,63,0,1,99,0,95,5,0,0,100,0,0,100,75,25,95,5,92,8,7,93,99,1
Bhauli Danda,0,0,100,56,44,0,3,97,0,85,15,0,4,96,0,0,100,64,36,98,2,86,14,43,57,99,1
Para,0,0,100,42,58,0,0,99,1,86,14,0,10,90,1,0,99,67,33,99,1,88,12,18,82,82,18
Shekhoopur,0,0,100,46,54,0,1,99,0,85,15,0,0,100,0,0,100,61,39,93,7,87,13,19,81,99,1
Kanauta Danda,0,0,100,42,58,0,0,99,1,76,24,0,5,95,0,0,100,72,28,90,10,91,9,25,75,82,18
