village,Nitrogen High,Nitrogen Medium,Nitrogen Low,Phosphorus High,Phosphorus Medium,Phosphorus Low,Potassium High,Potassium Medium,Potassium Low,Sulphur Sufficient,Sulphur Deficient,None High,None Medium,None Low,pH Alkaline,pH Acidic,pH Neutral,EC Saline,EC Deficient,Iron Sufficient,Iron Deficient,Zinc Sufficient,Zinc Deficient,Copper Sufficient,Copper Deficient,Boron Sufficient,Boron Deficient,Manganese Sufficient,Manganese Deficient
Churara,0,0,99,13,55,32,81,18,1,5,95,0,9,90,0,0,98,0,,62,38,99,1,97,1,94,6,100,0
Mailwar,0,0,100,10,58,32,85,15,0,5,95,0,17,83,0,0,100,0,,98,2,99,1,100,0,96,4,100,0
Jhankari,0,0,100,13,52,35,89,10,1,6,94,0,9,91,0,0,100,0,,99,1,99,1,100,0,93,7,100,0
Taktauli,0,0,100,19,54,27,83,17,0,1,99,0,15,85,0,0,100,1,,2,98,99,1,97,3,96,4,100,0
Dhamna Payak,0,0,100,16,51,33,95,5,0,1,99,0,7,93,0,0,100,0,,95,5,98,2,100,0,89,11,99,1
Dhawakar,0,0,100,4,73,23,87,13,0,3,97,0,10,90,0,0,100,0,,91,9,98,2,100,0,96,4,100,0
Churari,0,0,100,10,51,39,94,5,1,2,98,0,17,83,0,0,100,0,,94,6,100,0,100,0,94,6,99,1
Medki,0,0,100,19,46,35,92,8,0,3,97,0,16,84,0,0,100,2,,97,3,100,0,100,0,93,7,100,0
Rora,0,0,100,5,65,30,86,12,2,9,91,0,11,89,0,0,100,0,,99,1,98,2,100,0,92,8,100,0
Piprokhar,1,0,99,9,53,38,90,9,1,5,95,0,11,89,0,0,100,4,,99,1,97,3,100,0,96,4,100,0
