village,Nitrogen High,Nitrogen Medium,Nitrogen Low,Phosphorus High,Phosphorus Medium,Phosphorus Low,Potassium High,Potassium Medium,Potassium Low,Sulphur Sufficient,Sulphur Deficient,None High,None Medium,None Low,pH Alkaline,pH Acidic,pH Neutral,Iron Sufficient,Iron Deficient,Zinc Sufficient,Zinc Deficient,Copper Sufficient,Copper Deficient,Boron Sufficient,Boron Deficient,Manganese Sufficient,Manganese Deficient
Fattepur Derapur,0,0,100,1,89,10,2,97,1,97,3,0,0,100,0,0,100,47,53,75,25,100,0,93,7,100,0
Mugishapur,0,0,100,0,93,7,2,98,0,94,6,0,0,100,0,0,100,64,36,95,5,100,0,93,7,100,0
Shahi,0,0,100,5,86,9,3,95,2,87,13,0,1,99,0,1,99,57,43,74,26,96,4,85,15,100,0
Sihutha,0,0,100,9,80,11,1,99,0,98,2,0,0,100,0,0,100,84,16,96,4,95,5,94,6,100,0
Indurukh,0,0,100,5,82,13,2,98,0,94,6,2,1,97,0,0,100,72,28,49,51,98,2,89,11,100,0
Paraukh,0,0,100,5,83,12,5,93,2,97,3,0,0,100,0,0,100,50,50,96,4,99,0,88,12,99,1
Nandpur,0,0,100,0,50,50,4,87,9,97,3,0,0,100,0,0,100,76,24,37,63,92,8,90,10,100,0
Galuapur,0,0,100,7,70,23,3,93,4,91,9,0,0,100,0,0,100,76,24,44,56,98,2,93,7,99,1
Dastampur,0,0,100,11,63,26,3,90,7,95,5,0,1,99,0,0,100,69,31,38,62,98,2,98,2,100,0
Jignish,0,0,100,11,64,25,4,92,4,94,6,0,1,99,0,0,100,79,21,43,57,100,0,90,10,100,0
